volume	n.cT	Ev.ID	MSrcCat	M.WTP.Type	ICR.PWSID
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10.5	0	10570	SW	Y	AK2210906
10.5	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
11	0	10571	SW	Y	AK2210906
11	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	1	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	2	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10571	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10570	SW	Y	AK2210906
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	2	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10614	SW	N	AK2260309
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
11	0	10718	EMPTY	Y	AL0000103
10.75	0	10718	EMPTY	Y	AL0000103
10.25	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10.5	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10.5	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10.25	0	10718	EMPTY	Y	AL0000103
10.75	0	10718	EMPTY	Y	AL0000103
10	0	10718	EMPTY	Y	AL0000103
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
