SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
ACFB,ATL,02204230,"Big Cotton Indian Cr at GA 138, nr Stockbridge, GA",16.48281,128.4667,26.44,5.84,13.20,9.24,129.4336706,209,303,253.6541,94,0.1535,0.115,33.76545,0.28735,0.4814,0.0887,2256.189,1358.2,ECO_45
ACFB,ATL,02204468,"Walnut Creek at Airline Road, near Mcdonough, GA",16.5804,126.2006,26.48,6.01,13.24,8.83,125.0599749,200,300,254.764,100,0.1535,0.1154,33.84545,0.2874,0.4798,0.0881,2575.5691,1544.2756,ECO_45
ACFB,ATL,02206314,"Jackson Creek at Lester Road, near Lilburn, GA",15.9831,137.5165,26.11,5.20,14.65,9.83,55.46304454,257,341,295.2895,84,0.1537,0.1162,34.30815,0.28735,0.4812,0.0877,1601.5454,950.5,ECO_45
ACFB,ATL,02208150,"Alcovy River at New Hope Road, near Grayson, GA",15.85126,133.4106,25.97,5.11,14.66,9.15,79.46934053,242,366,308.6324,124,0.1536,0.1156,33.8901,0.2875,0.4804,0.0882,2574.6001,1560.9408,ECO_45
ACFB,ATL,02213450,"Little Tobesofkee Creek near Bolingbroke, GA",17.33668,123.7296,26.94,7.02,15.02,7.65,146.2541537,124,263,193.1388,139,0.1537,0.1162,34.00835,0.2878,0.4818,0.0883,2572.0344,1535.1,ECO_45
ACFB,ATL,02217293,"Little Mulberry River at GA 211, nr Hoschton, GA",15.86217,132.6933,26.01,5.13,14.76,8.98,73.49352651,237,367,295.0529,130,0.1535,0.1149,33.76005,0.2872,0.4788,0.088,2577.4211,1552.7778,ECO_45
ACFB,ATL,02217471,"Beech Creek at GA 211, near Statham, GA",16.21777,127.5183,26.38,5.50,14.14,8.40,52.45591754,213,322,256.3814,109,0.1536,0.1156,33.89295,0.2875,0.4804,0.0882,2574.5386,1545.9524,ECO_45
ACFB,ATL,02218700,"Apalachee River near Bethlehem, GA",16.01019,131.4435,26.13,5.29,14.51,8.76,138.5556614,230,366,289.1789,136,0.1534,0.1146,33.70245,0.28705,0.4781,0.0879,2578.6716,1552.9855,ECO_45
ACFB,ATL,02221000,"Murder Creek near Monticello, GA",17.03933,122.0024,26.98,6.47,13.51,7.34,61.40763859,152,243,197.8351,91,0.1534,0.1144,33.67415,0.287,0.4777,0.0879,2579.2856,1555.1666,ECO_45
ACFB,ATL,02334885,"Suwanee Creek at Suwanee, GA",15.58589,138.3833,25.73,4.84,14.97,9.80,122.0975779,280,391,333.1494,111,0.1537,0.1164,34.0293,0.28785,0.482,0.0883,2571.5806,1532.4622,ECO_45
ACFB,ATL,02335870,"Sope Creek near Marietta, GA",15.61743,139.834,25.81,4.77,14.53,9.92,79.53688046,269,417,318.0908,148,0.154,0.118,34.7405,0.288,0.485,0.088,1263,737,ECO_45
ACFB,ATL,02335910,"Rottenwood C (Interstate N Pkwy) nr Smyrna, GA",15.74428,139.2784,25.91,4.91,14.47,9.65,48.0965519,254,363,307.301,109,0.1538,0.1165,34.3433,0.28755,0.4819,0.0878,1269.38,748.2,ECO_45
ACFB,ATL,02336635,"Nickajack Creek at US 78/278, near Mableton, GA",15.8969,136.9575,26.03,5.09,14.29,9.57,80.68697931,230,346,296.5606,116,0.1538,0.1164,34.317,0.28755,0.4817,0.0878,1269.8025,749.6451,ECO_45
ACFB,ATL,02336728,"Utoy Creek at Great Southwest Pkwy nr Atlanta, GA",16.1526,134.1034,26.20,5.43,13.81,9.65,90.05552994,226,325,277.2339,99,0.1516,0.1138,34.48185,0.28275,0.4751,0.0761,1395.4495,859.6967,ECO_45
ACFB,ATL,02336822,"Mill Creek at Morning Side Dr, near Hiram, GA",15.68102,138.9707,25.82,4.89,14.62,9.08,100.7202993,276,377,315.3125,101,0.1535,0.115,33.7868,0.28725,0.4791,0.088,2576.8416,1550.3627,ECO_45
ACFB,ATL,02336876,"Powder Springs Cr Oglesby Rd, Powder Springs, GA",15.73393,138.2499,25.90,4.92,14.57,9.27,66.13579386,274,371,307.5769,97,0.1537,0.1167,34.0924,0.28795,0.4828,0.0884,2570.2122,1529.0294,ECO_45
ACFB,ATL,02336968,"Noses Creek at Powder Springs Rd,Powder Springs, GA",15.73423,138.1393,25.91,4.90,14.38,9.56,114.7863852,274,548,309.3148,274,0.1539,0.1179,34.36195,0.28845,0.4854,0.0886,2404.1504,1435.4736,ECO_45
ACFB,ATL,02337395,"Dog River at North Helton Road, near Winston, GA",15.7407,140.0299,25.75,5.06,14.98,9.34,109.0801909,280,413,339.0713,133,0.1533,0.1132,33.45395,0.28645,0.475,0.0876,2584.063,0,ECO_45
ACFB,ATL,02338280,"Whooping Creek at GA 5, near Whitesburg, GA",16.03601,137.3183,25.91,5.47,14.99,9.08,68.66355134,214,409,314.0144,195,0.1535,0.1149,33.7688,0.28725,0.4789,0.088,2577.2319,1547.3944,ECO_45
ACFB,ATL,02338375,"Centralhatchee Cr Armstrong Mill Rd, Ctrlhtche, GA",16.02593,138.6126,25.83,5.52,15.37,8.67,82.69345731,247,390,320.3654,143,0.1535,0.115,33.7884,0.28725,0.4791,0.088,2576.8071,1546.1305,ECO_45
