Station,Year,Day,Date,Time,Latitude,Longitude,Depth,Secchi,Temp,Co0,SpCo0,BeamAtten,Transmission,chla,PC,PAR,DO,au.chl,AquaFluor_PC,AquaFluor_CHL,Turbidity,TP,TDP,SRP,NH4,NO3,SiO2,Cl,TSS,VSS,POC,PON,DOC,ExChla,ExPC,pMC,dMC,pMC_LC_MS,TCyanos_cells,TCyanos_volume
LE1,2008,26-Jun,6/26/08,,41.75,83.104,,3.4,,,,,,,,,,,,,,21.67,,,,,,,,,,,,1.54,,0.02,,,,
LE2,2008,26-Jun,6/26/08,,41.821,83.186,,4.9,,,,,,,,,,,,,,22.61,,,,,,,,,,,,2.15,,0.01,,,,
LE3,2008,26-Jun,6/26/08,,41.788,83.356,,3.2,,,,,,,,,,,,,,58.16,,,,,,,,,,,,1.72,,0.01,,,,
LE4,2008,26-Jun,6/26/08,,41.742,83.401,,2.2,,,,,,,,,,,,,,71.25,,,,,,,,,,,,2.22,,0.03,,,,
LE5,2008,26-Jun,6/26/08,,41.716,83.455,,0.2,,,,,,,,,,,,,,245.25,,,,,,,,,,,,51.2,,0.13,,,,
LE6,2008,26-Jun,6/26/08,,41.733,83.297,,1.4,,,,,,,,,,,,,,39.45,,,,,,,,,,,,9.6,,0.03,,,,
LE7,2008,26-Jun,6/26/08,,41.7155,83.2,,2.4,,,,,,,,,,,,,,18.87,,,,,,,,,,,,5.77,,0.01,,,,
LE8,2008,26-Jun,6/26/08,,41.8322,83.28,,1.9,,,,,,,,,,,,,,30.09,,,,,,,,,,,,4.77,,0.02,,,,
LE9,2008,26-Jun,6/26/08,,41.85,83.08,,2.5,,,,,,,,,,,,,,27.28,,,,,,,,,,,,1.74,,0.01,,,,
LE10,2008,26-Jun,6/26/08,,41.8912,83.1963,,2.4,,,,,,,,,,,,,,35.7,,,,,,,,,,,,14.13,,0.01,,,,
LE13,2008,26-Jun,6/26/08,,41.6751,83.1228,,3.9,,,,,,,,,,,,,,36.64,,,,,,,,,,,,2.45,,0.01,,,,
LE1,2008,4-Aug,8/4/08,,41.75,83.104,,,,,,,,,,,,,,,,28.07,,,,,,,,,,,,5.52,,0.04,,,,
LE2,2008,4-Aug,8/4/08,,41.821,83.186,,4,,,,,,,,,,,,,,22.52,,,,,,,,,,,,2.53,,0.04,,,,
LE3,2008,4-Aug,8/4/08,,41.788,83.356,,2,,,,,,,,,,,,,,40.11,,,,,,,,,,,,5.24,,0.16,,,,
LE4,2008,4-Aug,8/4/08,,41.742,83.401,,1.4,,,,,,,,,,,,,,52.14,,,,,,,,,,,,4.64,,0.16,,,,
LE5,2008,4-Aug,8/4/08,,41.716,83.455,,0.3,,,,,,,,,,,,,,120.63,,,,,,,,,,,,45,,0.03,,,,
LE6,2008,4-Aug,8/4/08,,41.733,83.297,,1.4,,,,,,,,,,,,,,38.25,,,,,,,,,,,,12,,0.12,,,,
LE7,2008,4-Aug,8/4/08,,41.7155,83.2,,2.4,,,,,,,,,,,,,,29,,,,,,,,,,,,4.92,,0.06,,,,
LE8,2008,4-Aug,8/4/08,,41.8322,83.28,,3.1,,,,,,,,,,,,,,27.15,,,,,,,,,,,,7.44,,0.05,,,,
LE9,2008,4-Aug,8/4/08,,41.85,83.08,,3.2,,,,,,,,,,,,,,18.82,,,,,,,,,,,,4.72,,0.28,,,,
LE13,2008,4-Aug,8/4/08,,41.6751,83.1228,,3.4,,,,,,,,,,,,,,23.45,,,,,,,,,,,,2.9,,0.19,,,,
LE1,2008,3-Sep,9/3/08,,41.75,83.104,,0.6,,,,,,,,,,,,,,73.42,,,,,,,,,,,,23.91,,1.88,,,,
LE2,2008,3-Sep,9/3/08,,41.821,83.186,,1.2,,,,,,,,,,,,,,56.77,,,,,,,,,,,,58.8,,2.45,,,,
LE3,2008,3-Sep,9/3/08,,41.788,83.356,,0.3,,,,,,,,,,,,,,153.94,,,,,,,,,,,,87.15,,2.99,,,,
LE4,2008,3-Sep,9/3/08,,41.742,83.401,,0.3,,,,,,,,,,,,,,188.19,,,,,,,,,,,,98,,5.55,,,,
LE5,2008,3-Sep,9/3/08,,41.716,83.455,,0.2,,,,,,,,,,,,,,227.99,,,,,,,,,,,,175,,9.68,,,,
LE6,2008,3-Sep,9/3/08,,41.733,83.297,,0.6,,,,,,,,,,,,,,150.24,,,,,,,,,,,,132.53,,3.99,,,,
LE7,2008,3-Sep,9/3/08,,41.7155,83.2,,0.4,,,,,,,,,,,,,,101.19,,,,,,,,,,,,66.27,,3.38,,,,
LE8,2008,3-Sep,9/3/08,,41.8322,83.28,,1,,,,,,,,,,,,,,60.47,,,,,,,,,,,,36.31,,2.94,,,,
LE9,2008,3-Sep,9/3/08,,41.85,83.08,,2.3,,,,,,,,,,,,,,23.45,,,,,,,,,,,,8.93,,0.24,,,,
LE12,2008,3-Sep,9/3/08,,41.809,82.9833,,1.8,,,,,,,,,,,,,,32.7,,,,,,,,,,,,36.68,,3.11,,,,
LE13,2008,3-Sep,9/3/08,,41.6751,83.1228,,1.2,,,,,,,,,,,,,,35.48,,,,,,,,,,,,23.85,,2.82,,,,
LE1,2008,22-Sep,9/22/08,,41.75,83.104,,1,,,,,,,,,,,,,,62.83,,,,,,,,,,,,20.83,,0.63,,,,
LE2,2008,22-Sep,9/22/08,,41.821,83.186,,1.7,,,,,,,,,,,,,,50.67,,,,,,,,,,,,23.35,,0.55,,,,
LE3,2008,22-Sep,9/22/08,,41.788,83.356,,0.3,,,,,,,,,,,,,,188.19,,,,,,,,,,,,69.09,,1.41,,,,
LE4,2008,22-Sep,9/22/08,,41.742,83.401,,0.2,,,,,,,,,,,,,,181.64,,,,,,,,,,,,47.6,,2.48,,,,
LE5,2008,22-Sep,9/22/08,,41.716,83.455,,0.2,,,,,,,,,,,,,,232.15,,,,,,,,,,,,92.26,,3,,,,
LE6,2008,22-Sep,9/22/08,,41.733,83.297,,0.5,,,,,,,,,,,,,,108.67,,,,,,,,,,,,32.93,,1.73,,,,
LE7,2008,22-Sep,9/22/08,,41.7155,83.2,,0.4,,,,,,,,,,,,,,98.38,,,,,,,,,,,,26.23,,0.87,,,,
LE8,2008,22-Sep,9/22/08,,41.8322,83.28,,1.4,,,,,,,,,,,,,,59.09,,,,,,,,,,,,21.28,,0.76,,,,
LE9,2008,22-Sep,9/22/08,,41.85,83.08,,2.2,,,,,,,,,,,,,,25.41,,,,,,,,,,,,18.52,,0.02,,,,
LE13,2008,22-Sep,9/22/08,,41.6751,83.1228,,0.9,,,,,,,,,,,,,,63.77,,,,,,,,,,,,20.69,,0.62,,,,
WE5,2009,25-Jun,6/25/09,11:53,41.8027,83.2528,,4.7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0,0
WE6,2009,25-Jun,6/25/09,8:20,41.7097,83.3852,,0.4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0,0
WE7,2009,25-Jun,6/25/09,7:44,41.7655,83.4015,,2.1,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,75,7
