YEAR 	JAN 	FEB 	MAR 	APR 	MAY 	JUN 	JUL 	AUG 	SEP 	OCT 	NOV 	DEC 	ANN
1927	0.28	1.11	1.56	1.23	1.60	3.16	8.53	8.00	6.49	4.51	1.17	0.26	37.90
1928	0.02	0.00	0.77	2.49	2.76	8.85	10.95	11.81	15.21	2.58	0.06	0.86	56.36
1929	0.28	0.25	0.94	0.73	4.97	12.62	5.87	7.78	17.06	6.28	0.73	1.30	58.81
1930	1.96	2.53	5.89	1.32	6.56	11.03	9.00	10.12	13.05	5.08	0.31	1.50	49.41
1931 	6.32 	1.94 	7.60 	3.34 	3.72 	5.25 	6.90 	5.63 	5.53 	1.62 	0.73 	1.09 	49.67
1932 	1.47 	0.20 	1.53 	0.46 	11.24 	11.02 	3.77 	14.61 	7.98 	4.62 	3.02 	0.28 	60.20
1933 	0.07 	0.18 	4.06 	2.98 	5.27 	7.61 	9.78 	8.38 	5.19 	5.15 	1.06 	0.00 	49.73
1934 	0.50 	1.11 	1.25 	0.94 	12.88 	8.52 	8.87 	9.38 	12.95 	0.48 	0.00 	0.00 	56.88
1935 	0.00 	0.73 	0.00 	2.94 	3.36 	5.15 	15.03 	4.78 	17.68 	2.30 	0.14 	3.25 	55.36
1936 	2.18 	3.30 	4.25 	0.22 	8.06 	24.73 	5.68 	5.01 	4.97 	4.32 	2.30 	0.18 	65.20
1937 	1.84 	2.28 	2.83 	0.61 	5.03 	10.97 	5.84 	8.60 	6.04 	5.00 	2.21 	0.38 	51.63
1938 	0.73 	0.74 	1.80 	0.00 	5.76 	5.95 	15.12 	5.62 	5.91 	5.01 	2.25 	0.00 	48.89
1939 	1.40 	0.00 	0.62 	1.69 	3.01 	7.36 	8.25 	12.27 	8.23 	7.37 	0.50 	0.00 	50.70
1940 	3.08 	2.68 	1.42 	0.65 	2.65 	12.61 	3.78 	6.26 	16.01 	0.42 	0.00 	5.13 	54.69
1941 	5.10 	3.46 	4.61 	6.17 	0.00 	4.22 	3.34 	4.92 	9.38 	7.06 	2.05 	0.00 	50.31
1942 	2.42 	1.90 	1.76 	0.70 	2.88 	12.24 	5.74 	3.74 	2.70 	0.32 	1.35 	0.75 	36.50
1943 	2.04 	1.26 	0.67 	3.86 	2.87 	10.02 	5.79 	4.98 	3.71 	3.99 	1.10 	0.35 	40.64
1944 	0.82 	0.04 	1.25 	1.11 	6.24 	8.58 	4.61 	6.71 	5.09 	5.31 	0.19 	2.29 	42.24
1945 	3.38 	0.92 	0.04 	5.91 	0.97 	4.77 	10.41 	8.03 	16.17 	4.15 	0.65 	2.02 	57.42
1946 	1.02 	1.27 	1.22 	0.45 	4.85 	10.63 	11.99 	7.90 	10.24 	1.93 	0.51 	2.53 	54.03
1947 	0.78 	1.49 	5.77 	5.95 	3.28 	11.88 	7.99 	8.16 	12.38 	10.96 	7.62 	1.93 	78.19
1948 	1.88 	0.14 	0.19 	2.73 	3.45 	4.02 	12.48 	7.74 	18.90 	3.74 	1.57 	0.65 	57.49
1949 	0.04 	0.10 	0.05 	1.17 	4.54 	12.54 	9.97 	9.45 	13.86 	2.81 	0.48 	3.75 	58.76
1950 	0.00 	1.42 	0.22 	0.68 	2.81 	4.18 	9.26 	7.68 	5.31 	7.41 	1.51 	2.61 	32.32
1951 	0.46 	0.24 	0.71 	4.47 	2.41 	2.54 	10.56 	5.76 	6.16 	2.89 	1.07 	0.23 	37.50
1952 	0.43 	5.36 	3.37 	1.21 	3.10 	7.17 	9.13 	2.97 	15.28 	8.94 	0.77 	1.04 	58.77
1953 	2.79 	1.91 	6.20 	7.56 	2.09 	6.54 	5.83 	8.65 	14.44 	3.44 	1.10 	0.02 	60.55
1954 	0.05 	0.49 	6.00 	7.87 	11.33 	9.56 	7.52 	7.28 	9.52 	3.03 	0.79 	0.91 	64.35
1955 	0.73 	0.35 	0.14 	2.17 	4.00 	13.59 	6.63 	7.17 	9.20 	3.64 	0.75 	2.11 	50.48
1956 	1.64 	0.78 	0.09 	4.67 	8.60 	3.43 	4.77 	6.62 	3.84 	4.57 	0.77 	0.14 	39.92
1957 	0.39 	4.84 	0.75 	1.64 	6.98 	5.99 	6.92 	7.34 	6.69 	6.68 	0.14 	2.15 	50.51
1958 	6.81 	1.07 	5.30 	0.81 	12.88 	8.45 	8.68 	13.02 	8.69 	5.11 	0.11 	4.05 	74.98
1959 	1.51 	0.50 	2.06 	0.97 	8.87 	16.41 	7.90 	8.34 	5.35 	8.30 	3.04 	0.36 	63.61
1960 	0.34 	1.42 	3.09 	3.84 	2.24 	9.68 	17.45 	3.12 	0.00 	0.00 	4.16 	1.01 	46.35
1961 	2.15 	0.60 	0.65 	0.00 	4.54 	6.05 	10.41 	6.08 	7.45 	2.40 	1.00 	0.10 	41.43
1962 	1.00 	0.25 	2.30 	0.65 	2.40 	14.35 	9.07 	7.39 	14.12 	2.90 	1.79 	0.67 	56.89
1963 	1.06 	7.83 	0.05 	0.19 	5.82 	3.17 	2.75 	7.58 	18.80 	1.17 	2.43 	1.87 	52.72
1964 	1.49 	1.37 	0.92 	0.23 	6.35 	10.94 	9.70 	5.36 	6.30 	5.63 	1.41 	0.64 	50.34
1965 	0.78 	2.99 	0.66 	2.24 	1.49 	6.54 	8.58 	6.74 	7.74 	5.16 	0.63 	0.37 	43.92
1966 	3.91 	2.09 	0.39 	3.17 	4.54 	20.78 	14.55 	3.45 	6.33 	4.20 	0.17 	0.18 	63.76
1967 	1.20 	1.60 	0.61 	0.00 	0.25 	13.33 	8.63 	4.68 	9.38 	2.97 	1.46 	1.46 	45.57
1968 	1.65 	2.94 	1.14 	0.00 	9.43 	16.12 	5.47 	7.31 	14.59 	9.03 	1.15 	0.15 	68.98
1969 	1.80 	1.53 	2.06 	2.08 	5.45 	23.47 	5.25 	11.12 	3.71 	6.06 	0.57 	0.51 	63.61
1970 	1.79 	1.24 	7.62 	0.00 	5.21 	3.41 	10.94 	4.55 	5.82 	4.76 	0.43 	0.00 	45.77
1971 	0.44 	0.79 	0.12 	0.11 	3.47 	5.53 	5.60 	10.75 	8.89 	6.85 	0.47 	0.00 	43.02
1972 	1.33 	3.03 	0.00 	1.96 	5.31 	16.08 	0.00 	0.00 	11.63 	1.63 	4.91 	1.20 	47.08
1973 	2.58 	0.71 	2.39 	1.06 	1.34 	8.42 	10.46 	10.40 	7.89 	0.31 	0.00 	2.58 	48.14
1974 	0.35 	0.00 	0.00 	2.27 	0.00 	0.00 	9.43 	6.30 	5.74 	0.11 	0.36 	4.15 	28.71
1975 	0.23 	0.09 	2.16 	1.02 	4.26 	6.95 	5.78 	4.57 	14.32 	4.04 	0.23 	0.15 	43.80
1976 	0.34 	0.00 	0.00 	1.90 	5.31 	10.29 	5.45 	5.85 	5.23 	4.44 	0.83 	2.05 	41.69
1977 	1.46 	0.71 	0.03 	1.80 	4.34 	11.80 	14.72 	6.96 	9.58 	0.33 	1.26 	2.57 	55.56
1978 	2.17 	3.92 	3.93 	1.79 	3.39 	12.10 	6.88 	6.48 	10.31 	5.71 	2.91 	2.96 	62.55
1979 	2.42 	0.44 	0.65 	1.63 	5.97 	7.72 	9.19 	12.63 	10.06 	3.62 	1.66 	2.97 	58.96
1980 	1.25 	1.06 	2.10 	2.76 	4.55 	0.60 	8.24 	8.24 	5.47 	0.32 	2.91 	1.04 	38.54
1981 	0.00 	1.87 	1.55 	0.04 	1.83 	7.72 	7.04 	13.12 	8.81 	1.83 	0.47 	0.17 	44.45
1982 	0.31 	1.21 	1.74 	4.58 	5.48 	17.71 	0.00 	11.61 	6.21 	4.74 	1.42 	0.65 	55.66
1983 	6.10 	5.84 	3.62 	0.95 	0.66 	10.72 	8.00 	9.11 	16.03 	12.20 	1.78 	2.51 	77.52
1984 	0.45 	0.80 	3.53 	0.85 	4.25 	5.75 	13.99 	8.61 	6.61 	4.17 	1.35 	0.18 	50.54
1985 	1.28 	0.45 	1.14 	2.10 	2.86 	4.06 	NA 	3.04 	3.11 	NA 	NA 	NA 	18.04
1986 	NA 	0.00 	1.66 	1.23 	0.49 	16.44 	4.61 	11.60 	4.19 	5.56 	1.27 	7.62 	54.67
1987 	1.01 	1.74 	6.29 	0.04 	0.00 	5.38 	4.77 	9.71 	7.15 	1.76 	5.13 	0.10 	43.08
1988 	1.16 	1.44 	0.95 	1.65 	2.60 	5.63 	3.05 	6.12 	5.73 	1.66 	1.57 	0.98 	32.54
1989 	0.72 	0.21 	1.68 	3.88 	0.23 	7.73 	8.93 	5.82 	7.72 	4.97 	0.38 	1.12 	43.39
1990 	0.10 	0.40 	0.86 	0.81 	4.03 	8.84 	8.42 	12.40 	5.50 	4.18 	0.75 	0.09 	46.38
1991 	3.76 	2.31 	0.56 	2.43 	4.76 	15.01 	13.84 	5.42 	5.75 	2.15 	0.82 	0.13 	56.94
1992 	0.34 	3.93 	2.34 	3.29 	0.48 	17.16 	4.50 	15.22 	6.04 	1.59 	1.36 	0.08 	56.33
1993 	5.56 	1.84 	1.56 	3.46 	5.29 	3.33 	5.80 	11.17 	12.45 	4.75 	0.93 	0.44 	56.58
1994 	4.18 	1.19 	1.58 	6.27 	3.33 	9.81 	5.04 	5.54 	9.80 	4.67 	0.00 	4.25 	41.19
1995 	2.89 	0.30 	1.14 	3.61 	10.18 	20.44 	5.78 	14.64 	8.65 	9.11 	0.20 	0.35 	62.01
1996 	1.85 	0.17 	1.60 	1.67 	7.14 	14.45 	3.73 	4.65 	5.84 	1.71 	0.07 	0.90 	34.49
1997 	2.04 	1.20 	5.54 	0.86 	2.30 	7.78 	5.08 	7.38 	3.69 	1.53 	4.97 	7.77 	50.14
1998 	1.29 	4.00 	6.24 	0.00 	1.81 	8.75 	8.24 	10.67 	6.59 	2.51 	10.45 	1.56 	62.11
1999 	2.79 	0.02 	0.55 	1.09 	2.14 	11.46 	6.39 	4.94 	18.56 	7.62 	3.57 	0.52 	29.76
2000 	0.86 	0.63 	0.42 	2.75 	1.61 	6.88 	0.00 	8.31 	9.27 	4.80 	0.10 	0.06 	26.42
2001 	0.32 	0.00 	1.87 	1.21 	2.54 	7.88 	12.01 	9.77 	12.30 	8.83 	0.35 	2.20 	58.93
2002 	1.38 	0.53 	1.02 	0.34 	2.13 	15.82 	8.56 	5.58 	11.87 	2.62 	2.63 	0.94 	53.42
2003 	0.79 	1.14 	2.86 	4.76 	6.30 	12.40 	8.66 	10.29 	12.94 	1.42 	1.97 	0.91 	63.53
2004 	4.27 	2.81 	0.72 	3.11 	0.76 	NA 	NA 	16.10 	NA 	NA 	NA 	NA 	11.67
2005 	0.58 	0.56 	2.65 	2.44 	NA 	NA 	NA 	NA 	NA 	7.64 	2.32 	1.02 	13.98
2006 	0.29 	5.04 	0.02 	0.00 	7.19 	7.59 	10.07 	12.57 	12.35 	0.69 	1.13 	2.01 	36.31
2007	0.40	2.71	1.29	3.73	4.79	5.49	6.50	8.71	10.56	3.20	0.18	0.30	47.86
2008	0.48	6.07	1.24	5.58	1.26	13.24	8.91	15.54	13.21	4.56	0.38	1.09	71.56
2009	0.15	0.43	0.31	1.10	7.70	8.69	7.34	9.21	10.85	1.21	2.07	3.28	52.34
2010	1.13	3.34	6.52	1.73	0.81	7.94	5.14	11.83	4.18	0.25	1.26	1.65	45.78
2011	1.48	0.18	0.78	0.78	4.47	5.95	4.07	8.98	12.33	8.02	0.26	0.30	47.60
2012	0.21	1.93	1.55	7.57	NA	NA	NA	NA	NA	NA	NA	NA	11.26

