Population,Survey,Date,Easting,Northing,Latitude,Longitude,Vegetation,Bird Count
A,1,4/30/1981,482476,2847814,25 45.004,-81 10.474,Saw Grass+Cypress,0
A,1,4/30/1981,483470,2847813,25 45.004,-81 09.879,Saw Grass+Muhly,0
A,1,4/30/1981,484458,2845811,25 43.920,-81 09.287,Cypress,0
A,1,4/30/1981,484472,2844820,25 43.383,-81 09.278,Saw Grass+Cypress,0
A,1,4/30/1981,485458,2844817,25 43.382,-81 08.688,Muhly+Cypress,0
A,1,4/30/1981,485458,2843822,25 42.843,-81 08.687,Cypress,0
A,1,4/30/1981,485462,2842844,25 42.313,-81 08.684,Saw Grass+Pines,0
A,1,4/30/1981,485466,2841829,25 41.763,-81 08.681,Saw Grass,0
A,1,4/30/1981,493275,2847806,25 45.005,-81 04.013,Saw Grass+Sparina (cord grass),0
A,1,4/30/1981,494250,2847804,25 45.004,-81 03.430,Cypress+Hardwood Hammock,0
A,1,4/30/1981,493278,2846811,25 44.466,-81 04.011,Cypress+Saw Grass,0
A,1,4/30/1981,494254,2846811,25 44.466,-81 03.427,Saw Grass,0
A,1,4/30/1981,492280,2845802,25 43.919,-81 04.608,Saw Grass,0
A,1,4/30/1981,493283,2845805,25 43.921,-81 04.008,Saw Grass,0
A,1,4/30/1981,494259,2845807,25 43.922,-81 03.424,Cypress+Saw Grass,0
A,1,4/30/1981,497266,2844815,25 43.385,-81 01.625,Muhly+Cypress,0
A,1,4/30/1981,498263,2844814,25 43.385,-81 01.029,Cypress+Saw Grass,0
A,1,4/30/1981,491285,2843813,25 42.841,-81 05.202,Mixed Prairie+Cypress,0
A,1,4/30/1981,488327,2842826,25 42.305,-81 06.971,Saw Grass,0
A,1,4/30/1981,489286,2842827,25 42.306,-81 06.397,Saw Grass,0
A,1,4/30/1981,490285,2842826,25 42.306,-81 05.800,Saw Grass,0
A,1,4/30/1981,491286,2842828,25 42.307,-81 05.201,Saw Grass,0
A,1,4/30/1981,487441,2841816,25 41.757,-81 07.500,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,488329,2841817,25 41.758,-81 06.969,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,489292,2841816,25 41.758,-81 06.393,Saw Grass+Cypress,5
A,1,4/30/1981,490287,2841819,25 41.760,-81 05.798,Mangrove,0
A,1,4/30/1981,491292,2841818,25 41.760,-81 05.197,Saw Grass,0
A,1,4/30/1981,487442,2840830,25 41.223,-81 07.499,Mangrove,0
A,1,4/30/1981,488335,2840831,25 41.224,-81 06.965,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,489297,2840832,25 41.225,-81 06.390,Saw Grass,1
A,1,4/30/1981,490295,2840835,25 41.227,-81 05.793,Saw Grass,0
A,1,4/30/1981,491297,2840836,25 41.228,-81 05.194,Saw Grass,0
A,1,4/30/1981,489301,2839824,25 40.679,-81 06.387,Sparina (cord grass)+Saw Grass,1
A,1,4/30/1981,490298,2839824,25 40.679,-81 05.791,Cypress,0
A,1,4/30/1981,491301,2839827,25 40.681,-81 05.191,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,493301,2839838,25 40.688,-81 03.995,Hardwood Hammock+Mixed Prairie,0
A,1,4/30/1981,494281,2839842,25 40.690,-81 03.409,Mixed Prairie+Cypress,0
A,1,4/30/1981,490299,2838831,25 40.141,-81 05.790,Saw Grass+Eleochris (wet grass),1
A,1,4/30/1981,491304,2838834,25 40.143,-81 05.189,Mixed Prairie+Saw Grass,1
A,1,4/30/1981,492307,2838837,25 40.145,-81 04.589,Mixed Prairie+Cypress,0
A,1,4/30/1981,493304,2838840,25 40.147,-81 03.993,Mixed Prairie,0
A,1,4/30/1981,494284,2838843,25 40.149,-81 03.407,Saw Grass,0
A,1,4/30/1981,491305,2837833,25 39.601,-81 05.188,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,492307,2837836,25 39.603,-81 04.589,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,493305,2837840,25 39.605,-81 03.992,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,494287,2837843,25 39.607,-81 03.405,Sparina (cord grass)+Saw Grass,0
A,1,4/30/1981,493308,2836839,25 39.063,-81 03.990,Muhly+Saw Grass,0
A,1,4/30/1981,494290,2836842,25 39.065,-81 03.403,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,495297,2836849,25 39.069,-81 02.801,Mixed Prairie,0
A,1,4/30/1981,496288,2836849,25 39.069,-81 02.209,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,493309,2835850,25 38.527,-81 03.989,Mixed Prairie+Pines,0
A,1,4/30/1981,494291,2835851,25 38.528,-81 03.402,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,495304,2835851,25 38.528,-81 02.797,Mixed Prairie,0
A,1,4/30/1981,496289,2835851,25 38.528,-81 02.208,Mixed Prairie+Sparina (cord grass),0
A,1,4/30/1981,495310,2834865,25 37.994,-81 02.793,Mixed Prairie,0
A,1,4/30/1981,496289,2834865,25 37.994,-81 02.208,Mixed Prairie+Sparina (cord grass),0
A,1,4/30/1981,500190,2833947,25 37.497,-80 59.876,Saw Grass,0
A,1,4/30/1981,501179,2833945,25 37.496,-80 59.285,Mixed Prairie,1
A,1,4/30/1981,502176,2833949,25 37.498,-80 58.689,Hardwood Hammock+Cypress,1
A,1,4/30/1981,503187,2833948,25 37.497,-80 58.085,Muhly+Saw Grass,1
A,1,4/30/1981,504181,2833953,25 37.500,-80 57.491,Cypress+Pines,1
A,1,4/30/1981,505173,2833954,25 37.500,-80 56.898,Hardwood Hammock+Cypress,0
A,1,4/30/1981,506180,2833960,25 37.503,-80 56.296,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,507174,2833964,25 37.505,-80 55.702,Saw Grass,1
A,1,4/30/1981,508168,2833963,25 37.504,-80 55.108,Mixed Prairie+Sparina (cord grass),2
A,1,4/30/1981,509177,2833965,25 37.505,-80 54.505,Mixed Prairie,0
A,1,4/30/1981,510173,2833968,25 37.506,-80 53.910,Saw Grass,0
A,1,4/30/1981,511172,2833970,25 37.507,-80 53.313,Saw Grass,1
A,1,4/30/1981,512154,2833964,25 37.503,-80 52.726,Mixed Prairie+Sparina (cord grass),1
A,1,4/30/1981,500195,2832940,25 36.951,-80 59.873,Saw Grass,0
A,1,4/30/1981,501186,2832941,25 36.952,-80 59.281,Saw Grass+Eleochris (wet grass),0
A,1,4/30/1981,502180,2832942,25 36.952,-80 58.687,Saw Grass,0
A,1,4/30/1981,503191,2832944,25 36.953,-80 58.083,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,504186,2832946,25 36.954,-80 57.488,Muhly,0
A,1,4/30/1981,505180,2832948,25 36.955,-80 56.894,Mixed Prairie+Cypress,0
A,1,4/30/1981,506186,2832952,25 36.957,-80 56.293,Saw Grass,1
A,1,4/30/1981,507180,2832951,25 36.956,-80 55.699,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,508172,2832951,25 36.956,-80 55.106,Saw Grass,1
A,1,4/30/1981,509183,2832952,25 36.956,-80 54.502,Saw Grass,2
A,1,4/30/1981,510177,2832955,25 36.957,-80 53.908,Pines,1
A,1,4/30/1981,511174,2832955,25 36.957,-80 53.312,Saw Grass+Mangrove,1
A,1,4/30/1981,512156,2832951,25 36.954,-80 52.725,Saw Grass,1
A,1,4/30/1981,500197,2831950,25 36.415,-80 59.872,Mixed Prairie+Hardwood Hammock,0
A,1,4/30/1981,501188,2831948,25 36.414,-80 59.280,Sparina (cord grass),0
A,1,4/30/1981,502185,2831949,25 36.414,-80 58.684,Mixed Prairie+Cypress,0
A,1,4/30/1981,503194,2831954,25 36.417,-80 58.081,Mixed Prairie+Saw Grass,0
A,1,4/30/1981,504185,2831953,25 36.416,-80 57.489,Mixed Prairie,0
A,1,4/30/1981,505184,2831957,25 36.418,-80 56.892,Saw Grass+Mixed Prairie,2
A,1,4/30/1981,506190,2831957,25 36.418,-80 56.291,Saw Grass+Mixed Prairie,2
A,1,4/30/1981,507182,2831958,25 36.418,-80 55.698,Saw Grass+Mixed Prairie,1
A,1,4/30/1981,508179,2831958,25 36.418,-80 55.102,Mixed Prairie,1
A,1,4/30/1981,509184,2831959,25 36.418,-80 54.502,Saw Grass,0
A,1,4/30/1981,510181,2831963,25 36.420,-80 53.906,Saw Grass+Mixed Prairie,0
A,1,4/30/1981,511178,2831964,25 36.420,-80 53.310,Saw Grass,0
A,1,4/30/1981,512159,2831958,25 36.416,-80 52.724,Saw Grass,0
A,1,4/30/1981,500202,2830948,25 35.872,-80 59.869,Mixed Prairie,0
A,1,4/30/1981,501190,2830952,25 35.874,-80 59.279,Mixed Prairie,0
A,1,4/30/1981,502189,2830952,25 35.874,-80 58.682,Saw Grass+Mixed Prairie,0
