Species,Body.weigh,Brain.weight
African Elephant,6645,5712
Asian Elephant,2547,4603
Giraffe,529,680
Horse,521,655
Cow,465,423
Okapi,250,490
Gorilla,207,406
Pig,192,180
Donkey,187.1,419
Brazillian Tapir,160,169
Jaguar,100,157
Gray Seal,85,325
Man,62,1320
Giant Armadillo,60,81
Sheep,55.5,175
Chimpanzee,52.16,440
Gray Wolf,36.33,119.5
Kangaroo,35,56
Goat,27.66,115
Roe Deer,14.83,98.2
Baboon,10.55,179.5
Patas Monkey,10,115
Rhesus Monkey,6.8,179
Raccoon,4.288,39.2
Red Fox,4.235,50.4
Vervet,4.19,58
Yellow-Bellied Marmot,4.05,17
Rock Hyrax (Procavia habessinica),3.6,21
Nine-Banded Armadillo,3.5,10.8
Water Opossum,3.5,3.9
Arctic Fox,3.385,44.5
Cat,3.3,25.6
Echidna,3,25
Rabbit,2.5,12.1
Tree Hyrax,2,12.3
N. American Opossum,1.7,6.3
Phalanger,1.62,11.4
Genet,1.41,17.5
Slow Loris,1.4,12.5
Mountain Beaver,1.35,8.1
Guinea Pig,1.04,5.5
African Giant Pouched Rat,1,6.6
Arctic Ground Squirrel,0.92,5.7
Tenrec,0.9,2.6
European Hedgehog,0.785,3.5
Rock Hyrax (Heterohyrax brucci),0.75,12.3
Desert Hedgehog,0.55,2.4
Owl Monkey,0.48,15.5
Chinchilla,0.425,64
Rat,0.28,1.9
Galago,0.2,5
Mole Rat,0.122,3
Golden Hamster,0.12,1
Tree Shrew,0.104,2.5
Ground Squirrel,0.101,4
Eastern American Mole,0.075,1.2
Star Nosed Mole,0.06,1
Musk Shrew,0.048,0.33
Big Brown Bat,0.023,0.3
Mouse,0.023,0.4
Little Brown Bat,0.01,0.25
Lesser Short-Tailed Shrew,0.005,0.14
