DATE,TIME,INSTITUTION,TP,CHLA,LAT,LONG,YEAR,SEASON,DISTANCE
6/26/2008,,NOAA,27.28,1.74,41.7041,-83.386,2008,Early,0.08401
6/26/2008,,NOAA,245.25,51.2,41.7052,-83.3853,2008,Early,0.08482
6/26/2008,,NOAA,58.16,1.72,41.7623,-83.33,2008,Early,0.15443
6/26/2008,,NOAA,18.87,5.77,41.7625,-83.3286,2008,Early,0.15578
6/26/2008,,NOAA,36.64,2.45,41.7627,-83.3291,2008,Early,0.15541
6/26/2008,,NOAA,30.09,4.77,41.8265,-83.1934,2008,Early,0.30536
6/26/2008,,NOAA,71.25,2.22,41.8267,-83.1933,2008,Early,0.30554
6/26/2008,,NOAA,39.45,9.6,41.8339,-83.364,2008,Early,0.1734
6/26/2008,,NOAA,35.7,14.13,41.835,-83.3636,2008,Early,0.17452
6/26/2008,,NOAA,22.61,2.15,41.8435,-83.2657,2008,Early,0.25147
6/26/2008,,NOAA,21.67,1.54,41.8483,-83.221,2008,Early,0.29138
8/4/2008,,NOAA,27.15,7.44,41.7051,-83.4696,2008,Mid,0.0087
8/4/2008,,NOAA,52.14,4.64,41.7069,-83.3846,2008,Mid,0.08571
8/4/2008,,NOAA,23.45,2.9,41.7579,-83.3302,2008,Mid,0.15242
8/4/2008,,NOAA,38.25,12,41.7626,-83.3295,2008,Mid,0.15501
8/4/2008,,NOAA,22.52,2.53,41.7633,-83.3301,2008,Mid,0.15476
8/4/2008,,NOAA,29,4.92,41.8271,-83.1936,2008,Mid,0.30544
8/4/2008,,NOAA,40.11,5.24,41.8271,-83.1932,2008,Mid,0.3058
8/4/2008,,NOAA,28.07,5.52,41.8272,-83.1931,2008,Mid,0.30593
8/4/2008,,NOAA,18.82,4.72,41.8333,-83.364,2008,Mid,0.17293
8/4/2008,,NOAA,120.63,45,41.8379,-83.3647,2008,Mid,0.17618
9/3/2008,,NOAA,23.45,8.93,41.6315,-83.1521,2008,Late,0.32412
9/3/2008,,NOAA,101.19,66.27,41.707,-83.3833,2008,Late,0.08701
9/3/2008,,NOAA,56.77,58.8,41.7108,-83.3821,2008,Late,0.08874
9/3/2008,,NOAA,32.7,36.68,41.7394,-83.1144,2008,Late,0.35785
9/3/2008,,NOAA,227.99,175,41.7629,-83.3299,2008,Late,0.15477
9/3/2008,,NOAA,35.48,23.85,41.796,-83.1675,2008,Late,0.31815
9/3/2008,,NOAA,73.42,23.91,41.8262,-83.1951,2008,Late,0.30369
9/3/2008,,NOAA,188.19,98,41.8263,-83.1929,2008,Late,0.30573
9/3/2008,,NOAA,150.24,132.53,41.8263,-83.1929,2008,Late,0.30573
9/3/2008,,NOAA,60.47,36.31,41.8335,-83.3677,2008,Late,0.17085
9/3/2008,,NOAA,153.94,87.15,41.8364,-83.3648,2008,Late,0.17491
9/22/2008,,NOAA,188.19,69.09,41.7094,-83.3833,2008,Late,0.08733
9/22/2008,,NOAA,59.09,21.28,41.7096,-83.3799,2008,Late,0.09072
9/22/2008,,NOAA,63.77,20.69,41.7621,-83.3301,2008,Late,0.15425
