STATION,LOGNUM,WATERBODY,Town,SITEDIR,ECOREGION,BiophysicalRegion,HUC.EIGHT,Class,SAMPLEMETHOD,WIDTH,DEPTH,FLOW,THERMO,SPC,DO,I01,I02,I03,I04,I05,I06,I07,I08,I09,I11,I12,I13,I15,I17,I18,I19,I21,I23,I25,I26,I28,I30,PA1,PB1,PC1,PNA1,PABC,PNA,PAB,PCNA,PA,PBCNA
35,1,Messalonski Stream,Oakland,0.94 km below Snow Pond dam,e,Central Interior,1030003,B,Basket or Artificial Substrate,41,40,38.1,24,,,988,33,8,296,3.204,4.072,0.094,0.303,359.717,16.283,1.5,0,8,34.314,0.3,15,0,0.03,17.656,50.667,0.714,0,0.247,0.683,0.07,0,1,0,0.995,0.005,0.052,0.948
2,2,South Branch Meduxnekeag River,Houlton,Above Houlton POTW,e,Aroostook Lowlands,1010005,B,Basket or Artificial Substrate,16,25,60.96,26.5,,,1433,37,17,270.5,3.07,4.266,0.237,0.378,589.602,160.398,1.429,0,15.5,21,0.189,20,0,0.081,194.398,46.5,0.786,0.286,0.14,0.757,0.103,0,1,0,0.995,0.005,0.129,0.871
3,3,Prestile Stream,Blaine,Below Mars Hill POTW - Pierce Rd Bridge,e,Aroostook Lowlands,1010005,B,Basket or Artificial Substrate,40,40,28.95,20,,,1874.667,33,1.333,280,2.114,4.172,0.079,0.485,184.691,41.975,0.75,0,1.333,24,0.149,12,0,0.03,89.975,28,0.643,0,0.088,0.691,0.221,0,1,0,0.79,0.21,0.01,0.99
4,4,Prestile Stream,Mars Hill,Above Mars Hill POTW,e,Aroostook Lowlands,1010005,A,Basket or Artificial Substrate,10,50,5.18,20,,,702.667,47,26.667,197.333,4.129,4.329,0.336,0.447,145.412,22.588,1,0.03,24,21.333,0.281,21,4,0.064,33.255,9.143,0.857,0.571,0.539,0.452,0.009,0,1,0,0.999,0.001,0.98,0.02
5,6,Aroostook River,Caribou,0.3 km above Caribou dam,e,Aroostook Lowlands,1010004,,Cone,150,400,,23,,,301.333,47,14.333,35.333,4.061,5.987,0.284,0.404,0,0,0.526,0.174,14.333,51.868,0.117,10,18.068,0.021,29.448,18.762,0.429,0,0.266,0.649,0.085,0,1,0,0.771,0.229,0.027,0.973
6,7,Aroostook River,Caribou,below Caribou POTW,e,Aroostook Lowlands,1010004,C,Cone,150,150,39.99,22,,,2742,44,10,364,3.674,5.123,0.388,0.545,599.685,602.315,0.625,0.002,10,462,0.133,15,6,0.023,958.315,24,0.571,0,0.036,0.61,0.354,0,1,0,0.22,0.78,0.003,0.997
7,8,Aroostook River,Fort Fairfield,1.4 km below Ft. Fairfield POTW,e,Aroostook Lowlands,1010004,B,Cone,100,300,17.27,20.5,,,101.667,29,45,6.667,3.149,3.25,0.252,0.517,1.043,6.957,0.533,0.02,45,8,0.066,8,5.333,0.034,21.957,45,0.286,0,0.885,0.115,0.001,0,1,0,0.976,0.024,0.841,0.159
8,9,St. John River,Fort Kent,Above Ft. Kent; .48 km above US/CAN bridge,e,Saint John Uplands,1010001,B,Cone,175,80,24.89,20.5,,,65.667,27,5.667,28.333,4.084,4.128,0.279,0.37,3.529,2.471,1.5,0,5.667,5.704,0.431,15,0,0.074,6.545,9.333,0.643,0,0.744,0.242,0.014,0,1,0,1,0,0.774,0.226
9,10,St. John River,Fort Kent,Below Ft. Kent POTW,e,Saint John Uplands,1010001,B,Basket or Artificial Substrate,150,100,30.48,21,,,394,31,3.667,94,2.903,4.085,0.173,0.355,198.881,21.786,1.818,0,3.667,6.563,0.239,20,0,0.065,41.861,22.417,0.929,0.286,0.333,0.597,0.069,0,1,0,0.998,0.002,0.557,0.443
10,12,North Branch Presque Isle Stream,Mapleton,above Mapleton,e,Aroostook Lowlands,1010004,A,Basket or Artificial Substrate,8,50,34.44,18.5,,,119.333,40,2.333,66.667,3.787,4.214,0.165,0.3,6.667,12.667,1.917,0,1,10,0.559,23,0.667,0.05,16,37.667,0.929,0.286,0.728,0.26,0.012,0,1,0,1,0,0.976,0.024
11,13,North Branch Presque Isle Stream,Mapleton,.2 km below Mapleton POTW,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,6,50,34.44,19,,,853.333,30,5.333,221.333,2.789,4.31,0.198,0.433,378.667,17.333,0.923,0.003,5.333,6.667,0.259,12,1.333,0.067,168,115.333,0.5,0.143,0.126,0.697,0.178,0,1,0,0.781,0.219,0.022,0.978
12,14,Limestone Stream,Limestone,.8 km north of confluence with Silver Spring Brook,e,Aroostook Lowlands,1010004,B,Basket or Artificial Substrate,14,60,34.45,20,6.5,278,692,31,25.333,14.667,2.554,4.061,0.077,0.452,346.483,68.183,0.857,0.004,25.333,9.825,0.021,12,0,0.032,73.797,0,0.286,0.286,0.32,0.633,0.047,0,1,0,0.969,0.031,0.238,0.762
13,15,Togus Stream,Chelsea,0.1 km above Hallowell Rd.,e,Central Interior,1030003,B,Basket or Artificial Substrate,9,20.3,18.28,23,,,374,47,0,142.667,4.053,4.519,0.123,0.362,6.667,25,1.118,0.002,0,14.667,0.381,19,3,0,30.333,97.333,0.571,0.143,0.026,0.092,0.88,0.002,1,0,0.051,0.949,0.021,0.979
14,16,Togus Stream,Chelsea,20 m above Windsor Rd.,e,Central Interior,1030003,B,Basket or Artificial Substrate,4.5,25.4,17.78,24,,,729,64,0.333,153,4.167,4.422,0.264,0.297,15.352,56.411,1.421,0,0.333,123,0.21,27,5,0.016,58.744,29.667,0.643,0.143,0.548,0.42,0.032,0,1,0,1,0,0.497,0.503
15,17,Carrabassett River,Kingfield,3.2 km above Rt.16 bridge crossing,w,Western Mountains,1030003,A,Basket or Artificial Substrate,20,40,36.57,23,,,424,27,18.667,85.333,2.791,3.666,0.044,0.296,225.333,40,2.25,0,17.333,9.333,0.201,18,0,0.111,42.667,8,0.643,0.571,0.532,0.454,0.014,0,1,0,0.999,0.001,0.961,0.039
16,18,Carrabassett River,Kingfield,0.9 km below Rt. 16 bridge crossing,w,Western Mountains,1030003,A,Basket or Artificial Substrate,3,60,35.05,23,,,618.667,18,9.333,226.667,2.845,2.664,0.004,0.111,200,13.333,8,0,6.667,1.333,0.366,16,0,0.167,14.667,9.333,0.571,0.429,0.703,0.292,0.005,0,1,0,1,0,0.975,0.025
17,19,Sandy River,Phillips,2 km above Rt. 142 crossing,w,Western Mountains,1030003,A,Basket or Artificial Substrate,40,20,41.65,24,,,562.667,24,26.667,90.667,3.795,2.489,0.109,0.25,90.667,44,2.833,0,20,40,0.161,17,0,0.083,53.333,16,0.571,0.429,0.823,0.176,0.001,0,1,0,1,0,0.99,0.01
18,20,Sandy River,Phillips,0.8 km below Tory Hill Rd. crossing,w,Western Mountains,1030003,B,Basket or Artificial Substrate,40,21.3,32.51,25,,,586.667,28,14.667,56,2.883,4.453,0.18,0.286,228,152,2.375,0,8,53.333,0.095,19,0,0.143,169.333,22.667,0.714,0.429,0.224,0.701,0.075,0,1,0,0.995,0.005,0.406,0.594
19,21,Sandy River,Farmington,3.5 km below Rt. 43 bridge,e,Western Foothills,1030003,B,Basket or Artificial Substrate,25,42.6,39.11,25,,,1884,26,5.333,416,2.743,4.111,0.03,0.308,738.561,441.439,1.75,0,5.333,1.333,0.221,14,0,0.077,450.772,166.281,0.643,0.143,0.053,0.589,0.358,0,1,0,0.599,0.401,0.015,0.985
