group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
1,grass,4,7,N,100,0.69,0.69,98.57142857
1,grass,4,7,N,100,7.85,7.85,1121.428571
1,grass,4,7,N,100,16.2,16.2,2314.285714
1,grass,4,28,A,250,0.375,0.15,13.39285714
1,grass,4,28,A,250,1,0.4,35.71428571
1,grass,4,28,A,250,7,2.8,250
2,vegetable,,89,none,0,0.096,#DIV/0!,1.078651685
2,vegetable,,89,N,150,0.184,0.122666667,2.06741573
2,cereal,,155,A,100,0.09,0.09,0.580645161
3,vegetable,,365,U,150,0.448,0.298666667,1.22739726
3,vegetable,34.2,365,M,150,0.613,0.408666667,1.679452055
3,vegetable,28.6,365,M,150,1.84,1.226666667,5.04109589
4,grass,3.9,357,none,0,0.23,#DIV/0!,0.644257703
4,grass,3.9,357,AN,120,0.38,0.316666667,1.06442577
4,grass,3.9,357,AN,240,0.68,0.283333333,1.904761905
4,grass,3.9,357,AN,360,0.98,0.272222222,2.745098039
5,cereal,2.2,8,AN,210,0.0088,0.004190476,1.1
5,cereal,1.65,8,AN,210,0.0088,0.004190476,1.1
5,cereal,1.65,8,AN,210,0.0088,0.004190476,1.1
5,cereal,2.2,8,AN,210,0.0128,0.006095238,1.6
5,cereal,1.65,8,AN,285,0.004,0.001403509,0.5
5,cereal,1.65,8,AN,285,0.0088,0.003087719,1.1
5,cereal,2.2,8,AN,285,0.0128,0.004491228,1.6
5,cereal,2.2,8,AN,285,0.0128,0.004491228,1.6
6,corn,1.2,150,UM,450,1.844,0.409777778,12.29333333
6,corn,1.2,150,U,225,1.295,0.575555556,8.633333333
6,corn,1.2,150,none,0,0.653,#DIV/0!,4.353333333
6,corn,1.2,150,M,225,1.275,0.566666667,8.5
7,none,0.0253,135,N,200,0.22,0.11,1.62962963
7,none,0.0071,135,N,200,0.3,0.15,2.222222222
8,rice,,119,UM,120,9.6,8,80.67226891
8,rice,,119,UM,147,9.8,6.666666667,82.35294118
8,rice,,119,UM,147,11.3,7.68707483,94.95798319
8,rice,,119,U,120,10.5,8.75,88.23529412
8,rice,,119,none,0,5,#DIV/0!,42.01680672
8,rice,,119,M,27,6.6,24.44444444,55.46218487
8,rice,,119,M,176,11.5,6.534090909,96.63865546
8,cereal,,165,UM,149,2.7,1.812080537,16.36363636
8,cereal,,165,U,120,2.3,1.916666667,13.93939394
8,cereal,,165,U,120,2.4,2,14.54545455
8,cereal,,165,none,0,2,#DIV/0!,12.12121212
8,cereal,,165,M,39,2.6,6.666666667,15.75757576
9,grass,,2,UAN,240,0.03134,0.013058333,15.67
9,cereal,,2,AN,86,0.00412,0.004790698,2.06
10,vegetable,,148,unknown,209,0.59,0.282296651,3.986486486
10,vegetable,,148,unknown,209,1.099,0.525837321,7.425675676
10,vegetable,,148,unknown,209,1.394,0.666985646,9.418918919
10,vegetable,,148,unknown,209,1.421,0.679904306,9.601351351
10,cereal,,101,unknown,120,0.417,0.3475,4.128712871
10,cereal,,101,unknown,120,0.472,0.393333333,4.673267327
10,cereal,,101,unknown,120,0.554,0.461666667,5.485148515
10,cereal,,101,unknown,120,0.73,0.608333333,7.227722772
10,cereal,,223,unknown,180,0.832,0.462222222,3.730941704
10,cereal,,223,unknown,180,0.906,0.503333333,4.062780269
10,cereal,,223,unknown,180,1.337,0.742777778,5.995515695
10,cereal,,223,unknown,180,1.483,0.823888889,6.650224215
11,grass,0.9,63,none,0,0.07,#DIV/0!,1.111111111
11,grass,0.9,105,none,0,0.08,#DIV/0!,0.761904762
11,grass,0.9,105,none,0,0.13,#DIV/0!,1.238095238
11,grass,0.9,63,none,0,0.2,#DIV/0!,3.174603175
11,grass,0.9,63,none,0,0.3,#DIV/0!,4.761904762
11,grass,0.9,63,A,52,0.35,0.673076923,5.555555556
11,grass,0.9,63,A,82,0.1,0.12195122,1.587301587
11,grass,0.9,63,A,112,0.23,0.205357143,3.650793651
11,grass,0.9,63,A,112,0.24,0.214285714,3.80952381
11,grass,0.9,365,A,112,0.89,0.794642857,2.438356164
11,grass,0.9,63,A,117,0.56,0.478632479,8.888888889
11,grass,0.9,365,A,363,1.37,0.377410468,3.753424658
12,none,4.9,96,U,125,0.503,0.4024,5.239583333
12,none,4.9,96,U,250,0.617,0.2468,6.427083333
12,none,4.9,96,none,0,0.33,#DIV/0!,3.4375
12,none,4.9,96,N,125,0.382,0.3056,3.979166667
12,none,4.9,96,N,250,0.358,0.1432,3.729166667
12,none,4.9,96,A,125,0.557,0.4456,5.802083333
