STID,Year,Ptype,FirstLeaf,FirstBloom
20309,1957,2,999,67
20309,1958,2,999,90
20309,1959,2,999,92
20309,1960,2,999,79
20309,1961,2,999,78
20309,1962,2,999,88
20309,1963,2,999,80
20309,1965,2,999,82
20309,1966,2,999,82
20958,1957,2,999,60
20958,1958,2,999,88
20958,1959,2,999,75
20958,1960,2,999,74
20958,1963,2,999,71
20958,1964,2,999,86
21101,1958,2,999,138
21101,1961,2,999,136
21101,1964,2,999,142
21101,1967,2,999,121
21101,1968,2,89,999
21101,1969,2,104,999
21101,1970,2,118,138
21101,1971,2,78,116
21101,1972,2,73,999
21614,1957,2,999,70
21614,1958,2,999,97
21614,1959,2,999,87
21614,1960,2,999,77
21614,1961,2,999,83
21614,1962,2,999,89
21634,1957,2,999,110
21634,1958,2,999,116
21634,1959,2,999,117
21634,1960,2,999,100
21634,1961,2,999,112
21634,1962,2,999,111
21634,1964,2,999,131
21634,1965,2,999,114
21634,1966,2,999,113
21634,1968,2,82,118
21749,1957,2,999,102
21749,1958,2,999,115
21749,1959,2,999,110
21749,1960,2,999,92
21749,1961,2,999,100
21749,1962,2,999,96
21749,1964,2,999,130
21749,1965,2,999,105
21870,1957,2,999,67
21870,1958,2,999,96
21870,1959,2,999,98
21870,1960,2,999,87
21870,1961,2,999,89
21870,1962,2,999,95
22440,1960,2,999,79
22440,1962,2,999,99
22440,1963,2,999,84
22440,1964,2,999,104
22440,1965,2,999,108
22669,1957,2,999,66
22669,1958,2,999,106
22669,1961,2,999,94
22669,1962,2,999,94
22669,1963,2,999,87
22669,1966,2,999,79
22669,1968,2,63,87
22669,1972,2,58,73
22754,1957,2,999,80
22754,1958,2,999,91
22754,1960,2,999,94
22754,1961,2,999,100
22754,1967,2,80,88
22754,1969,2,64,95
22779,1957,2,999,109
22779,1958,2,999,112
22779,1959,2,999,103
22779,1960,2,999,95
22779,1961,2,999,95
22779,1962,2,999,100
22779,1963,2,999,97
22779,1964,2,999,110
22779,1965,2,999,108
22779,1966,2,999,99
22779,1967,2,999,93
22779,1968,2,999,95
22779,1969,2,95,103
22779,1970,2,999,110
22781,1983,2,74,999
22781,1984,2,78,999
22781,1985,2,69,98
22781,1986,2,72,95
22781,1987,2,93,999
22781,1988,2,69,999
22781,1989,2,76,999
22781,1990,2,88,105
22781,1991,2,60,107
22781,1992,2,41,102
22781,1993,2,71,100
23250,1957,2,999,104
23250,1958,2,999,116
23250,1959,2,999,112
23250,1960,2,999,99
23250,1961,2,999,110
23250,1962,2,999,106
23250,1964,2,999,119
23250,1965,2,999,116
23250,1968,2,64,999
23250,1969,2,88,112
23250,1970,2,72,999
23250,1971,2,66,103
23250,1972,2,59,82
23250,1973,2,74,122
23250,1975,2,85,128
23250,1976,2,74,116
23250,1977,2,72,112
23250,1979,2,72,116
23250,1980,2,69,115
23250,1981,2,999,111
23498,1957,2,999,67
23498,1958,2,999,90
23498,1959,2,999,85
23498,1960,2,999,82
23498,1961,2,999,81
