ID       Station                              State   Lat       Long       Elev
20309    APACHE POWDER COMPANY                AZ      31.54     -110.16    1125
20958    BOWIE                                AZ      32.2      -109.29    1145.12
21101    BURRUS RANCH                         AZ      35.16     -111.32    2073.17
21614    CHILDS                               AZ      34.21     -111.42    807.93
21634    CHINLE                               AZ      36.09     -109.32    1688.41
21749    CIBECUE                              AZ      34.03     -110.27    1615.85
21870    COCHISE POWER HOUSE                  AZ      32.04     -109.54    1286.59
22440    DAVIS DAM                            AZ      35.12     -114.34    161.59
22669    DOUGLAS SMELTER                      AZ      31.21     -109.35    1211.28
22754    DUNCAN                               AZ      32.44     -109.06    1110.37
22779    EAGLE CREEK RANGER STN               AZ      33.24     -109.29    1554.88
22781    EAGLE CREEK 2                        AZ      33.21     -109.29    1484.76
23250    FREDONIA                             AZ      36.57     -112.32    1463.41
23498    GLOBE RANGER STN                     AZ      33.23     -110.47    1079.27
23663    GRAY MOUNTAIN TRADING POST           AZ      35.44     -111.29    1524.39
23683    GREER                                AZ      34.01     -109.27    2582.32
24327    INNER BASIN                          AZ      35.2      -111.39    2111.28
24508    JUNIPINE                             AZ      34.58     -111.45    1562.2
24639    KINGMAN                              AZ      35.11     -114.03    1019.82
25921    NOGALES                              AZ      31.21     -110.55    1161.59
26119    ORACLE 4 SE                          AZ      32.34     -110.43    1384.15
26320    PAYSON RANGER STN                    AZ      34.14     -111.2     1478.05
26353    PEARCE                               AZ      31.54     -109.49    1347.56
26561    PINAL RANCH                          AZ      33.21     -111       1378.05
26597    PINETOP                              AZ      34.07     -109.56    2195.12
26616    PIPE SPRINGS NATL MONUMENT           AZ      36.52     -112.44    1500
26801    PRESCOTT WBO                         AZ      34.39     -112.26    1529.57
27390    SAFFORD EXPERIMENT FARM              AZ      32.49     -109.41    900.61
27445    SALA RANCH                           AZ      31.51     -110       1582.32
27475    SAN CARLOS                           AZ      33.21     -110.27    805.79
27530    SAN MANUEL                           AZ      32.37     -110.39    1085.37
27593    SANTA RITA EXPERMENT RANGE           AZ      31.46     -110.51    1310.98
27716    SELIGMAN                             AZ      35.19     -112.53    1591.16
27876    SIERRA ANCHA                         AZ      33.48     -110.58    1554.88
28012    SNOWFLAKE                            AZ      34.3      -110.05    1716.46
