Storm,Name,Classification,Year,Winds
Ophelia,Category,1,2005,75
Charley,Category,4,2004,125
Alex,Category,3,2004,105
Isabel,Category,5,2003,145
Floyd,Category,4,1999,135
Bonnie,Category,3,1998,100
Fran,Category,3,1996,105
Bertha,Category,3,1996,100
Emily,Category,3,1993,100
Charley,Category,1,1986,70
Gloria,Category,4,1985,125
Diana,Category,4,1984,115
Ginger,Category,2,1971,95
Donna,Category,5,1960,140
Ione,Category,3,1955,105
Diane,Category,3,1955,105
Connie,Category,4,1955,125
Hazel,Category,4,1954,120
Carol,Category,2,1954,85
Barbara,Category,2,1953,95
Unnamed,Category,2,1949,95
Unnamed,Category,4,1944,120
Unnamed,Category,1,1944,80
Unnamed,Category,3,1936,105
Unnamed,Category,3,1933,105
Unnamed,Category,3,1933,105
Unnamed,Category,1,1920,70
Unnamed,Category,1,1913,75
Unnamed,Category,1,1908,70
Unnamed,Category,1,1906,80
Unnamed,Category,1,1901,70
Unnamed,Category,2,1899,95
Unnamed,Category,4,1899,130
Unnamed,Category,3,1896,110
Unnamed,Category,3,1893,105
Unnamed,Category,3,1893,105
Unnamed,Category,3,1887,105
Unnamed,Category,3,1885,100
Unnamed,Category,3,1883,110
Unnamed,Category,2,1881,90
Unnamed,Category,1,1880,70
Unnamed,Category,3,1879,100
Unnamed,Category,2,1878,90
Unnamed,Category,3,1876,100
Unnamed,Category,1,1874,80
Unnamed,Category,1,1861,70
Unnamed,Category,1,1861,70
Unnamed,Category,2,1857,90
