study	Depth	OCLoad	SOD
1	60	17.3	6.2
2	11	43.8	20.2
3	25	60.8	7.3
4	9	60.8	14.5
4	12	59.5	15.3
4	5	10.3	3.7
4	9	23.9	6.3
4	12	38.7	5.7
4	5	12.1	4.5
4	3	27.7	11.8
4	6	44.1	12.8
5	70	6.7	2.1
6	105	16.8	2.3
6	90	32.1	2
7	4.6	63.3	23.6
8	100	24.2	5.4
9	8.4	24.2	5
10	20	13.2	2.9
11	18	44.2	10
12	120	18.8	1.8
13	25	9.2	4.2
14	20	16.7	5.8
15	2.9	16.7	9.2
16	35	51.7	7.5
16	35	39	6.8
17	5	15	5.4
17	5	9.1	4.5
17	5	10	4.6
17	5	9.5	5.1
17	5	15.2	6.1
17	5	21.8	6.9
17	5	25.2	6.2
17	5	23.7	9.7
17	5	29.1	8.8
17	5	38.7	8.8
17	5	12.2	6.6
17	5	13.8	6.1
17	5	12.9	6.8
17	5	17.4	5.7
17	5	21.9	9.1
17	5	27.9	8.3
17	5	32.5	11.8		
17	5	41.8	10
17	5	57.2	9.4
18	3	18.4	6.4
19	8	25.8	11.7
19	8	25.6	10.3
20	7	115.8	30.4
21	3.5	51.8	13.2
21	2.5	34.6	10.3
22	18	8.7	4.2
22	60	52.8	5.8
23	140	15.8	1.6
24	2	10.9	5.1
25	3.5	58.3	15.8
26	186	41.7	6.7
26	370	33.3	2.7
27	33	22.9	7.2
27	55	38.3	7.2
28	5.6	83.8	24.4
28	4.4	52.5	25.7
29	4	13.8	9.1
30	195	16.7	3.2
31	2	22.8	15.3
32	20	18.3	6.4
33	60	65.8	NA
34	3.1	21.9	NA
34	3	27.3	8.8
