"","TPLoad","LU","Tillage","FAppMethd"
"3",0.124,"Alfalfa","Pasture","Surface Applied"
"4",1.124,"Alfalfa","Pasture","Surface Applied"
"5",2.484,"Alfalfa","Pasture","Other2"
"6",0.104,"Alfalfa","Pasture","Other2"
"7",0.023,"Other","Conventional","Surface Applied"
"8",0.072,"Other","Conservation","Surface Applied"
"9",0.043,"Other","Conventional","Incorporated"
"10",0.008,"Other","Conservation","Incorporated"
"11",0.104,"Pasture","Pasture","Other2"
"12",0.104,"Pasture","Pasture","Other2"
"13",0.284,"Pasture","Pasture","Surface Applied"
"14",0.674,"Other","Conventional","Surface Applied"
"15",1.494,"Other","Conventional","Surface Applied"
"16",2.534,"Other","Conventional","Surface Applied"
"17",0.424,"Other","Conventional","Surface Applied"
"18",1.904,"Other","Conventional","Surface Applied"
"19",4.074,"Other","Conventional","Surface Applied"
"20",2.304,"Other","Conventional","Surface Applied"
"21",0.224,"Pasture","Pasture","Surface Applied"
"22",0.604,"Pasture","Pasture","Surface Applied"
"23",0.224,"Pasture","Pasture","Other2"
"24",0.904,"Pasture","Pasture","Surface Applied"
"27",1.104,"Pasture","Pasture","Other2"
"28",0.104,"Pasture","Pasture","Surface Applied"
"29",0.404,"Pasture","Pasture","Surface Applied"
"30",1.504,"Pasture","Pasture","Surface Applied"
"34",4.604,"Pasture","Pasture","Other2"
"35",4.904,"Pasture","Pasture","Surface Applied"
"36",0.764,"Pasture","Pasture","Other2"
"37",2.504,"Corn","Conservation","Incorporated"
"38",4.804,"Corn","Conservation","Incorporated"
"39",3.104,"Corn","Conservation","Incorporated"
"40",18.604,"Corn","Conventional","Surface Applied"
"43",0.464,"Corn","Conventional","Injected"
"44",0.974,"Corn","Conventional","Other2"
"45",6.304,"Corn","Conservation","Incorporated"
"46",4.504,"Corn","Conservation","Incorporated"
"47",1.654,"Corn","No Till","Other2"
"48",0.254,"Corn","Conventional","Injected"
"49",9.804,"Corn","Conventional","Incorporated"
"50",8.604,"Corn","Conventional","Surface Applied"
"52",18.604,"Corn","Conventional","Incorporated"
"53",4.504,"Corn","Conservation","Incorporated"
"55",1.224,"Corn","Conventional","Injected"
"57",0.144,"Corn","Conventional","Surface Applied"
"58",2.904,"Corn","No Till","Injected"
"59",0.134,"Corn","Conventional","Injected"
"60",0.704,"Corn","Conventional","Injected"
"61",14.004,"Corn","Conventional","Surface Applied"
"62",2.404,"Corn","Conservation","Injected"
"63",13.604,"Corn","Conventional","Injected"
"64",4.084,"Corn","Conventional","Incorporated"
"65",1.804,"Corn","No Till","Other2"
"67",0.694,"Corn","Conventional","Injected"
"68",0.024,"Corn","No Till","Surface Applied"
"69",0.384,"Corn","Conservation","Surface Applied"
"70",0.244,"Corn","Conservation","Surface Applied"
"71",1.394,"Corn","Conventional","Incorporated"
"75",1.834,"Corn","Conventional","Incorporated"
"77",1.834,"Corn","Conservation","Injected"
"78",1.834,"Corn","Conservation","Incorporated"
"80",1.834,"Corn","Conventional","Injected"
"82",0.994,"Corn","Conventional","Incorporated"
"83",2.424,"Corn","Conventional","Incorporated"
"84",0.854,"Corn","Conventional","Incorporated"
"85",2.004,"Corn","No Till","Injected"
"86",21.204,"Corn","Conservation","Incorporated"
"87",9.304,"Corn","Conservation","Incorporated"
"88",17.504,"Corn","Conventional","Injected"
"89",12.304,"Corn","Conservation","Incorporated"
"92",1.004,"Rotation","Conservation","Other2"
"94",1.104,"Rotation","Conservation","Other2"
"95",0.144,"Rotation","Conservation","Other2"
"96",0.014,"Rotation","Conservation","Other2"
"97",0.034,"Rotation","Conservation","Other2"
"104",0.154,"Rotation","Conventional","Other2"
"105",0.274,"Rotation","Conventional","Other2"
"106",0.904,"Rotation","Conventional","Surface Applied"
"107",1.704,"Rotation","Conventional","Surface Applied"
"108",1.104,"Rotation","No Till","Surface Applied"
"109",0.804,"Rotation","No Till","Surface Applied"
"110",0.704,"Rotation","No Till","Surface Applied"
"111",1.904,"Rotation","Conventional","Surface Applied"
"112",0.994,"Cotton","Conventional","Incorporated"
"113",3.004,"Cotton","Conventional","Incorporated"
"114",3.104,"Cotton","Conventional","Injected"
"115",5.014,"Cotton","Conventional","Other2"
"116",11.154,"Cotton","Conventional","Injected"
"117",6.704,"Cotton","Conventional","Other2"
"118",2.924,"Cotton","Conservation","Surface Applied"
"119",2.504,"Rotation","Conventional","Other2"
"120",0.884,"Rotation","Conventional","Other2"
"121",1.104,"Rotation","Conventional","Other2"
"122",1.084,"Fallow","Conservation","Other2"
"123",0.904,"Fallow","Conservation","Other2"
"124",33.344,"Fallow","Conventional","Other2"
"128",0.104,"Pasture","Pasture","Surface Applied"
"129",0.174,"Pasture","Pasture","Surface Applied"
"134",1.864,"Pasture","Pasture","Surface Applied"
"135",1.004,"Pasture","Pasture","Other2"
"136",0.504,"Pasture","Pasture","Surface Applied"
"137",0.354,"Pasture","Pasture","Other2"
"138",0.484,"Pasture","Pasture","Surface Applied"
"139",0.604,"Pasture","Pasture","Other2"
"140",0.104,"Pasture","Pasture","Other2"
"141",0.104,"Pasture","Pasture","Other2"
"142",0.104,"Pasture","Pasture","Other2"
"143",0.104,"Pasture","Pasture","Other2"
"144",0.104,"Pasture","Pasture","Other2"
"145",0.104,"Pasture","Pasture","Surface Applied"
"146",0.104,"Pasture","Pasture","Surface Applied"
"147",0.104,"Pasture","Pasture","Other2"
"148",0.038,"Pasture","Conventional","Surface Applied"
"149",0.015,"Pasture","Pasture","Incorporated"
"150",0.053,"Pasture","Pasture","Incorporated"
"151",0.016,"Pasture","Pasture","Incorporated"
"152",0.144,"Pasture","Pasture","Other2"
"153",0.034,"Pasture","Pasture","Other2"
