bathy,chla,D.coast,D.ice,D.inswb,D.slp,S.bathy,W.mass,A.v50,A.v75,A.v100,A.v300,A.v500,A.v300.2,A.v500.2,A.v500.3,year,Lat,Lon,MN,MN.G,BA,BA.G,TW
-836.1084,0.2356972,143844.5,308974.1,93941.47,0,6.68342,1.774039,-88.07,-79.69,-79.81,-83.2,-82.75,-85.46,-84.1,-80.74,2001,-65.8067,-70.3998,0,0,0,0,0
-836.1084,0.2356972,142088,307886.8,98488.58,0,6.68342,1.774039,-82.12,-79.85,-80.19,-84.82,-82.28,-89.42,-82.97,-78.66,2001,-65.8153,-70.361,0,0,0,0,0
-366.5333,0.2358892,138578.5,305732.3,96566.04,5000,2.967383,1.77459,-77.51,-78.54,-79.23,-84.75,-78.37,-93.9,-78.19,-73.24,2001,-65.8367,-70.3047,0,0,0,0,0
-356.1607,0.2400461,134604,303136.9,94868.33,10000,1.823358,1.760439,-79.57,-80.81,-78.78,-80.8,-77.79,-81.79,-77.56,-72.69,2001,-65.8568,-70.2347,0,0,0,0,0
-342.883,0.2400461,130299.7,300934,99624.3,11180.34,0.3228445,1.760439,-79.93,-79.86,-78.53,-82.72,-82.75,-86.27,-85.48,NA,2001,-65.8802,-70.1545,0,0,0,0,0
-336.7365,0.2445157,125703,298135,103077.6,18027.76,0.03571117,1.7048,-77.16,-77.35,-78.06,-81.77,-80.69,-83.08,-81.32,-77.11,2001,-65.9047,-70.0657,0,0,0,0,0
-343.9839,0.2374717,120959.7,295578.3,101980.4,22360.68,0.02690303,1.631534,-76.55,-76.7,-76.7,-82.46,-79.39,-86.62,-80.09,-74.34,2001,-65.9298,-69.9778,0,0,0,0,0
-333.2554,0.2284335,115741.1,292626.5,105948.1,29154.76,0.02690303,1.596447,-73.07,-74.95,-76.53,-80.97,-79.54,-85.08,-81.02,-74.99,2001,-65.9553,-69.8902,0,0,0,0,0
-341.2184,0.2284335,113529.7,291201.4,105948.1,29154.76,0.1218129,1.596447,-78.18,-80.7,-81.74,-84.8,-82.51,-86.69,-82.76,-76.83,2001,-65.972,-69.853,0,0,0,0,0
-341.2184,0.2290145,112748.6,291153.8,105948.1,29154.76,0.09955093,1.593703,NA,NA,NA,NA,NA,NA,NA,NA,2001,-65.9717,-69.8268,0,0,0,0,0
-341.2184,0.227433,112272,290697.9,105948.1,29154.76,0.1218129,1.589662,NA,NA,NA,NA,NA,NA,NA,NA,2001,-65.9777,-69.8267,0,0,0,0,0
-341.2184,0.227433,111948.6,290036.6,101980.4,33541.02,0.1218129,1.589662,NA,NA,NA,NA,NA,NA,NA,NA,2001,-65.9817,-69.8255,0,0,0,0,0
-336.3756,0.2439682,106128.5,286960.8,96176.92,40311.29,0.195952,1.606528,NA,NA,NA,NA,NA,NA,NA,NA,2001,-66.0098,-69.722,0,0,0,0,0
-325.0011,0.2819852,100206,284205,90553.85,46097.72,0.1440385,1.625425,NA,NA,NA,NA,NA,NA,NA,NA,2001,-66.0408,-69.5983,0,0,0,0,0
-657.0411,1.133964,38581.08,258785.6,42720.02,85146.93,0.9914352,1.477187,-81.61,-83.57,-84.73,-66.73,-66.97,-65.47,-65.84,-70.93,2001,-66.3672,-68.4393,0,0,0,0,0
-657.0411,1.133964,40496.91,259014.5,42720.02,85146.93,0.9914352,1.477187,-80.88,-82.25,-83.32,-68.46,-69.27,-67.22,-68.31,-76.38,2001,-66.3595,-68.4778,0,0,0,0,0
-411.6459,1.254727,14840.82,214462.1,5000,53851.65,0.9960814,1.199368,-84.02,-84.02,-81.55,-76.21,-76.14,-75.61,-75.78,-76.01,2001,-66.7445,-68.6818,0,0,0,0,0
-349.0339,1.001654,24207.44,217607.4,11180.34,60415.23,0.7492712,1.371902,-81.25,-81.81,-81.6,-77.34,-76.6,-76.47,-75.85,-74.18,2001,-66.6953,-68.8578,0,0,0,0,0
-1107.968,0.2697237,138702.9,271033.7,50990.2,0,10.33581,1.726631,-88.79,-86.36,-87.79,-80.52,-80.95,-79.62,-80.17,-93.21,2001,-66.152,-70.982,0,0,0,0,0
-1177.849,0.2697237,138110.5,267376.6,46097.72,0,11.23911,1.726631,-80.42,-79.07,-81,-77.62,-78.07,-77,-77.57,-94.79,2001,-66.1858,-71.0282,0,0,0,0,0
-1346.914,0.3113824,138349.2,259515.4,40311.29,0,10.28499,1.628179,-82.61,-80.25,-81.02,-74.92,-76.59,-74.02,-76.27,-78.77,2001,-66.2598,-71.1475,0,0,0,0,0
-1146.179,0.3655002,138773.2,251268.8,29154.76,0,11.55696,1.575153,-78.12,-78.13,-79.37,-69.45,-71.64,-68.2,-71.01,-81.84,2001,-66.3347,-71.2703,0,0,0,0,0
-914.1459,0.3655002,138968.5,247512.6,25000,0,7.380399,1.575153,-77.63,-77.99,-77.99,-79.35,-78.01,-79.92,-78.01,-77.09,2001,-66.3698,-71.3237,0,0,0,0,0
-695.3118,0.3732885,139664.8,244272.4,22360.68,5000,4.018348,1.598478,-80.74,-80.2,-80.94,-82.39,-80.85,-83.09,-80.84,-79.15,2001,-66.402,-71.3693,0,0,0,0,0
-523.1672,0.4749132,122429.6,232607,30000,20615.53,0.09634716,1.384786,NA,-74.75,-77.45,-77.87,-79.02,-77.98,-79.29,-81.79,2001,-66.4963,-71.0582,0,0,0,0,0
-586.1573,0.4894305,62229.41,186011.4,65764.73,78102.5,0.3008795,1.488502,-71.24,-70.56,-72.88,-74.59,-75.2,-75.16,-75.83,-78.64,2001,-66.8953,-70.0175,0,0,0,0,0
-509.5358,0.4784168,52680.64,184479,55000,87464.28,0.870684,1.466479,-72.92,-71.02,-74.23,-67.54,-67.08,-66.87,-66.56,-65.73,2001,-66.9187,-69.8057,0,0,0,0,0
-503.826,0.4453381,47731.02,183680.4,50000,83216.59,0.9939304,1.466839,-77.41,-78.71,-81.5,-69.37,-68.39,-68.56,-67.96,-67.44,2001,-66.9293,-69.6957,0,0,0,0,0
-467.7278,0.3737172,43133.51,183448.2,45000,76321.69,0.7418573,1.47571,-77.7,-81.06,-82.88,-76.19,-71.11,-75.16,-70.44,-68.12,2001,-66.94,-69.5883,0,0,0,0,0
-533.7359,0.4150315,35710.64,180623.9,45000,73824.12,0.5983,1.464578,-78.58,-79.54,-79.54,-71.59,-72.21,-71.11,-71.97,-72.76,2001,-66.9755,-69.446,0,0,0,0,0
-480.0786,0.5531977,30761.18,178891,40311.29,67082.04,0.5983,1.430041,-80.66,-83.43,-84.19,-82.77,-77.97,-82.37,-77.43,-75.16,2001,-67,-69.3498,0,0,0,0,0
-459.3526,0.5949084,25811.82,177282.3,35355.34,62649.82,0.6299253,1.422995,-84.59,-84.9,-86.21,-66.16,-67.26,-64.89,-66.36,-73.91,2001,-67.0248,-69.256,0,0,0,0,0
-442.1323,0.9414663,106400.2,150463.5,60000,60415.23,0.07260441,1.360687,-82.36,-81.7,-83.09,-68.3,-69.35,-67.05,-68.44,-78.44,2001,-67.2513,-71.5488,0,0,0,0,0
-455.9721,1.359878,100322,145451.9,65000,66708.32,0.09840982,1.364131,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.2873,-71.4328,0,0,0,0,0
-463.6696,1.74267,93889.56,140650.3,70000,71589.1,0.1656177,1.349516,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.323,-71.3112,0,0,0,0,0
-442.8085,1.571472,98183.5,140926.4,70000,71589.1,0.1734527,1.354028,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.3278,-71.4068,0,0,0,0,0
-472.7049,1.65037,87722.57,133753.5,63639.61,77620.88,0.1733582,1.352186,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.3803,-71.2012,0,0,0,0,0
-758.8488,0.8368863,58028.01,112500,28284.27,112361,0.4247958,1.362401,NA,NA,NA,NA,NA,NA,NA,NA,2001,-67.545,-70.5587,0,0,0,0,0
-487.9167,0.2454397,12649.11,61583.28,5000,69462.22,0.3308186,1.216889,-72.48,-73.73,-74.98,-68.06,-67.11,-66.93,-66.36,-65.6,2001,-68.1642,-69.0923,0,0,0,0,0
-483.1786,0.1707227,15337.86,86742.44,0,96176.92,1.50438,1.171743,-75.38,-69.01,-69.61,-68.22,-68.55,-67.8,-68.35,-69.2,2001,-68.0068,-68.5745,0,0,0,0,0
-226.9081,0.1696705,20500,64994.23,21213.2,97082.44,0.8451275,0.9550307,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.5412,-67.7102,0,0,0,0,0
-221.3441,0.1738247,18069.31,59709.71,21213.2,93407.71,0.164693,0.9920453,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.5852,-67.796,0,0,0,0,0
-403.8219,0.1559753,16918.92,54389.8,18027.76,88600.23,0.4551824,0.9979693,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.6295,-67.8817,0,0,0,0,0
-309.4156,0.1548438,18601.08,48626.13,18027.76,85440.04,1.174933,0.9950138,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.6728,-67.9733,0,0,0,0,0
-326.9785,0.1676341,29732.14,42573.46,7071.068,77620.88,0.7926834,1.05609,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.6198,-68.2133,0,0,0,0,0
-371.1977,0.1681253,36062.45,39812.06,0,71589.1,0.5864588,1.091152,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.5892,-68.3373,0,0,0,0,0
-423.8494,0.1618991,42086.22,37500,0,65764.73,0.6063756,1.152672,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.5578,-68.466,0,0,0,0,0
-1227.04,0.1403983,25347.58,5830.952,10000,10000,2.915084,1.059658,NA,NA,NA,NA,NA,NA,NA,NA,2001,-68.5978,-69.9782,0,0,0,0,0
-1378.58,0.1330929,21029.74,1500,11180.34,7071.068,3.669021,1.018307,NA,-71.44,-70.15,-66.47,-67.01,-65.89,-66.66,-68.62,2001,-68.6077,-70.093,0,0,0,0,0
-228.0166,0.1186526,16800.3,2692.583,14142.14,5000,5.462163,0.9636545,-76.76,-73.18,-71.35,-67.17,-67.48,-66.33,-66.87,NA,2001,-68.6233,-70.2052,0,0,0,0,0
