village,conc,age,at.risk,events,gender,type
1,0,22.5,2595529,0,0,0
1,0,27.5,1846189,2,0,0
1,0,32.5,1402764,0,0,0
1,0,37.5,1215899,2,0,0
1,0,42.5,1191615,8,0,0
1,0,47.5,1111810,14,0,0
1,0,52.5,957985,36,0,0
1,0,57.5,774836,52,0,0
1,0,62.5,634758,77,0,0
1,0,67.5,492203,68,0,0
1,0,72.5,342767,70,0,0
1,0,77.5,199630,43,0,0
1,0,82.5,96293,21,0,0
1,0,22.5,2595529,7,0,1
1,0,27.5,1846189,19,0,1
1,0,32.5,1402764,17,0,1
1,0,37.5,1215899,41,0,1
1,0,42.5,1191615,75,0,1
1,0,47.5,1111810,112,0,1
1,0,52.5,957985,160,0,1
1,0,57.5,774836,200,0,1
1,0,62.5,634758,258,0,1
1,0,67.5,492203,230,0,1
1,0,72.5,342767,190,0,1
1,0,77.5,199630,108,0,1
1,0,82.5,96293,45,0,1
1,0,22.5,2956638,2,1,0
1,0,27.5,2175046,3,1,0
1,0,32.5,1580019,2,1,0
1,0,37.5,1320637,6,1,0
1,0,42.5,1327866,18,1,0
1,0,47.5,1334769,34,1,0
1,0,52.5,1214443,52,1,0
1,0,57.5,977820,61,1,0
1,0,62.5,739460,103,1,0
1,0,67.5,520965,126,1,0
1,0,72.5,320158,130,1,0
1,0,77.5,158750,88,1,0
1,0,82.5,63236,32,1,0
1,0,22.5,2956638,14,1,1
1,0,27.5,2175046,26,1,1
1,0,32.5,1580019,33,1,1
1,0,37.5,1320637,38,1,1
1,0,42.5,1327866,89,1,1
1,0,47.5,1334769,181,1,1
1,0,52.5,1214443,323,1,1
1,0,57.5,977820,478,1,1
1,0,62.5,739460,595,1,1
1,0,67.5,520965,607,1,1
1,0,72.5,320158,465,1,1
1,0,77.5,158750,230,1,1
1,0,82.5,63236,80,1,1
2,10,22.5,934,0,0,0
2,10,27.5,489,0,0,0
2,10,32.5,276,0,0,0
2,10,37.5,317,0,0,0
2,10,42.5,374,0,0,0
2,10,47.5,435,1,0,0
2,10,52.5,342,0,0,0
2,10,57.5,277,1,0,0
2,10,62.5,203,2,0,0
2,10,67.5,175,0,0,0
2,10,72.5,105,1,0,0
2,10,77.5,78,1,0,0
2,10,82.5,38,0,0,0
2,10,22.5,934,0,0,1
2,10,27.5,489,0,0,1
2,10,32.5,276,0,0,1
2,10,37.5,317,0,0,1
2,10,42.5,374,0,0,1
2,10,47.5,435,0,0,1
2,10,52.5,342,0,0,1
2,10,57.5,277,0,0,1
2,10,62.5,203,2,0,1
2,10,67.5,175,3,0,1
2,10,72.5,105,0,0,1
2,10,77.5,78,0,0,1
2,10,82.5,38,0,0,1
2,10,22.5,1128,0,1,0
2,10,27.5,634,0,1,0
2,10,32.5,389,0,1,0
2,10,37.5,313,0,1,0
2,10,42.5,364,0,1,0
2,10,47.5,410,0,1,0
2,10,52.5,325,0,1,0
2,10,57.5,227,1,1,0
2,10,62.5,141,0,1,0
2,10,67.5,104,0,1,0
2,10,72.5,63,0,1,0
2,10,77.5,39,0,1,0
2,10,82.5,22,0,1,0
2,10,22.5,1128,0,1,1
2,10,27.5,634,0,1,1
2,10,32.5,389,0,1,1
2,10,37.5,313,0,1,1
2,10,42.5,364,0,1,1
2,10,47.5,410,0,1,1
2,10,52.5,325,1,1,1
2,10,57.5,227,1,1,1
2,10,62.5,141,1,1,1
2,10,67.5,104,0,1,1
2,10,72.5,63,0,1,1
2,10,77.5,39,0,1,1
2,10,82.5,22,0,1,1
3,11,22.5,666,0,0,0
3,11,27.5,267,0,0,0
3,11,32.5,310,0,0,0
3,11,37.5,221,0,0,0
3,11,42.5,311,0,0,0
3,11,47.5,292,0,0,0
3,11,52.5,295,0,0,0
3,11,57.5,265,0,0,0
3,11,62.5,203,0,0,0
3,11,67.5,143,0,0,0
3,11,72.5,93,0,0,0
3,11,77.5,69,0,0,0
3,11,82.5,59,0,0,0
3,11,22.5,666,0,0,1
3,11,27.5,267,0,0,1
3,11,32.5,310,0,0,1
3,11,37.5,221,0,0,1
3,11,42.5,311,1,0,1
3,11,47.5,292,0,0,1
3,11,52.5,295,0,0,1
3,11,57.5,265,0,0,1
3,11,62.5,203,0,0,1
3,11,67.5,143,0,0,1
3,11,72.5,93,0,0,1
3,11,77.5,69,0,0,1
3,11,82.5,59,0,0,1
3,11,22.5,904,0,1,0
3,11,27.5,545,0,1,0
3,11,32.5,270,0,1,0
3,11,37.5,283,0,1,0
3,11,42.5,241,0,1,0
3,11,47.5,298,0,1,0
3,11,52.5,280,0,1,0
3,11,57.5,218,0,1,0
3,11,62.5,168,0,1,0
3,11,67.5,138,0,1,0
3,11,72.5,124,0,1,0
3,11,77.5,33,0,1,0
3,11,82.5,27,0,1,0
3,11,22.5,904,0,1,1
3,11,27.5,545,0,1,1
3,11,32.5,270,0,1,1
3,11,37.5,283,0,1,1
3,11,42.5,241,0,1,1
3,11,47.5,298,0,1,1
3,11,52.5,280,0,1,1
3,11,57.5,218,0,1,1
3,11,62.5,168,0,1,1
3,11,67.5,138,0,1,1
3,11,72.5,124,0,1,1
3,11,77.5,33,0,1,1
3,11,82.5,27,0,1,1
4,30,22.5,1003,0,0,0
4,30,27.5,591,0,0,0
4,30,32.5,481,0,0,0
4,30,37.5,405,0,0,0
4,30,42.5,462,0,0,0
4,30,47.5,397,0,0,0
4,30,52.5,392,0,0,0
4,30,57.5,353,0,0,0
4,30,62.5,317,0,0,0
4,30,67.5,199,1,0,0
4,30,72.5,115,0,0,0
4,30,77.5,71,1,0,0
4,30,82.5,75,0,0,0
