SPECIES,TIME,PAIRS,SIZE,STATUS
Sparrowhawk,3.03,1.00,L,R
Buzzard,5.46,2.00,L,R
Kestrel,4.10,1.21,L,R
Peregrine,1.68,1.13,L,R
Grey_partridge,8.85,5.17,L,R
Quail,1.49,1.00,L,M
Red-legged_partridge,7.69,2.75,L,R
Pheasant,3.85,5.63,L,R
Water_rail,16.67,3.00,L,R
Corncrake,4.22,4.67,L,M
Moorhen,8.13,4.06,L,R
Coot,5.00,1.00,L,R
Lapwing,7.30,6.96,L,M
Golden_plover,1.00,1.67,L,M
Ringed_plover,27.03,5.56,L,R
Curlew,3.11,2.83,L,M
Redshank,4.00,4.38,L,M
Snipe,16.13,4.13,L,M
Stock_dove,3.48,3.67,L,R
Rock_dove,37.04,8.33,L,R
Wood_pigeon,7.30,2.75,L,R
Cuckoo,2.53,1.43,L,M
Short-eared_owl,4.13,2.00,L,R
Little_owl,2.00,2.75,L,R
Magpie,10.00,4.50,L,R
Jackdaw,2.67,7.12,L,R
Carrion_crow,4.59,4.58,L,R
Raven,58.82,2.35,L,R
Skylark,32.26,6.87,S,R
Swallow,2.57,3.83,S,M
House_martin,2.16,5.00,S,M
Yellow_wagtail,1.00,1.25,S,M
Pied_wagtail,2.97,2.27,S,R
Meadow_pipit,9.52,5.35,S,R
Wren,11.11,8.70,S,R
Dunnock,7.30,6.10,S,R
Robin,4.00,3.33,S,R
Stonechat,2.38,3.64,S,R
Wheatear,2.61,4.83,S,M
Blackbird,3.26,4.67,S,R
Song_thrush,1.70,1.70,S,R
Mistle_thrush,1.79,1.33,S,R
Grasshopper_warbler,1.20,1.00,S,M
Sedge_warbler,3.18,1.90,S,M
Whitethroat,2.27,4.42,S,M
Willow_warbler,1.11,1.25,S,M
Chiffchaff,1.00,1.00,S,M
Goldcrest,1.00,1.00,S,R
Spotted_flycatcher,1.23,1.00,S,M
Great_tit,6.06,2.50,S,R
Blue_tit,3.17,1.50,S,R
Yellowhammer,2.00,2.50,S,R
Reed_bunting,5.08,5.63,S,R
Chaffinch,1.93,2.37,S,R
Goldfinch,1.49,1.50,S,R
Redpoll,1.00,1.00,S,R
Linnet,5.10,6.50,S,R
House_sparrow,3.00,4.50,S,R
Tree_sparrow,1.90,2.17,S,R
Starling,41.67,11.62,S,R
Pied_flycatcher,1.00,1.00,S,M
Siskin,1.00,1.00,S,R
