"Dose" "N" "Y" "Source"
18 9 0 "Finch"
25 10 2 "Finch"
25 6 0 "Finch"
40 6 1 "Finch"
40 5 2 "Finch"
43 5 1 "Finch"
50 8 0 "Finch"
50 6 1 "Finch"
53 4 1 "Finch"
55 5 2 "Finch"
55 4 2 "Finch"
64 4 1 "Finch"
73 7 5 "Finch"
75 8 5 "Finch"
75 5 4 "Finch"
81 8 6 "Finch"
81 4 4 "Finch"
85 5 5 "Finch"
88 8 8 "Finch"
100 8 1 "Finch"
100 8 2 "Finch"
100 8 1 "Finch"
110 4 4 "Finch"
110 5 5 "Finch"
120 5 5 "Finch"
130 4 4 "Finch"
130 7 7 "Finch"
150 8 3 "Finch"
150 9 1 "Finch"
150 6 1 "Finch"
160 9 6 "Finch"
180 6 4 "Finch"
200 6 6 "Finch"
200 7 4 "Finch"
200 10 5 "Finch"
200 7 7 "Finch"
220 8 8 "Finch"
250 6 6 "Finch"
300 8 8 "Finch"
310 9 6 "Finch"
330 5 5 "Finch"
400 5 5 "Finch"
400 6 6 "Finch"
286.7 25 20 "UA"
298.4 23 22 "UA"
291.7 18 17 "UA"
316.7 20 19 "UA"
309.5 14 14 "UA"
222.2 23 15 "UA"
220 21 20 "UA"
233.3 21 20 "UA"
238.9 34 28 "UA"
214.3 32 29 "UA"
160.5 23 16 "UA"
172.2 23 16 "UA"
144.4 13 6 "UA"
148.1 31 19 "UA"
136.7 27 18 "UA"
81.9 22 8 "UA"
85.2 22 13 "UA"
85.2 22 10 "UA"
67.8 34 6 "UA"
81.1 32 19 "UA"
31.5 17 2 "UA"
27.8 21 4 "UA"
24.1 24 11 "UA"
26.7 26 0 "UA"
33.3 25 10 "UA"
252 25 13 "SPDL-HE"
225.2 25 19 "SPDL-HE"
264.7 25 21 "SPDL-HE"
190.5 24 12 "SPDL-HE"
180.2 24 15 "SPDL-HE"
214 23 22.011 "SPDL-HE"
124.2 24 10.008 "SPDL-HE"
113.2 24 18 "SPDL-HE"
141.3 24 15.36 "SPDL-HE"
58.3 24 10.32 "SPDL-HE"
61 26 12.012 "SPDL-HE"
61.5 26 19.994 "SPDL-HE"
19.6 26 0.988 "SPDL-HE"
21.5 24 4.008 "SPDL-HE"
13.7 23 10.994 "SPDL-HE"
252 25 16 "SPDL-TH"
225.2 25 22 "SPDL-TH"
264.7 25 22 "SPDL-TH"
190.5 24 13.008 "SPDL-TH"
180.2 24 19.992 "SPDL-TH"
214 23 23 "SPDL-TH"
124.2 24 13.008 "SPDL-TH"
113.2 24 19.992 "SPDL-TH"
141.3 24 19.992 "SPDL-TH"
58.3 24 3 "SPDL-TH"
61 26 8.996 "SPDL-TH"
61.5 26 23.998 "SPDL-TH"
19.6 26 2.002 "SPDL-TH"
21.5 24 4.008 "SPDL-TH"
13.7 23 10.994 "SPDL-TH"
