SOURCE,STATION,DATE,SURFCHLA
DWQ,0,1/30/1979,
DWQ,0,2/20/1979,
DWQ,0,3/12/1979,10
DWQ,0,4/5/1979,10
DWQ,0,4/17/1979,10
DWQ,0,5/8/1979,36
DWQ,0,5/21/1979,10
DWQ,0,6/5/1979,10
DWQ,0,6/7/1979,
DWQ,0,6/20/1979,10
DWQ,0,7/10/1979,
DWQ,0,7/13/1979,59.5
DWQ,0,7/18/1979,25
DWQ,0,7/25/1979,13
DWQ,0,8/6/1979,41
DWQ,0,8/21/1979,52
DWQ,0,9/4/1979,18
DWQ,0,9/19/1979,10
DWQ,0,10/4/1979,
DWQ,0,11/5/1979,10
DWQ,0,11/14/1979,10
DWQ,0,12/5/1979,
DWQ,0,1/29/1980,
DWQ,0,5/13/1980,20
DWQ,0,6/5/1980,32
DWQ,0,8/7/1980,36
DWQ,0,8/26/1980,26
DWQ,0,9/8/1980,33
DWQ,0,10/6/1980,10
DWQ,0,11/6/1980,10
DWQ,0,12/9/1980,10
DWQ,0,1/15/1981,10
DWQ,0,2/10/1981,10
DWQ,0,3/17/1981,10
DWQ,0,3/18/1981,
DWQ,0,4/16/1981,10
DWQ,0,5/26/1981,31
DWQ,0,6/17/1981,21
DWQ,0,7/28/1981,33
DWQ,0,8/25/1981,2
DWQ,0,9/21/1981,9
DWQ,0,10/19/1981,15
DWQ,0,11/19/1981,3
DWQ,0,12/14/1981,1
DWQ,0,1/25/1982,1
DWQ,0,2/22/1982,3
DWQ,0,3/29/1982,1
DWQ,0,4/27/1982,3
DWQ,0,5/12/1982,7
DWQ,0,6/14/1982,1
DWQ,0,7/20/1982,4
DWQ,0,8/31/1982,12
DWQ,0,9/13/1982,52
DWQ,0,10/19/1982,33
DWQ,0,11/9/1982,1
DWQ,0,12/7/1982,2
DWQ,0,1/24/1983,1
DWQ,0,2/24/1983,2
DWQ,0,2/25/1983,
DWQ,0,3/29/1983,2
DWQ,0,4/12/1983,1
DWQ,0,5/5/1983,3
DWQ,0,6/14/1983,2
DWQ,0,7/6/1983,2
DWQ,0,7/19/1983,33
DWQ,0,8/25/1983,10
DWQ,0,9/26/1983,6
DWQ,0,10/19/1983,11
DWQ,0,11/3/1983,2
DWQ,0,11/28/1983,
DWQ,0,12/28/1983,2
DWQ,0,1/17/1984,2
DWQ,0,2/22/1984,6
DWQ,0,3/26/1984,2
DWQ,0,4/26/1984,2
DWQ,0,5/16/1984,1
DWQ,0,6/12/1984,
DWQ,0,7/11/1984,9
DWQ,0,7/12/1984,2
DWQ,0,8/8/1984,3
DWQ,0,9/24/1984,1
DWQ,0,10/16/1984,1
DWQ,0,11/8/1984,1
DWQ,0,12/4/1984,1
DWQ,0,1/24/1985,3
DWQ,0,2/13/1985,2
DWQ,0,2/15/1985,
DWQ,0,3/13/1985,20
