State,SUID,STAID,STAID-Gage,SNAME,Landuse,Area,SampleType,Date,Time,Month,Season,Sample period,State sampling period,AmmoniaCen,Ammonia,Discharge instant.,Dissolved oxygen,TKNCensoredwf,NH3PorgNwf,NH3PorgNwuCensored,NH3PorgNwu,NoxwfCensored,Noxwf,Total Nitrogen-calc.,NitritewfCensored,Nitritewf,PO4wfCensored,PO4wf,TpwfCensored,Tpwf,TpwuCensored,Tpwu,Conductivity25C,Temp,pH
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,02/09/1993,900,2,Winter,Loading,Other,-,1.4,0.2,0.6,-,2.7,-,2.6,<,0.05,2.625,-,0.02,-,0.38,-,0.38,-,0.57,1615,0.5,7.2
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,04/01/1993,1100,4,Spring,Loading,Other,-,0.3,368,11.5,-,1.5,-,1.7,-,2.6,4.3,-,0.12,-,0.24,-,0.26,-,0.32,325,0.5,7.6
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,04/03/1993,1050,4,Spring,Loading,Other,-,0.23,256,13.4,-,1.3,-,1.6,-,2.6,4.2,-,0.13,-,0.17,-,0.21,-,0.21,359,0.5,7.7
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,04/06/1993,1105,4,Spring,Loading,Other,-,0.17,119,11.1,-,1.1,-,1.4,-,1.5,2.9,-,0.07,-,0.07,-,0.04,-,0.16,382,0.48,7.5
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,04/15/1993,1430,4,Spring,Loading,Other,-,0.03,30.5,11,-,1.1,-,1.4,-,0.36,1.76,-,0.01,-,0.03,-,0.06,-,0.1,566,8.2,8
MINNESOTA,REDN,5085900,5086000,"SNAKE RIVER AT ALVARADO, MN",Cropland,309,Wadeable,04/28/1993,1520,4,Spring,Loading,Other,-,0.02,6.42,10.5,-,0.9,-,1.1,<,0.05,1.125,<,0.01,-,0.03,-,0.05,-,0.08,748,13,8.1
MINNESOTA,UMIS,5286290,5286290,"CEDAR CREEK NEAR COOPERS CORNER, MN",Reference,27.3,Wadeable,08/06/1996,1000,8,Summer,Uptake,State,-,0.08,13.516,6.2,-,0.5,-,0.5,-,0.97,1.47,-,0.03,-,0.03,<,0.01,-,0.03,329,22.7,7.4
MINNESOTA,UMIS,5286290,5286290,"CEDAR CREEK NEAR COOPERS CORNER, MN",Reference,27.3,Wadeable,09/09/1996,1210,9,Summer,Uptake,State,-,0.08,6.37,4.9,-,0.3,-,0.4,-,1.3,1.7,-,0.05,-,0.03,-,0.04,-,0.04,343,17.17,7.5
MINNESOTA,UMIS,5286290,5286290,"CEDAR CREEK NEAR COOPERS CORNER, MN",Reference,27.3,Wadeable,10/10/1996,1135,10,Fall,Uptake,Other,-,0.11,7.57,7.5,-,0.4,-,0.4,-,1.5,1.9,-,0.02,<,0.01,<,0.01,-,0.05,338,7.22,7.7
MINNESOTA,UMIS,5286290,5286290,"CEDAR CREEK NEAR COOPERS CORNER, MN",Reference,27.3,Wadeable,11/21/1996,1315,11,Fall,Loading,Other,-,0.06,65.2,5.5,-,0.7,-,0.9,-,0.71,1.61,-,0.05,-,0.03,-,0.03,-,0.08,223,0.18,6.9
