length,pcb,n,lgpcb,year,y
29.9,31.3,1,3.443618098,1974,0
29.5,7.9,1,2.066862759,1974,0
27,26.7,1,3.284663565,1974,0
26.3,8.3,1,2.116255515,1974,0
27.4,11.3,1,2.424802726,1974,0
27.2,12.6,1,2.533696814,1974,0
26.2,8.8,1,2.174751721,1974,0
26.6,10.8,1,2.379546134,1974,0
20.8,4.4,1,1.481604541,1974,0
19.3,4.8,1,1.568615918,1974,0
20.7,4.2,1,1.435084525,1974,0
19.1,6.8,1,1.916922612,1974,0
16.3,2.5,1,0.916290732,1974,0
17.3,3.1,1,1.131402111,1974,0
20.3,2.6,1,0.955511445,1974,0
16.1,2.1,1,0.741937345,1974,0
25,11.8,1,2.468099531,1974,0
17.5,4.9,1,1.589235205,1974,0
25.8,9.4,1,2.240709689,1974,0
25.4,16.5,1,2.803360381,1974,0
26.5,18.5,1,2.917770732,1974,0
28.7,41.9,1,3.735285827,1974,0
29.1,35.9,1,3.580737295,1974,0
27.6,28.1,1,3.335769576,1974,0
27.7,19.5,1,2.970414466,1974,0
28.3,37.2,1,3.616308761,1974,0
29.8,43.8,1,3.779633817,1974,0
27.7,34.4,1,3.538056564,1974,0
18.5,4.4,1,1.481604541,1975,1
17.8,4.2,1,1.435084525,1975,1
18.4,9.5,1,2.251291799,1975,1
19.1,3.2,1,1.16315081,1975,1
19.2,6.7,1,1.902107526,1975,1
19.5,4.8,1,1.568615918,1975,1
20,6.3,1,1.840549633,1975,1
20.5,2.3,1,0.832909123,1975,1
22,1.6,1,0.470003629,1975,1
22.2,5.3,1,1.667706821,1975,1
28.7,18.2,1,2.901421594,1975,1
19.5,1.8,1,0.587786665,1975,1
20,0.09,1,-2.407945609,1975,1
12.2,0.5,1,-0.693147181,1975,1
16.7,2.4,1,0.875468737,1975,1
21.8,4,1,1.386294361,1975,1
29.5,10.6,1,2.360854001,1975,1
20.4,9,1,2.197224577,1975,1
21.9,3.8,1,1.335001067,1975,1
24.3,10.9,1,2.388762789,1975,1
25.8,11.8,1,2.468099531,1975,1
18.4,3.2,1,1.16315081,1975,1
18.1,2.3,1,0.832909123,1975,1
19.2,1.3,1,0.262364264,1975,1
25.1,7.5,1,2.014903021,1975,1
