HLR,PLI,PLO,TPIn,TPOut
3.673,129.03,107.6,9.63,8.03
5.198,80.08,7.01,4.22,0.37
4.021,60.37,5.58,4.11,0.38
3.904,58.33,3.91,4.09,0.28
4.825,154.61,138.41,8.78,7.86
4.375,140.63,126.47,8.81,7.92
7.587,76.43,5.18,2.76,0.19
5.481,198.93,148.99,9.94,7.45
4.862,142.42,111.84,8.03,6.3
7.022,235.02,187.54,9.17,7.32
5.432,144.43,115.16,7.29,5.81
5.273,145.78,106.84,7.58,5.55
6.518,186.95,166.18,7.86,6.99
5.91,170.86,139.03,7.92,6.45
10.249,255.32,219.88,6.83,5.88
7.404,201.3,174.43,7.45,6.45
1.77,40.7,36.9,6.3,5.71
2.599,69.42,59.31,7.32,6.25
2.01,42.63,44.27,5.81,6.03
1.952,39.53,36.68,5.55,5.15
2.412,61.5,49.42,6.99,5.61
2.187,51.47,44.93,6.45,5.63
3.794,80.77,79.42,5.83,5.74
2.74,64.57,55.44,6.45,5.54
9.33,194.55,185.97,5.71,5.46
14.295,326.31,309.45,6.25,5.93
11.058,243.42,240.61,6.03,5.96
10.735,201.77,179.32,5.15,4.58
13.268,271.78,237.72,5.61,4.91
12.031,247.18,243.05,5.63,5.54
20.865,436.91,408.44,5.74,5.36
15.073,304.99,304.34,5.54,5.53
1.992,39.71,36.94,5.46,5.08
3.079,66.65,61.65,5.93,5.49
2.382,51.83,46.32,5.96,5.33
2.312,38.62,37.19,4.58,4.41
2.858,51.21,35.95,4.91,3.45
2.591,52.34,42.52,5.54,4.5
4.494,87.97,83.91,5.36,5.12
3.246,65.55,62.42,5.53,5.27
9.361,173.56,158.52,5.08,4.64
14.295,286.2,255.24,5.49,4.89
11.058,214.99,178.19,5.33,4.42
10.735,172.72,178.27,4.41,4.55
13.268,166.91,130.6,3.45,2.7
12.031,197.43,149.1,4.5,3.4
20.865,389.53,347.66,5.12,4.57
15.073,289.81,260.87,5.27,4.74
10.74,181.84,179.18,4.64,4.57
16.678,297.8,287.33,4.89,4.72
12.9,207.9,209.25,4.42,4.44
12.524,207.98,204.73,4.55,4.48
15.479,152.39,156.84,2.7,2.78
14.036,173.92,155.49,3.4,3.04
24.343,405.59,405.88,4.57,4.57
17.585,304.37,307.11,4.74,4.79
0.498,21.1,6.97,9.1,4
0.588,20.55,7.41,9.27,3.57
0.496,17.59,8.21,9.64,4.57
1.25,11.61,9.02,5.6,4.35
1.164,16.86,13.94,3.97,3.28
1.743,32.27,24.49,5.07,3.85
1.242,19.64,12.12,4.26,3.35
1.2,74.83,2.41,15.3,0.63
1.35,53.18,1.42,9.49,0.33
1.25,21.86,0.47,4.05,0.12
1.55,43.51,0.11,8.11,0.02
1.15,73.84,0.15,17,0.04
1.2,60.81,0.11,11.07,0.03
1.3,52.41,0.62,10.6,0.14
1.25,10.55,0.26,2.27,0.06
1.05,16.97,0.04,4.35,0.01
1.404,15.51,8.72,3.03,1.7
0.384,0.55,0.07,0.5,0.05
,12.78,,0.05,0.06
,28.11,,0.35,0.27
,8.03,,0.13,0.06
0.345,11.1,0.66,8.5,0.49
1.953,8.21,22.08,1.41,2.62
2.475,20.91,32.01,2.73,3.08
1.495,7.99,8.72,1.25,1.94
2.161,12.52,22.7,1.84,2.54
3.543,12.26,59.39,1.38,3.51
4.161,28,68.51,2.36,3.71
