Reference,Microorganism,Strain,UVDose,LogInactivation,Censored,Filtered,Turbidity
Clancy et al. 2000,Cryptosporidium,Iowa,3,3,No,F,NA
Clancy et al. 2000,Cryptosporidium,Iowa,6,3,No,F,NA
Clancy et al. 2000,Cryptosporidium,Iowa,9,3.5,No,F,NA
Clancy et al. 2000,Cryptosporidium,Iowa,8,4.1,No,F,NA
Clancy et al. 2000,Cryptosporidium,Iowa,16,4.3,No,F,NA
Clancy et al. 2000,Cryptosporidium,Iowa,33,5,Yes,F,NA
Clancy et al. 2002,Cryptosporidium,Iowa,0,0,No,F,NA
Clancy et al. 2002,Cryptosporidium,TAMU,0,0,No,F,NA
Clancy et al. 2002,Cryptosporidium,Maine,0,0,No,F,NA
Clancy et al. 2002,Cryptosporidium,Glasgow,0,0,No,F,NA
Clancy et al. 2002,Cryptosporidium,Moredun,0,0.8,No,F,NA
Clancy et al. 2002,Cryptosporidium,Iowa,2,3.2,No,F,NA
Clancy et al. 2002,Cryptosporidium,Iowa,4,4.1,No,F,NA
Clancy et al. 2002,Cryptosporidium,Maine,5,4.3,No,F,NA
Clancy et al. 2002,Cryptosporidium,TAMU,10,5.2,No,F,NA
Clancy et al. 2002,Cryptosporidium,Glasgow,5,5.6,No,F,NA
Clancy et al. 2002,Cryptosporidium,Maine,20,5.9,No,F,NA
Clancy et al. 2002,Cryptosporidium,Moredun,10,5.6,Yes,F,NA
Clancy et al. 2002,Cryptosporidium,Glasgow,20,5.7,Yes,F,NA
Clancy et al. 2002,Cryptosporidium,Moredun,40,4.9,Yes,F,NA
Clancy et al. 2002,Cryptosporidium,TAMU,40,5.5,Yes,F,NA
Craik et al. 2001,Cryptosporidium,Iowa,2.4,1,No,F,NA
Craik et al. 2001,Cryptosporidium,Iowa,4.9,2.8,No,F,NA
Craik et al. 2001,Cryptosporidium,Iowa,0.9,3.2,No,F,NA
Craik et al. 2001,Cryptosporidium,Iowa,116.9,3.6,No,F,NA
Craik et al. 2001,Cryptosporidium,Iowa,9.5,4,No,F,NA
