"Baetisca rogersi Berner","Caenis sp.","Caenis anceps Traver","Dannella simplex (McDunnough)","Drunella doddsi (Needham)","Drunella flavilinea (McDunnough)","Drunella grandis (Eaton)","Drunella tuberculata (Morgan)","Ephemerella sp.","Ephemerella dorothea Needham","Ephemerella inermis Eaton","Eurylophella sp.","Serratella deficiens (Morgan)","Serratella micheneri (Traver)","Serratella serrata (Morgan)","Serratella tibialis (McDunnough)","Timpanoga hecuba (Eaton)",Leptohyphidae,"Tricorythodes sp.","Neochoroterpes sp.","Paraleptophlebia sp.","Anthopotamus sp.","Centroptilum/Procloeon sp.","Acentrella insignificans (McDunnough)","Acentrella turbida (McDunnough)","Acerpenna sp.","Acerpenna pygmaea (Hagen)","Apobaetis indeprensus Day","Baetis flavistriga McDunnough","Baetis intercalaris McDunnough","Baetis pluto McDunnough","Baetis tricaudatus Dodds","Callibaetis sp.","Camelobaetidius sp.","Diphetor hageni (Eaton)","Fallceon quilleri (Dodds)","Heterocloeon sp.","Paracloeodes minutus (Daggy)","Plauditus sp.","Pseudocloeon sp.","Pseudocloeon propinquum (Walsh)","Siphlonurus sp.","Cinygmula sp.","Epeorus sp.","Epeorus albertae (McDunnough)","Epeorus longimanus (Eaton)","Heptagenia sp.","Ironodes sp.","Leucrocuta sp.","Rhithrogena sp.","Stenacron sp.","Stenacron interpunctatum (Say)","Stenonema modestum (Banks)/smithae Traver","Stenonema femoratum (Say)","Stenonema mediopunctatum (McDunnough)","Stenonema terminatum (Walsh)","Stenonema vicarium (Walker)","Isonychia sp.",MANUII,NUII,NLCD2,NLCD4,NLCD7,NLCD8,NLCD.IS,City,SUID,STAID,SampleID
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,6,46.59052025,27.84934044,43.21446949,34.8462512,3.216138409,10.23740317,12.9952,ATL,ACFB,2204230,107650
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,1,0,0,0,0,0,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,25.46600308,15.98087068,24.79546387,37.88937419,5.157836414,22.66771243,6.70713,ATL,ACFB,2204468,107635
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,20,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.32974149,45.61544403,67.00038943,24.98539625,1.031998442,2.740637373,20.1284,ATL,ACFB,2206314,107641
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.68550802,20.58965707,39.66704417,36.15741789,5.087202718,11.7214043,14.6419,ATL,ACFB,2208150,107605
0,110,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,2.474702572,3.398422581,3.591049753,58.4479184,6.434604997,22.45190503,0.31428,ATL,ACFB,2213450,107639
0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,46,20,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,21.47641262,13.79198187,20.37597208,41.19404813,6.859347254,23.3212908,5.8315,ATL,ACFB,2217293,107588
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,17.61332683,11.55199414,16.37726914,38.33773721,6.763666312,32.97416012,5.01762,ATL,ACFB,2217471,107677
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,17.41780805,11.56698878,17.83953384,39.33376207,7.663425123,25.24116696,5.93138,ATL,ACFB,2218700,107597
0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2.973274794,3.666661789,3.808155727,63.02952127,11.09319574,12.54580634,0.365703,ATL,ACFB,2221000,107693
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.18314824,22.52251643,42.55810011,37.9948552,3.347804616,8.751317525,13.4597,ATL,ACFB,2334885,107174
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.57224551,49.17109452,72.51035232,22.9911977,0.497816396,2.03539022,19.5753,ATL,ACFB,2335870,107664
