"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"1","ATL","ACFB",2204230,10.23740317,16.48281,128.4667,5.998106061,27.84934044
"2","ATL","ACFB",2204468,22.66771243,16.5804,126.2006,5.961699346,15.98087068
"3","ATL","ACFB",2206314,2.740637373,15.9831,137.5165,6.376216216,45.61544403
"4","ATL","ACFB",2208150,11.7214043,15.85126,133.4106,6.011287879,20.58965707
"5","ATL","ACFB",2213450,22.45190503,17.33668,123.7296,5.681975309,3.398422581
"6","ATL","ACFB",2217293,23.3212908,15.86217,132.6933,5.366236559,13.79198187
"7","ATL","ACFB",2217471,32.97416012,16.21777,127.5183,5.46010929,11.55199414
"8","ATL","ACFB",2218700,25.24116696,16.01019,131.4435,5.424107143,11.56698878
"9","ATL","ACFB",2221000,12.54580634,17.03933,122.0024,5.227160494,3.666661789
"10","ATL","ACFB",2334885,8.751317525,15.58589,138.3833,6.582162162,22.52251643
"11","ATL","ACFB",2335870,2.03539022,15.61743,139.834,6.8275,49.17109452
"12","ATL","ACFB",2335910,1.371452093,15.74428,139.2784,6.933548387,59.08522785
"13","ATL","ACFB",2336635,2.493921346,15.8969,136.9575,6.323730159,46.45279346
"14","ATL","ACFB",2336728,1.364263298,16.1526,134.1034,6.803247863,43.88994808
"15","ATL","ACFB",2336822,18.96605641,15.68102,138.9707,6.216315789,15.99824117
"16","ATL","ACFB",2336876,15.16252364,15.73393,138.2499,6.213188406,22.18769432
"17","ATL","ACFB",2336968,9.725652545,15.73423,138.1393,6.27837037,28.744403
"18","ATL","ACFB",2337395,15.59785164,15.7407,140.0299,5.66724359,10.41157285
"19","ATL","ACFB",2338280,21.70294746,16.03601,137.3183,5.089757576,6.866117123
"20","ATL","ACFB",2338375,28.22748299,16.02593,138.6126,4.660966184,4.738604112
"21","ATL","ACFB",2338523,11.27077346,15.92513,139.9412,5.079656863,2.6476524
"22","ATL","ACFB",2339480,10.44671533,16.69274,140.7899,5.527278912,4.562235858
"23","ATL","ACFB",2340282,18.7036029,17.09117,133.5815,5.142,3.854244032
"24","ATL","ACFB",2344340,9.209150674,16.32338,131.8575,6.177021277,23.05608916
"25","ATL","ACFB",2344480,17.66857104,16.65869,128.0549,6.154416667,15.49433545
"26","ATL","ACFB",2344737,15.44928032,16.41682,130.2895,6.449142857,15.87169666
"27","ATL","ACFB",2344797,12.29663352,16.46109,133.5812,6.300144928,14.76041128
"28","ATL","ACFB",2344887,12.09389857,16.74838,132.3719,5.514152047,4.256647224
"29","ATL","ACFB",2346358,28.85412388,16.77167,127.456,5.941768707,8.952092021
"30","ATL","ACFB",2347748,11.15960902,17.54682,122.979,5.386565657,2.094073107
"31","RAL","ALBE",2081190,22.08756841,14.25925,117.3073,5.857212121,2.328991786
"32","RAL","ALBE",2081510,13.14168378,14.56661,115.1523,6.933333333,27.19079384
"33","RAL","ALBE",208500600,10.71428571,14.60332,125.3307,5.630136054,12.0332019
"34","RAL","ALBE",208501535,26.06263982,14.58565,123.5609,5.495502646,8.224968938
"35","RAL","ALBE",2085430,23.9485248,14.33403,118.2378,5.243333333,4.011417274
"36","RAL","ALBE",208725055,2.593659942,15.27441,118.1236,6.661916667,53.5436899
"37","RAL","ALBE",208726370,11.05990783,15.30297,117.7947,6.766896552,23.89826796
"38","RAL","ALBE",208726995,0.969305331,15.20096,117.5663,6.788290598,50.61690825
"39","RAL","ALBE",208730725,0.324675325,15.37343,116.5055,6.68372549,60.03548012
"40","RAL","ALBE",208732610,0.454545455,15.47578,114.9722,6.854880952,68.2868911
