species,seed.weight,time,topo,ground,Predation
8,4250,3,1,2,0
5,28.5,1,1,2,0
5,28.5,3,1,2,0
2,4.5,1,1,2,0
2,4.5,2,1,2,0
2,4.5,3,1,2,0
2,4.5,4,1,2,0
2,4.5,5,1,2,0
2,4.5,6,1,2,0
4,14,1,1,2,0
4,14,2,1,2,0
4,14,3,1,2,0
4,14,4,1,2,0
4,14,5,1,2,0
4,14,6,1,2,0
6,30,1,1,2,0
6,30,2,1,2,0
6,30,3,1,2,0
6,30,4,1,2,0
6,30,5,1,2,0
6,30,6,1,2,0
3,12.5,1,1,2,0
3,12.5,2,1,2,0
3,12.5,3,1,2,0
3,12.5,4,1,2,0
3,12.5,6,1,2,0
7,155,1,1,2,0
7,155,2,1,2,0
7,155,3,1,2,0
7,155,5,1,2,0
1,0.75,1,1,2,0
1,0.75,2,1,2,0
1,0.75,3,1,2,0
1,0.75,4,1,2,0
1,0.75,5,1,2,0
1,0.75,6,1,2,0
5,28.5,1,1,2,0
5,28.5,3,1,2,0
5,28.5,4,1,2,0
2,4.5,1,1,2,0
2,4.5,2,1,2,0
2,4.5,3,1,2,0
2,4.5,4,1,2,0
2,4.5,5,1,2,0
2,4.5,6,1,2,0
4,14,1,1,2,0
4,14,2,1,2,0
4,14,3,1,2,0
4,14,4,1,2,0
4,14,5,1,2,0
4,14,6,1,2,0
6,30,1,1,2,0
6,30,2,1,2,0
6,30,3,1,2,0
6,30,5,1,2,0
3,12.5,1,1,2,0
3,12.5,2,1,2,0
3,12.5,3,1,2,0
3,12.5,4,1,2,0
3,12.5,6,1,2,0
7,155,1,1,2,0
7,155,2,1,2,0
7,155,3,1,2,0
7,155,5,1,2,0
1,0.75,1,1,2,0
1,0.75,2,1,2,0
1,0.75,3,1,2,0
1,0.75,4,1,2,0
1,0.75,5,1,2,0
1,0.75,6,1,2,0
8,4250,1,1,2,0
5,28.5,1,1,2,0
5,28.5,2,1,2,0
5,28.5,3,1,2,0
5,28.5,5,1,2,0
2,4.5,1,1,2,0
2,4.5,2,1,2,0
2,4.5,3,1,2,0
2,4.5,4,1,2,0
2,4.5,5,1,2,0
4,14,1,1,2,0
4,14,2,1,2,0
4,14,3,1,2,0
4,14,4,1,2,0
4,14,5,1,2,0
4,14,6,1,2,0
6,30,1,1,2,0
6,30,4,1,2,0
6,30,5,1,2,0
3,12.5,1,1,2,0
3,12.5,2,1,2,0
3,12.5,3,1,2,0
3,12.5,4,1,2,0
3,12.5,5,1,2,0
7,155,1,1,2,0
7,155,2,1,2,0
1,0.75,1,1,2,0
1,0.75,2,1,2,0
1,0.75,3,1,2,0
1,0.75,4,1,2,0
1,0.75,5,1,2,0
1,0.75,6,1,2,0
8,4250,1,4,2,0
8,4250,2,4,2,0
8,4250,3,4,2,0
8,4250,5,4,2,0
8,4250,6,4,2,0
5,28.5,1,4,2,0
5,28.5,2,4,2,0
5,28.5,3,4,2,0
5,28.5,4,4,2,0
5,28.5,5,4,2,0
5,28.5,6,4,2,0
2,4.5,1,4,2,0
2,4.5,2,4,2,0
2,4.5,3,4,2,0
2,4.5,4,4,2,0
2,4.5,5,4,2,0
2,4.5,6,4,2,0
4,14,1,4,2,0
4,14,2,4,2,0
4,14,3,4,2,0
4,14,4,4,2,0
4,14,5,4,2,0
4,14,6,4,2,0
6,30,1,4,2,0
6,30,2,4,2,0
6,30,3,4,2,0
6,30,4,4,2,0
6,30,5,4,2,0
6,30,6,4,2,0
3,12.5,1,4,2,0
3,12.5,2,4,2,0
3,12.5,3,4,2,0
3,12.5,4,4,2,0
3,12.5,5,4,2,0
3,12.5,6,4,2,0
7,155,1,4,2,0
7,155,2,4,2,0
7,155,3,4,2,0
7,155,4,4,2,0
7,155,5,4,2,0
7,155,6,4,2,0
1,0.75,1,4,2,0
1,0.75,2,4,2,0
1,0.75,3,4,2,0
1,0.75,4,4,2,0
1,0.75,5,4,2,0
1,0.75,6,4,2,0
8,4250,1,4,2,0
8,4250,2,4,2,0
8,4250,3,4,2,0
8,4250,5,4,2,0
8,4250,6,4,2,0
5,28.5,1,4,2,0
5,28.5,2,4,2,0
5,28.5,3,4,2,0
5,28.5,4,4,2,0
5,28.5,5,4,2,0
5,28.5,6,4,2,0
2,4.5,1,4,2,0
2,4.5,2,4,2,0
2,4.5,3,4,2,0
2,4.5,4,4,2,0
2,4.5,5,4,2,0
2,4.5,6,4,2,0
4,14,1,4,2,0
4,14,2,4,2,0
4,14,3,4,2,0
4,14,4,4,2,0
4,14,5,4,2,0
4,14,6,4,2,0
6,30,1,4,2,0
6,30,2,4,2,0
6,30,3,4,2,0
6,30,4,4,2,0
6,30,5,4,2,0
6,30,6,4,2,0
3,12.5,1,4,2,0
3,12.5,2,4,2,0
3,12.5,3,4,2,0
3,12.5,4,4,2,0
3,12.5,5,4,2,0
3,12.5,6,4,2,0
7,155,1,4,2,0
7,155,2,4,2,0
7,155,3,4,2,0
7,155,4,4,2,0
7,155,5,4,2,0
7,155,6,4,2,0
1,0.75,1,4,2,0
1,0.75,2,4,2,0
1,0.75,3,4,2,0
1,0.75,4,4,2,0
1,0.75,5,4,2,0
1,0.75,6,4,2,0
8,4250,1,4,2,0
8,4250,2,4,2,0
8,4250,3,4,2,0
8,4250,4,4,2,0
8,4250,5,4,2,0
8,4250,6,4,2,0
5,28.5,1,4,2,0
5,28.5,2,4,2,0
5,28.5,3,4,2,0
5,28.5,4,4,2,0
5,28.5,5,4,2,0
5,28.5,6,4,2,0
2,4.5,1,4,2,0
2,4.5,2,4,2,0
2,4.5,3,4,2,0
2,4.5,4,4,2,0
2,4.5,5,4,2,0
2,4.5,6,4,2,0
4,14,1,4,2,0
4,14,2,4,2,0
4,14,3,4,2,0
4,14,4,4,2,0
4,14,5,4,2,0
4,14,6,4,2,0
6,30,1,4,2,0
6,30,2,4,2,0
6,30,3,4,2,0
6,30,4,4,2,0
6,30,5,4,2,0
6,30,6,4,2,0
