"Bird.Count" "Lat" "Lon" "month" "year"
"5" 0 25.7230333333333 -81.1448 4 1981
"16" 0 25.7230833333333 -81.0270833333333 4 1981
"47" 0 25.65105 -81.0665 4 1981
"60" 1 25.62495 -80.9680833333333 4 1981
"74" 0 25.6159 -80.9581333333333 4 1981
"105" 0 25.5979833333333 -80.9083 4 1981
"112" 2 25.5889333333333 -80.9381333333333 4 1981
"198" 2 25.51695 -80.9179666666667 4 1981
"203" 0 25.5078 -80.9776166666667 4 1981
"204" 0 25.5078333333333 -80.9676666666667 4 1981
"205" 0 25.50785 -80.9577833333333 4 1981
"220" 0 25.8219833333333 -81.2144666666667 4 1981
"223" 0 25.8129833333333 -81.2144166666667 4 1981
"233" 0 25.6158833333333 -81.0469833333333 4 1981
"244" 0 25.75005 -80.9086 4 1981
"262" 0 25.7231166666667 -80.9085166666667 4 1981
"268" 0 25.71405 -80.9185166666667 4 1981
"275" 0 25.70515 -80.9085 4 1981
"289" 0 25.6872 -80.9483 4 1981
"292" 0 25.6871833333333 -80.9184666666667 4 1981
"293" 0 25.6871833333333 -80.9084666666667 4 1981
"297" 0 25.6781166666667 -80.9582333333333 4 1981
"307" 0 25.66905 -80.9581833333333 4 1981
"315" 0 25.66915 -80.8785666666667 4 1981
"320" 1 25.66005 -80.9481833333333 4 1981
"330" 2 25.6509666666667 -80.9780166666667 4 1981
"332" 2 25.651 -80.9581166666667 4 1981
"345" 1 25.6420666666667 -80.9580833333333 4 1981
"360" 2 25.6331166666667 -80.93815 4 1981
"361" 1 25.6331333333333 -80.9282666666667 4 1981
"365" 0 25.6331333333333 -80.8886166666667 4 1981
"435" 0 25.7050833333333 -80.8392 4 1981
"439" 0 25.69605 -80.8391666666667 4 1981
"457" 0 25.6509333333333 -80.85895 4 1981
"466" 0 25.6330166666667 -80.8489833333333 4 1981
"469" 0 25.7500666666667 -81.16465 6 1992
"481" 0 25.7320166666667 -81.0668 6 1992
"482" 0 25.7320333333333 -81.0570666666667 6 1992
"483" 0 25.7230833333333 -81.0270833333333 6 1992
"484" 0 25.7230833333333 -81.01715 6 1992
"487" 0 25.7051 -81.1066166666667 6 1992
"488" 0 25.7051 -81.0966666666667 6 1992
"494" 0 25.696 -81.0866166666667 6 1992
"499" 0 25.6871333333333 -81.0865666666667 6 1992
"504" 0 25.6781666666667 -81.0568166666667 6 1992
"507" 3 25.6690833333333 -81.0764833333333 6 1992
"508" 0 25.6691166666667 -81.06655 6 1992
"509" 0 25.66915 -81.0567833333333 6 1992
"511" 2 25.66005 -81.0764833333333 6 1992
"513" 0 25.6601166666667 -81.05675 6 1992
"520" 0 25.6421333333333 -81.0466166666667 6 1992
"537" 0 25.62505 -80.8787666666667 5 1992
"548" 0 25.61595 -80.8984666666667 5 1992
"605" 0 25.5709 -80.8884166666667 5 1992
"613" 0 25.5619 -80.9081666666667 5 1992
"616" 0 25.5619166666667 -80.8786 5 1992
"617" 0 25.55285 -80.9678166666667 6 1992
"626" 0 25.5528833333333 -80.8786 5 1992
"628" 0 25.5438 -80.9678 6 1992
"645" 0 25.5347666666667 -80.9080833333333 5 1992
"646" 0 25.5347666666667 -80.8981833333333 5 1992
"667" 0 25.5169666666667 -80.908 5 1992
