Plot,type,Numb
1,1,1
1,4,1
1,5,1
1,5,1
2,2,1
2,4,1
2,4,1
2,5,7
3,3,1
3,5,1
5,1 ,2
5,3,5
5,3,5
5,4,2
5,4,1
5,4,1
6,1 ,1
6,1,1
6,2 ,1
6,2,1
6,2,1
6,2,1
6,3,2
6,4 ,1
6,4,1
6,4,1
6,5,2
7,2,1
7,4,2
7,4,2
7,4 ,1
7,4,1
7,5,3
7,5,2
8,4 ,1
8,4,1
8,4,1
8,5,4
8,5,2
9,1 ,10
9,4 ,1
9,5,7
10,1 ,5
10,1,1
10,2,1
10,5,1
11,1 ,1
11,2,3
11,2,1
11,3,1
11,5,1
12,1 ,1
12,2,2
12,2,1
12,4,2
12,4 ,1
12,4,1
12,4,1
12,4,1
12,5,1
12,5,1
13,2,4
13,3,1
13,4,1
13,4,1
13,5,2
14,1 ,1
14,2,2
14,2,1
14,3,1
14,4,4
14,4,1
14,4,1
14,5,2
15,2,1
15,4,4
15,5,1
16,2,3
16,2,2
16,2,2
16,4 ,1
16,4,1
16,4,1
16,4,1
16,4,1
17,2,2
17,3,1
17,3,1
17,4,3
17,4,3
17,4 ,1
17,4,1
17,5,2
17,5,2
17,5,1
17,5,1
18,2,2
18,2,1
18,3 ,1
18,4,4
18,5,10
18,5,4
18,5,1
19,2,2
19,3,1
19,4,6
19,5,1
19,5,1
20,2,1
20,4,3
20,4,2
20,4,1
20,4,1
20,4,1
20,5,7
21,2 ,1
21,3,1
21,4 ,6
21,4,2
21,4,1
21,4,1
21,4,1
21,4,1
21,5,1
21,5,1
21,5,1
22,2,1
22,2,1
22,2,1
22,4,1
22,5,2
23,2,1
23,4,2
23,4,1
24,4,6
24,4,1
24,4,1
24,4,1
24,4,1
24,5,2
24,5,2
25,1 ,3
25,2,1
25,4,6
25,4,1
25,4,1
25,5,1
26,4 ,6
26,4,1
26,4,1
26,4,1
26,5,2
26,5,1
27,2,1
28,2,1
29,2,1
29,2,1
29,4,1
29,5,3
29,5,2
29,5,2
30,2,6
30,4,2
30,5,1
31,2,1
31,2,1
31,2,1
31,4,1
31,4,1
31,5,1
31,5,1
31,5,
32,2,4
32,2,3
32,2,1
32,2,1
32,3,1
32,4,1
32,5,2
32,5,1
33,2,1
33,5,1
33,5,1
34,2,1
34,5,1
34,5,1
35,4,1
35,5,2
36,3,1
37,1 ,2
37,2,1
37,2,1
37,3,2
37,4,5
37,4,1
37,4,1
37,4,1
37,4,1
37,5,4
37,5,1
38,2,1
38,2,1
38,2,1
38,2,1
38,4,4
38,4,2
38,4,1
38,5,5
38,5,2
39,2,1
39,2,1
39,2,1
39,2,1
39,3,1
39,4,4
39,4,1
39,5,8
39,5,4
39,5,2
40,2 ,3
40,2,3
40,2,3
40,2,2
40,2,2
40,2,1
40,3,3
40,3,3
40,4,3
40,4,1
40,4,1
40,4,1
40,5,7
40,5,4
40,5,
41,2,3
41,2,2
41,3,3
41,3,1
41,4,1
41,4,1
41,4,1
41,5,4
42,2,1
42,4,2
42,4,1
42,5,5
42,5,4
42,5,2
42,5,1
43,2,2
43,2,2
43,2,1
43,4,5
43,4,1
43,5,7
43,5,3
43,5,1
44,2,2
44,2,1
44,3,2
44,3,2
44,3,1
44,3,1
44,4,8
44,4,1
44,4,1
44,5,5
44,5,2
44,5,2
44,5,1
44,5,1
45,2,3
45,2,1
45,3,1
45,4,4
45,5,7
45,5,4
45,5,2
45,5,1
46,2,4
46,4,4
46,4,3
46,4,2
46,4,1
46,5,8
46,5,6
46,5,4
46,5,2
47,2,2
47,2,1
47,2,1
47,3,2
47,4,3
47,4,2
47,4,2
47,5,5
47,5,2
48,2,1
48,4,1
48,4,1
48,5,1
48,5,1
48,5,1
48,5,1
49,2,1
49,3,3
49,4,1
49,4,1
49,5,2
50,2,3
50,3,2
50,4,2
50,4,1
50,4,1
51,1,2
51,2,2
51,2,1
51,3,3
51,3,1
51,4,2
51,4,2
51,4,1
51,5,2
51,5,2
51,5,1
52,2,4
52,2,2
52,2,1
52,4,2
52,4,2
52,4,1
52,4,1
52,5,6
52,5,3
52,5,2
52,5,1
53,2,7
53,2,6
