Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370068A        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / INFLUENT - APPROACH OF PARSHAL FLUME                                                                         	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 158600E-2  	 	03030002	00008	1979-06-26	      1000	1979-06-27	    1000	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370068A        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / INFLUENT - APPROACH OF PARSHAL FLUME                                                                         	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 158700E-2  	 	03030002	00008	1979-06-27	      1000	1979-06-28	    1000	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370068B        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / EFFLUENT OF SECONDARY CLARIFIER                                                                              	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 158800E-2  	 	03030002	00008	1979-06-26	      1000	1979-06-27	    1000	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370068B        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / EFFLUENT OF SECONDARY CLARIFIER                                                                              	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 158900E-2  	 	03030002	00008	1979-06-27	      1000	1979-06-28	    1000	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370068C        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / DRYING BEDS - RANDOM SAMPLES OF SLUDGE                                                                       	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 159000E-2  	 	03030002	00008	1979-06-27	      1315	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370152A        	MEBANE STP AT MEBANE NC TO MOADAM CREEK / CAPE FEAR RIVER BASIN / SLUDGE FROM TRENCHES                                                                                        	USEPA REGION 4           	North Carolina                	Alamance                      	 36.098333	-79.27                                   	 122200E-2  	 	03030002	00008	1980-05-06	      1350	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370068A        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / INFLUENT - APPROACH OF PARSHAL FLUME                                                                         	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667                               	 170000E-4  	 	03030002	00010	1979-02-07	      1020	          	        	            	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 165000E-4  	 	03030002	00010	1974-04-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 210000E-4  	 	03030002	00010	1974-05-23	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 220000E-4  	 	03030002	00010	1974-06-27	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 235000E-4  	 	03030002	00010	1974-07-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 252000E-4  	 	03030002	00010	1974-08-29	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 170000E-4  	 	03030002	00010	1974-09-26	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 165000E-4  	 	03030002	00010	1974-10-30	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 950000E-5  	 	03030002	00010	1974-11-21	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 550000E-5  	 	03030002	00010	1974-12-18	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 900000E-5  	 	03030002	00010	1975-01-30	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 920000E-5  	 	03030002	00010	1975-02-27	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 135000E-4  	 	03030002	00010	1975-03-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 180000E-4  	 	03030002	00010	1975-04-24	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 246000E-4  	 	03030002	00010	1975-05-29	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 270000E-4  	 	03030002	00010	1975-06-26	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 254000E-4  	 	03030002	00010	1975-07-30	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 272000E-4  	 	03030002	00010	1975-08-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 190000E-4  	 	03030002	00010	1975-09-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 148000E-4  	 	03030002	00010	1975-10-23	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639                               	 110000E-4  	 	03030002	00010	1975-11-20	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
