Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370068A        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / INFLUENT - APPROACH OF PARSHAL FLUME                                                                         	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667 	03030002	               	              	        	                                                            	NC0021211 A,GI       GRA                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370068B        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / EFFLUENT OF SECONDARY CLARIFIER                                                                              	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667 	03030002	               	              	        	                                                            	NC0021211 B,GE-001   GRA                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370068C        	GRAHAM STP AT GRAHAM NC TO TOWN BRANCH / CAPE FEAR RIVER BASIN / DRYING BEDS - RANDOM SAMPLES OF SLUDGE                                                                       	USEPA REGION 4           	North Carolina                	Alamance                      	 36.076667	-79.411667 	03030002	               	              	        	                                                            	NC0021211 C,GDS      GRA                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370152A        	MEBANE STP AT MEBANE NC TO MOADAM CREEK / CAPE FEAR RIVER BASIN / SLUDGE FROM TRENCHES                                                                                        	USEPA REGION 4           	North Carolina                	Alamance                      	 36.098333	-79.27     	03030002	               	              	        	                                                            	NC0021474 A,M-S      MEB                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
11BIOACC	3164           	HAW RIVER @ SAXAPAHAW /  /                                                                                                                                                    	U.S. EPA MDSD            	North Carolina                	Alamance                      	 35.945833	-79.322222 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
121WILEN	H-1            	ALAMANCE CO 2146 @ HAW RIVER @ SAXAPAHAW SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.946194	-79.368639 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
121WILEN	H-2            	ALAMANCE CO 1005 @ HAW RIVER SEE #5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                             	CORPS OF ENGINEERS       	North Carolina                	Alamance                      	 35.895306	-79.258278 	03030002	            011	            .8	OFF     	HAW R                                                       	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
12OWNIRS	NC0229101      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Alamance                      	 35.733333	-80.366667 	03040103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	          148	FEET                	 	 	none
21NC37GW	AM1095         	GIBSONVILLE / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Alamance                      	 36.110278	-79.535    	03030002	               	              	        	                                                            	G50R1,100AM1095                         	/TYPA/AMBNT/WELL                                                 	          451	FEET                	 	G	none
