
Alamance, NC
Number of Stations = 41


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	4     	6     	1979-06-26	1980-05-06	  1.22E+03  	  1.59E+03  	  1.53E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	3     	55    	1974-04-25	1979-02-07	  1.10E+01  	  9.50E+00  	  1.67E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	1     	1979-02-07	1979-02-07	  6.26E+01  	  6.26E+01  	  6.26E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	4     	7     	1979-02-07	1980-05-06	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1987-05-18	1987-05-18	  1.57E+04  	  1.57E+04  	  1.57E+04
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	2     	54    	1974-04-25	1976-06-22	  1.00E+01  	  9.10E+01  	  3.14E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	2     	54    	1974-04-25	1976-06-22	  1.04E+02  	  9.40E+01  	  1.64E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	2     	54    	1974-04-25	1976-06-22	  1.01E+01  	  9.70E+00  	  8.37E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	2     	54    	1974-04-25	1976-06-22	  4.14E+01  	  9.77E+01  	  8.31E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	4     	53    	1974-04-25	1979-06-27	  1.00E+02  	  8.90E+00  	  1.70E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	4     	1979-06-26	1979-06-27	  3.28E+02  	  7.30E+02  	  5.57E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	3     	55    	1974-04-25	1979-02-07	  2.90E+00  	  9.40E+00  	  7.12E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	54    	1974-04-25	1976-06-22	  1.03E+02  	  9.60E+00  	  3.89E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	4     	1979-06-26	1979-06-27	  1.12E+02  	  3.60E+01  	  7.80E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	2     	54    	1974-04-25	1976-06-22	  1.06E+00  	  8.90E-01  	  2.02E+00
00608	NH3+NH4- N DISS   MG/L    	NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)          	2     	54    	1974-04-25	1976-06-22	  1.00E-01  	  8.00E-02  	  3.79E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	2     	4     	1979-06-26	1979-06-27	  1.07E+01  	  8.20E+00  	  9.73E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	2     	54    	1974-04-25	1976-06-22	  1.05E-03  	  9.90E-05  	  1.76E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	2     	54    	1974-04-25	1976-06-22	  1.00E-03  	  9.58E-04  	  2.14E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	2     	54    	1974-04-25	1976-06-22	  1.00E+00  	  9.50E-01  	  9.50E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	2     	54    	1974-04-25	1976-06-22	  1.00E+00  	  9.60E-01  	  1.07E+00
