Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671700E-2  	 	03050101	00008	1973-03-30	      1505	          	        	          85	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671600E-2  	 	03050101	00008	1973-03-30	      1505	          	        	          60	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671400E-2  	 	03050101	00008	1973-03-30	      1505	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671500E-2  	 	03050101	00008	1973-03-30	      1505	          	        	          35	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671200E-2  	 	03050101	00008	1973-03-30	      1505	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 671300E-2  	 	03050101	00008	1973-03-30	      1505	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 106060E-1  	 	03050101	00008	1973-07-07	      1050	          	        	          85	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 106050E-1  	 	03050101	00008	1973-07-07	      1050	          	        	          60	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 106030E-1  	 	03050101	00008	1973-07-07	      1050	          	        	          16	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 106020E-1  	 	03050101	00008	1973-07-07	      1050	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667                               	 106040E-1  	 	03050101	00008	1973-07-07	      1050	          	        	          30	        	                	  	                     	B 	                                                            	
