Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	370504         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Alexander                     	 35.795833	-81.191667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           90	FEET                	S	 	NEAR DAM AT NORTHEAST AREA, ABOUT 50 YDS FROM DAM.  SAMPLE SITE IS NEARER NORTH SHORE, ABOUT 100 YDS FROM SHORELINE. COMMENTS: 3-30, ULE 19, ONE PER CENT LIGHT AT 2-1/2 FT; 6 PER CENT LIGHT AT ONE FT; WATER IS TURBID AND CLAY COLORED, WITHOUT VISIBLE ALGAE. 7-7 ULE 16; 1% LIGHT AT 16 FT; 4.2% LIGHT AT SURFACE. USGS MAP: CHARLOTTE QUAD
21NC37GW	AX1042         	TAYLORSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                     	NC DE&NR                 	North Carolina                	Alexander                     	 35.916667	-81.163889 	03050101	               	              	        	                                                            	I69Y1,100AX1042                         	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	TAYLORSVILLE TOWN OF TAYLORSVILLE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1968 MEASURED SEMI-ANNUAL AQUIFER GRGS 0.3 MI. WEST OF NC90 ON ROAD 1645
21NC37GW	AX1248         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	 35.857778	-81.17     	03050101	               	              	        	                                                            	J70T2,100AX1248                         	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	TAYLORSVILLE JEROME BOLICK C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1975 MEASURED MONTHLY AQUIFER WT 0.8 MILE E. OF NC 16 ON N. SIDE OF SR1610 150' E. OF SR 1609
21NC37GW	AX1806         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	 35.916667	-81.166667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          545	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AX1825         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	 35.833333	-81.316667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           47	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AX1826         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	     35.85	-81.3      	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AX1827         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	     35.95	-81.25     	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          325	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AX1828         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	 35.933333	-81.166667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          405	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AX1829         	TAYLORSVILLE / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Alexander                     	 35.933333	-81.2      	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          405	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
