Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 400000E-5  	 	        	00010	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 400000E-5  	 	        	00010	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 500000E-5  	 	        	00080	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 500000E-5  	K	        	00080	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 500000E-4  	 	        	00095	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 450000E-4  	 	        	00095	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 105000E-4  	 	        	00300	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 105000E-4  	 	        	00300	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 801527E-4  	$	        	00301	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 801527E-4  	$	        	00301	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 270000E-5  	 	        	00310	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 180000E-5  	 	        	00310	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 520000E-5  	 	        	00335	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 580000E-5  	 	        	00335	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 700000E-5  	 	        	00400	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 710000E-5  	 	        	00400	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 250000E-4  	 	        	00500	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 750000E-4  	 	        	00500	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 120000E-4  	 	        	00530	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 350000E-4  	 	        	00530	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 000000E+0  	 	        	00550	1972-01-27	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	                                         	 800000E-6  	 	        	00550	1972-01-27	      1200	          	        	            	        	                	  	                     	B 	                                                            	
