Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114O100	NC0000019A     	SPRAGUE ELECTRIC US OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	           	        	               	              	        	                                                            	none                                    	/AMBNT/WELL/OCEAN                                                	            0	FEET                	 	G	SAMPLE TAKEN AT SPRAGUE ELECTRIC US OUTFALL ON THE NORTH FORK OF THE NEW RIVER. 1072 ENFORCEMENT STUDY BY WHEELING FIELD OFFICE. WILKESBORO, N.C. 30 MIN QUAD MAP
1114O100	NC0000019B     	SPRAGUE ELECTRIC DS OUTFALL / OHIO RIVER / KANAWHA RIVER                                                                                                                      	USEPA REGION 3           	North Carolina                	Alleghany                     	          	           	        	               	              	        	                                                            	none                                    	/AMBNT/WELL/OCEAN                                                	            0	FEET                	 	G	SAMPLE TAKEN AT THE SPRAGUE ELECTRIC DS OUTFALL ON THE NORTH FORK OF THE NEW RIVER NEAR LANSING. 1972 ENFORCEMENT STUDY BY W HEELING FIELD OFFICE. WILKESBORO, N.C. 30 MIN QUAD MAP
21NC37GW	AL1101         	LAUREL SPRINGS / SOUTHEAST / KANAWHA                                                                                                                                          	NC DE&NR                 	North Carolina                	Alleghany                     	 36.416389	-81.258611 	05050001	               	              	        	                                                            	D71A1,100AL1101                         	/TYPA/AMBNT/WELL                                                 	           74	FEET                	 	G	none
21NC37GW	AL1477         	SPARTA / OHIO / KANAWHA                                                                                                                                                       	NC DE&NR                 	North Carolina                	Alleghany                     	      36.5	-81.083333 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          295	FEET                	 	G	BILL GAMBILL C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AL1478         	LAUREL SPRINGS / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Alleghany                     	 36.483333	-81.283333 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	TIM BLEVINS C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AL1479         	LAUREL SPRINGS / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Alleghany                     	 36.416667	-81.183333 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	RAYBURN SYKES C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AL1481         	PINEY CREEK / OHIO / KANAWHA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Alleghany                     	 36.516667	-81.316667 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          127	FEET                	 	G	JOHNNY LOGGINS C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AL1482         	PINEY CREEK / OHIO / KANAWHA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Alleghany                     	 36.516667	-81.316667 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          505	FEET                	 	G	AL BOWMAN C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AL1483         	SPARTA / OHIO / KANAWHA                                                                                                                                                       	NC DE&NR                 	North Carolina                	Alleghany                     	 36.533333	-80.983333 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	WAYNE ROBERTS C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NCGWNW	AL1101         	LAUREL SPRINGS / SOUTHEAST / KANAWHA                                                                                                                                          	NC ENV. HTH. NAT. RES.   	North Carolina                	Alleghany                     	 36.416389	-81.258611 	05050001	               	              	        	                                                            	D71A1,100AL1101                         	/TYPA/AMBNT/WELL                                                 	           74	FEET                	 	G	none
