Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 642300E-2  	 	03040201	00008	1973-03-23	      1300	          	        	          24	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 642400E-2  	 	03040201	00008	1973-03-23	      1300	          	        	          18	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 642600E-2  	 	03040201	00008	1973-03-23	      1300	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 642700E-2  	 	03040201	00008	1973-03-23	      1300	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 642500E-2  	 	03040201	00008	1973-03-23	      1300	          	        	          12	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 103860E-1  	 	03040201	00008	1973-07-05	      1430	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 103870E-1  	 	03040201	00008	1973-07-05	      1430	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 103880E-1  	 	03040201	00008	1973-07-05	      1430	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 103890E-1  	 	03040201	00008	1973-07-05	      1430	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 142490E-1  	 	03040201	00008	1973-09-19	      1640	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 142480E-1  	 	03040201	00008	1973-09-19	      1640	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 142460E-1  	 	03040201	00008	1973-09-19	      1640	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 142470E-1  	 	03040201	00008	1973-09-19	      1640	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	370203         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Anson                         	 34.985278	-79.8725                                 	 120000E-4  	 	03040201	00010	1973-03-23	      1300	          	        	          24	        	                	  	                     	B 	                                                            	
