
Anson, NC
Number of Stations = 6


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	13    	1973-03-23	1973-09-19	  1.04E+04  	  6.43E+03  	  1.01E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	13    	1973-03-23	1973-09-19	  1.20E+01  	  2.85E+01  	  2.10E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	1     	1978-06-22	1978-06-22	  1.98E+03  	  1.98E+03  	  1.98E+03
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	1     	13    	1973-03-23	1973-09-19	  3.80E+01  	  8.30E+01  	  6.71E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	3     	1973-03-23	1973-09-19	  1.00E+01  	  3.80E+01  	  2.20E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	1     	4     	1973-09-19	1973-09-19	  7.70E+01  	  9.80E+01  	  8.73E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	9     	1973-03-23	1973-07-05	  7.30E+01  	  9.00E+01  	  8.03E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	10    	1973-03-23	1973-09-19	  1.00E+01  	  9.80E+00  	  7.36E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	10    	1973-03-23	1973-09-19	  5.00E+01  	  9.75E+01  	  7.81E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	1     	13    	1973-03-23	1973-09-19	  6.50E+00  	  8.90E+00  	  7.18E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	1     	13    	1973-03-23	1973-09-19	  1.70E+01  	  2.90E+01  	  2.21E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	1     	13    	1973-03-23	1973-09-19	  1.30E-01  	  8.00E-02  	  1.17E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	1     	13    	1973-03-23	1973-09-19	  1.16E-04  	  9.81E-05  	  4.52E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	1     	13    	1973-03-23	1973-09-19	  1.02E-03  	  8.39E-04  	  5.50E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	1     	13    	1973-03-23	1973-09-19	  2.00E-01  	  9.00E-01  	  4.62E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	1     	13    	1973-03-23	1973-09-19	  2.30E-01  	  5.60E-01  	  4.12E-01
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	1     	1     	1984-10-29	1984-10-29	  7.50E+01  	  7.50E+01  	  7.50E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	1     	13    	1973-03-23	1973-09-19	  1.00E-01  	  9.60E-02  	  7.10E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	1     	13    	1973-03-23	1973-09-19	  1.30E-02  	  8.00E-03  	  2.71E-02
00918	CALCIUMT OT.REC.  MG/L    	CALCIUM,TOTAL RECOVERABLE IN WATER AS CA     MG/L 	1     	1     	1984-10-29	1984-10-29	  8.02E+00  	  8.02E+00  	  8.02E+00
00921	MGNESIUM TOT.REC. MG/L    	MAGNESIUM,TOTAL RECOVERABLE IN WATER AS MG   MG/L 	1     	1     	1984-10-29	1984-10-29	  3.42E+00  	  3.42E+00  	  3.42E+00
00923	SODIUM   TOT.REC. MG/L    	SODIUM,TOTAL RECOVERABLE IN WATER AS NA      MG/L 	1     	1     	1984-10-29	1984-10-29	  9.55E+00  	  9.55E+00  	  9.55E+00
00939	POTASIUM TOT.REC. MG/L    	POTASSIUM,TOTAL RECOVERABLE IN WATER AS K    MG/L 	1     	1     	1984-10-29	1984-10-29	  3.54E+00  	  3.54E+00  	  3.54E+00
00978	ARSENIC  TOT REC  UG/L    	ARSENIC,TOTAL RECOVERABLE IN WATER AS AS    UG/L  	1     	1     	1984-10-29	1984-10-29	  5.00E+00  	  5.00E+00  	  5.00E+00
00979	COBALT   TOT REC  UG/L    	COBALT,TOTAL RECOVERABLE IN WATER AS CO  UG/L     	1     	1     	1984-10-29	1984-10-29	  6.00E+00  	  6.00E+00  	  6.00E+00
00980	IRON     TOT REC  UG/L    	IRON,TOTAL RECOVERABLE IN WATER AS FE  UG/L       	1     	1     	1984-10-29	1984-10-29	  9.00E+00  	  9.00E+00  	  9.00E+00
00981	SELENIUM TOT REC  UG/L    	SELENIUM,TOTAL RECOVERABLE IN WATER AS SE   UG/L  	1     	1     	1984-10-29	1984-10-29	  5.00E+00  	  5.00E+00  	  5.00E+00
00982	THALLIUM TOT REC  UG/L    	THALLIUM, TOTAL RECOVERABLE IN WATER AS TL  UG/L  	1     	1     	1984-10-29	1984-10-29	  8.00E+00  	  8.00E+00  	  8.00E+00
00983	TIN      TOT REC  UG/L    	TIN,TOTAL RECOVERABLE IN WATER AS SN  UG/L        	1     	1     	1984-10-29	1984-10-29	  3.00E+00  	  3.00E+00  	  3.00E+00
00984	TITANIUM TOT REC  UG/L    	TITANIUM,TOTAL RECOVERABLE IN WATER AS TI   UG/L  	1     	1     	1984-10-29	1984-10-29	  2.00E+00  	  2.00E+00  	  2.00E+00
00985	VANADIUM TOT REC  UG/L    	VANADIUM, TOTAL RECOVERABLE IN WATER AS V  UG/L   	1     	1     	1984-10-29	1984-10-29	  3.00E+00  	  3.00E+00  	  3.00E+00
00986	YTTRIUM  TOT REC  UG/L    	YTTRIUM,TOTAL RECOVERABLE IN WATER AS Y  UG/L     	1     	1     	1984-10-29	1984-10-29	  1.00E+00  	  1.00E+00  	  1.00E+00
00992	SILICA   WTR  TOT REC UG/L	SILICA (SIO2), WATER, TOTAL RECOVERABLE       UG/L	1     	1     	1984-10-29	1984-10-29	  3.67E+04  	  3.67E+04  	  3.67E+04
