Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	AS2175         	WEST FEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                     	NC DE&NR                 	North Carolina                	Ashe                          	 36.366667	-81.5                                    	 840000E-4  	 	05050001	72001	1981-12-30	      2500	          	        	          84	        	                	  	                     	B 	                                                            	
21NC37GW	AS2176         	JEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                          	NC DE&NR                 	North Carolina                	Ashe                          	     36.25	-81.416667                               	 184000E-3  	 	03040101	72001	1981-12-30	      2500	          	        	         184	        	                	  	                     	B 	                                                            	
21NC37GW	AS2177         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Ashe                          	     36.35	-81.35                                   	 164000E-3  	 	03040101	72001	1982-03-22	      2500	          	        	         164	        	                	  	                     	B 	                                                            	
21NC37GW	AS2178         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.7                                    	 124000E-3  	 	05050001	72001	1982-04-14	      2500	          	        	         124	        	                	  	                     	B 	                                                            	
21NC37GW	AS2179         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.390278	-81.379167                               	 144000E-3  	 	05050001	72001	1982-05-10	      2500	          	        	         144	        	                	  	                     	B 	                                                            	
21NC37GW	AS2180         	JEFFERSON / OHIO / KANAWAH                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.329167	-81.515278                               	 244000E-3  	 	05050001	72001	1982-04-28	      2500	          	        	         244	        	                	  	                     	B 	                                                            	
21NC37GW	AS2181         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.384722	-81.401389                               	 204000E-3  	 	05050001	72001	1982-04-28	      2500	          	        	         204	        	                	  	                     	B 	                                                            	
21NC37GW	AS2182         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.483333	-81.366667                               	 144000E-3  	 	05050001	72001	1982-04-24	      2500	          	        	         144	        	                	  	                     	B 	                                                            	
21NC37GW	AS2183         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.433333                               	 244000E-3  	 	05050001	72001	1982-05-28	      2500	          	        	         244	        	                	  	                     	B 	                                                            	
21NC37GW	AS2184         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.483333	-81.416667                               	 184000E-3  	 	05050001	72001	1982-04-28	      2500	          	        	         184	        	                	  	                     	B 	                                                            	
21NC37GW	AS2185         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.416667	-81.5                                    	 104000E-3  	 	05050001	72001	1982-05-28	      2500	          	        	         104	        	                	  	                     	B 	                                                            	
21NC37GW	AS2186         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	      36.4	-81.416667                               	 104000E-3  	 	05050001	72001	1982-05-28	      2500	          	        	         104	        	                	  	                     	B 	                                                            	
21NC37GW	AS2187         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.5                                    	 204000E-3  	 	05050001	72001	1982-06-09	      2500	          	        	         204	        	                	  	                     	B 	                                                            	
21NC37GW	AS2188         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.283333	-81.466667                               	 144000E-3  	 	05050001	72001	1982-06-09	      2500	          	        	         144	        	                	  	                     	B 	                                                            	
21NC37GW	AS2189         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.466667	-81.466667                               	 124000E-3  	 	05050001	72001	1982-06-09	      2500	          	        	         124	        	                	  	                     	B 	                                                            	
21NC37GW	AS2190         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.283333	-81.466667                               	 164000E-3  	 	05050001	72001	1982-05-09	      2500	          	        	         164	        	                	  	                     	B 	                                                            	
21NC37GW	AS2191         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.416667                               	 124000E-3  	 	05050001	72001	1982-07-20	      2500	          	        	         124	        	                	  	                     	B 	                                                            	
21NC37GW	AS2192         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.533333                               	 180000E-3  	 	05050001	72001	1982-07-01	      2500	          	        	         180	        	                	  	                     	B 	                                                            	
21NC37GW	AS2193         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Ashe                          	 36.295833	-81.470833                               	 124000E-3  	 	05050001	72001	1982-08-14	      2500	          	        	         124	        	                	  	                     	B 	                                                            	
21NC37GW	AS2194         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Ashe                          	 36.295833	-81.465278                               	 120000E-3  	 	05050001	72001	1982-08-14	      2500	          	        	         120	        	                	  	                     	B 	                                                            	
21NC37GW	AS2195         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.683333                               	 840000E-4  	 	05050001	72001	1982-08-20	      2500	          	        	          84	        	                	  	                     	B 	                                                            	
21NC37GW	AS2196         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.416667                               	 152000E-3  	 	05050001	72001	1982-07-28	      2500	          	        	         152	        	                	  	                     	B 	                                                            	
21NC37GW	AS2197         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.416667	-81.416667                               	 255000E-3  	 	05050001	72001	1982-01-06	      2500	          	        	         255	        	                	  	                     	B 	                                                            	
21NC37GW	AS2199         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.266667	-81.433333                               	 105000E-3  	 	05050001	72001	1982-07-21	      2500	          	        	         105	        	                	  	                     	B 	                                                            	
21NC37GW	AS2200         	DEEP GAP / OHIO / KANAWHA                                                                                                                                                     	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.533333                               	 850000E-4  	 	05050001	72001	1982-05-21	      2500	          	        	          85	        	                	  	                     	B 	                                                            	
21NC37GW	AS2202         	LANSING / OHIO / KANAWHA                                                                                                                                                      	NC DE&NR                 	North Carolina                	Ashe                          	 36.416667	-81.5                                    	 000000E+0  	 	05050001	72001	1981-09-30	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
21NC37GW	AS2203         	LAUREL SPRINGS / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	      36.4	-81.283333                               	 165000E-3  	 	05050001	72001	1982-08-16	      2500	          	        	         165	        	                	  	                     	B 	                                                            	
21NC37GW	AS2204         	LANSING / OHIO / KANAWHA                                                                                                                                                      	NC DE&NR                 	North Carolina                	Ashe                          	     36.55	-81.466667                               	 155000E-3  	 	05050001	72001	1982-06-25	      2500	          	        	         155	        	                	  	                     	B 	                                                            	
21NC37GW	AS2205         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	      36.3	-81.516667                               	 297000E-3  	 	05050001	72001	1982-06-18	      2500	          	        	         297	        	                	  	                     	B 	                                                            	
21NC37GW	AS2207         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	      36.5	-81.333333                               	 152000E-3  	 	05050001	72001	1982-06-15	      2500	          	        	         152	        	                	  	                     	B 	                                                            	
21NC37GW	AS2208         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.516667	-81.633333                               	 000000E+0  	 	05050001	72001	1982-06-26	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
21NC37GW	AS2209         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.5                                    	 180000E-3  	 	05050001	72001	1982-06-17	      2500	          	        	         180	        	                	  	                     	B 	                                                            	
21NC37GW	AS2210         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.433333	-81.416667                               	 155000E-3  	 	05050001	72001	1982-01-27	      2500	          	        	         155	        	                	  	                     	B 	                                                            	
21NC37GW	AS2211         	LANSING / OHIO / KANAWHA                                                                                                                                                      	NC DE&NR                 	North Carolina                	Ashe                          	 36.566667	-81.5                                    	 185000E-3  	 	05050001	72001	1982-01-04	      2500	          	        	         185	        	                	  	                     	B 	                                                            	
21NC37GW	AS2212         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.433333	-81.483333                               	 105000E-3  	 	05050001	72001	1982-01-04	      2500	          	        	         105	        	                	  	                     	B 	                                                            	
21NC37GW	AS2213         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.316667	-81.466667                               	 105000E-3  	 	05050001	72001	1982-01-07	      2500	          	        	         105	        	                	  	                     	B 	                                                            	
21NC37GW	AS2215         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.433333	-81.4                                    	 780000E-4  	 	05050001	72001	1982-01-08	      2500	          	        	          78	        	                	  	                     	B 	                                                            	
21NC37GW	AS2216         	CRESTON / OHIO / KANAWHA                                                                                                                                                      	NC DE&NR                 	North Carolina                	Ashe                          	      36.4	-81.666667                               	 405000E-3  	 	05050001	72001	1982-09-02	      2500	          	        	         405	        	                	  	                     	B 	                                                            	
21NC37GW	AS2217         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.483333	-81.45                                   	 155000E-3  	 	05050001	72001	1982-08-26	      2500	          	        	         155	        	                	  	                     	B 	                                                            	
21NC37GW	AS2218         	BROWNWOOD / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.266667	-81.366667                               	 105000E-3  	 	03040101	72001	1982-08-19	      2500	          	        	         105	        	                	  	                     	B 	                                                            	
21NC37GW	AS2219         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	     36.35	-81.533333                               	 000000E+0  	 	05050001	72001	1982-08-01	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
21NC37GW	AS2220         	GLENDALE SPRINGS / OHIO / KANAWHA                                                                                                                                             	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.383333                               	 230000E-3  	 	05050001	72001	1982-02-10	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	AS2221         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.433333	-81.35                                   	 205000E-3  	 	05050001	72001	1982-04-29	      2500	          	        	         205	        	                	  	                     	B 	                                                            	
21NC37GW	AS2222         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.333333	-81.333333                               	 505000E-3  	 	03040101	72001	1982-08-01	      2500	          	        	         505	        	                	  	                     	B 	                                                            	
21NC37GW	AS2223         	LAUREL SPRINGS / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.333333                               	 155000E-3  	 	05050001	72001	1982-08-20	      2500	          	        	         155	        	                	  	                     	B 	                                                            	
21NC37GW	AS2175         	WEST FEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                     	NC DE&NR                 	North Carolina                	Ashe                          	 36.366667	-81.5                                    	 780000E-4  	 	05050001	72002	1981-12-30	      2500	          	        	          84	        	                	  	                     	B 	                                                            	
21NC37GW	AS2176         	JEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                          	NC DE&NR                 	North Carolina                	Ashe                          	     36.25	-81.416667                               	 120000E-3  	 	03040101	72002	1981-12-30	      2500	          	        	         184	        	                	  	                     	B 	                                                            	
