Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	AS1106         	JEFFERSON / SOUTHEAST / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.419722	-81.470833 	05050001	               	              	        	                                                            	C73X4,100AS1106                         	/TYPA/AMBNT/WELL                                                 	          128	FEET                	 	G	none
21NC37GW	AS1141         	GLENDALE SPRINGS / SOUTHEAST / KANAWHA                                                                                                                                        	NC DE&NR                 	North Carolina                	Ashe                          	 36.334722	-81.415556 	05050001	               	              	        	                                                            	D72Y1,100AS1141                         	/TYPA/AMBNT/WELL                                                 	          270	FEET                	 	G	none
21NC37GW	AS2175         	WEST FEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                     	NC DE&NR                 	North Carolina                	Ashe                          	 36.366667	-81.5      	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2176         	JEFFERSON / SOUTHEAST / YADKIN PEE DEE LOWER PEE DEE                                                                                                                          	NC DE&NR                 	North Carolina                	Ashe                          	     36.25	-81.416667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          184	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2177         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Ashe                          	     36.35	-81.35     	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          164	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2178         	WEST JEFFERSON / OHIO / KANAWHA                                                                                                                                               	NC DE&NR                 	North Carolina                	Ashe                          	 36.383333	-81.7      	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          124	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2179         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.390278	-81.379167 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          144	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2180         	JEFFERSON / OHIO / KANAWAH                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.329167	-81.515278 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          244	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	AS2181         	JEFFERSON / OHIO / KANAWHA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Ashe                          	 36.384722	-81.401389 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          204	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
