Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 599000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4628	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 590000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4627	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 395000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4625	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 350000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4624	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 504000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4626	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 336000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4623	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 263000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4621	        	                	  	                     	B 	                                                            	
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667                               	 313000E-1  	 	        	00019	1976-04-14	      0050	          	        	        4622	        	                	  	                     	B 	                                                            	
11NOAMID	HGFISH13       	NORTH ATLANTIC OFFSHORE WATERS-E.OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.616667	-75.333333                               	 100000E-3  	 	        	00039	1971-04-03	      0059	          	        	        3181	        	                	  	                     	B 	                                                            	
