Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPAMW 	4400           	HATTERAS ISLAND NORTH CAROLINA / ATLANTIC OCEAN / ATLANTIC OCEAN                                                                                                              	USEPA HQ                 	North Carolina                	Atlantic Ocean                	    35.205	-75.716667 	03020105	               	              	        	                                                            	H                                       	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	none
11NOAMID	DUMP15         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.083333	-74.416667 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	HEAVY METALS IN FINFISH, INVERTEBRATES,APEX PREDATORS AND SEDIMENTS IN AND NEAR DEEPWATER DUMPSITE 106 - R.A.GRIEG, ET AL
11NOAMID	DUMP17         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	    33.975	-75.683333 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	HEAVY METALS IN FINFISH, INVERTEBRATES,APEX PREDATORS AND SEDIMENTS IN AND NEAR DEEPWATER DUMPSITE 106 - R.A.GRIEG, ET AL
11NOAMID	DUMP19         	DEEPWATER DISPOSAL SITE 106-IN VICINITY OF / SOUTHEAST / ATLANTIC OCEAN                                                                                                       	USEPA HQ                 	North Carolina                	Atlantic Ocean                	     36.65	-74.5      	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	HEAVY METALS IN FINFISH, INVERTEBRATES,APEX PREDATORS AND SEDIMENTS IN AND NEAR DEEPWATER DUMPSITE 106 - R.A.GRIEG, ET AL
11NOAMID	HGFISH13       	NORTH ATLANTIC OFFSHORE WATERS-E.OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.616667	-75.333333 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
11NOAMID	HGFISH3        	NORTH ATLANTIC OFFSHORE WATERS-E.OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.183333	-74.8      	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
11NOAMID	HGFISH44       	NORTH ATLANTIC OFFSHORE WATERS-E OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 40.533333	-71.333333 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
11NOAMID	HGFISH49       	NORTH ATLANTIC OFFSHORE WATERS-E.OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	        36	-74.883333 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
11NOAMID	HGFISH67       	NORTH ATLANTIC OFFSHORE WATERS-E.OF ALBEMARLE SD / SOUTHEAST / CHOWAN RIVER                                                                                                   	USEPA HQ                 	North Carolina                	Atlantic Ocean                	     36.05	-74.866667 	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
11NOAMID	HGFISH82       	NORTH ATLANTIC OFFSHORE WATERS-E.OF N.C. / SOUTHEAST / CHOWAN RIVER                                                                                                           	USEPA HQ                 	North Carolina                	Atlantic Ocean                	 36.316667	-74.8      	        	               	              	        	                                                            	none                                    	/TYPA/AMBNT/OCEAN                                                	            0	FEET                	S	 	MERCURY CONCENTRATIONS IN FISH - NORTH ATLANTIC OFFSHORE WATERS - 1971 R.A. GRIEG, ET AL
