Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-06-08	      1335	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-07-05	      1910	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-07-31	      1355	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-08-30	      1805	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-10-02	      1240	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1967-10-30	      1150	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1968-01-29	      1215	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360090         	N.C. HWY 194 BRIDGE 1.4 MILES ENE OF ELK PARK / HOLSTON RIVER BASIN / CRANBERRY CREEK 0.43                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.163056	-81.956667                               	 500000E-4  	 	06010103	00002	1968-04-09	      0750	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360091         	BRIDGE 0.35 MILE WEST OF ELK VALLEY / HOLSTON RIVER BASIN / ELK RIVER 22.43                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.171389	-81.9175                                 	 500000E-4  	 	06010103	00002	1967-06-08	      1355	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360091         	BRIDGE 0.35 MILE WEST OF ELK VALLEY / HOLSTON RIVER BASIN / ELK RIVER 22.43                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Avery                         	 36.171389	-81.9175                                 	 500000E-4  	 	06010103	00002	1967-07-05	      1845	          	        	           1	        	                	  	                     	B 	                                                            	
