
Avery, NC
Number of Stations = 47


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	6     	30    	1967-06-08	1968-07-31	  2.50E+01  	  7.50E+01  	  5.27E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	10    	34    	1967-06-08	1986-05-06	  1.10E+01  	  9.90E+00  	  1.29E+01
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	4     	28    	1967-06-08	1968-07-31	  1.00E+01  	  8.00E+00  	  3.59E+01
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	4     	4     	1986-05-05	1986-05-06	  3.30E-01  	  6.60E-01  	  4.13E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	4     	26    	1967-06-08	1968-07-31	  1.00E+01  	  9.00E+00  	  1.19E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	8     	32    	1967-06-08	1986-05-06	  1.00E+01  	  5.00E+00  	  1.05E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	10    	34    	1967-06-08	1986-05-06	  1.10E+02  	  6.60E+01  	  4.46E+01
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	4     	4     	1986-05-05	1986-05-06	  9.20E+00  	  9.70E+00  	  9.48E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	6     	29    	1967-06-08	1968-07-31	  1.00E+01  	  9.90E+00  	  9.55E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	10    	33    	1967-06-08	1986-05-06	  7.70E+01  	  9.71E+01  	  8.90E+01
00304	BOD      2 DAY    MG/L    	BOD, 2 DAY, 20 DEG C                          MG/L	2     	2     	1967-07-31	1967-07-31	  1.00E+00  	  1.00E+00  	  1.00E+00
