Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12OWNIRS	NC0407025      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Beaufort                      	      35.5	-77.083333 	03020104	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           42	FEET                	 	 	none
21NC37GW	BO1078         	WASHINGTON / SOUTHEAST / TAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Beaufort                      	 35.679167	-77.065    	03020103	               	              	        	                                                            	L20X1,100BO1078                         	/TYPA/AMBNT/WELL                                                 	           15	FEET                	 	G	none
21NC37GW	BO1137         	TERRA CERA / SOUTHEAST / TAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Beaufort                      	 35.594444	-76.759444 	03020104	               	              	        	                                                            	M17U2,100BO1137                         	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	none
21NC37GW	BO1140         	ACRE STATION / SOUTHEAST / TAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Beaufort                      	   35.5925	-76.8325   	03020104	               	              	        	                                                            	M17Y1,100BO1140                         	/TYPA/AMBNT/WELL                                                 	          170	FEET                	 	G	none
21NC37GW	BO1146         	PINETOWN / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Beaufort                      	 35.632778	-76.849444 	03020104	               	              	        	                                                            	M18K2,100BO1146                         	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	none
21NC37GW	BO1201         	WASHINGTON RESEARCH STATION / SOUTHEAST / TAR                                                                                                                                 	NC DE&NR                 	North Carolina                	Beaufort                      	    35.625	-77.0875   	03020103	               	              	        	                                                            	M21K2,100BO1201                         	/TYPA/AMBNT/WELL                                                 	           88	FEET                	 	G	none
21NC37GW	BO1211         	WASHINGTON / SOUTHEAST / TAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Beaufort                      	 35.604722	-77.14     	03020103	               	              	        	                                                            	M21Q2,100BO1211                         	/TYPA/AMBNT/WELL                                                 	          155	FEET                	 	G	none
21NC37GW	BO1244         	BELHAVEN RESEARCH STATION / SOUTHEAST / TAR                                                                                                                                   	NC DE&NR                 	North Carolina                	Beaufort                      	 35.564167	-76.626667 	03020104	               	              	        	                                                            	N15H10,100BO1244                        	/TYPA/AMBNT/WELL                                                 	          420	FEET                	 	G	none
21NC37GW	BO1245         	BELHAVEN RESEARCH STATION / SOUTHEAST / TAR                                                                                                                                   	NC DE&NR                 	North Carolina                	Beaufort                      	 35.564167	-76.626667 	03020104	               	              	        	                                                            	N15H11,100BO1245                        	/TYPA/AMBNT/WELL                                                 	          320	FEET                	 	G	none
21NC37GW	BO1250         	BELHAVEN / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Beaufort                      	 35.429167	-76.612222 	03020104	               	              	        	                                                            	N15I4                                   	/TYPA/AMBNT/WELL                                                 	          233	FEET                	 	G	none
21NC37GW	BO1268         	HUBS REC RESEARCH STATION / SOUTHEAST / TAR                                                                                                                                   	NC DE&NR                 	North Carolina                	Beaufort                      	 35.516389	-76.650833 	03020104	               	              	        	                                                            	N15Y5X,100BO1268                        	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	none
