
Bertie, NC
Number of Stations = 94


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	6     	6     	1981-09-29	1983-02-08	  1.50E+01  	  1.80E+01  	  1.65E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	13    	19    	1973-10-26	1983-02-08	  1.10E+03  	  9.99E+02  	  1.34E+03
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	1     	1     	1974-12-10	1974-12-10	  3.40E+01  	  3.40E+01  	  3.40E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	14    	19    	1973-08-14	1983-02-08	  4.80E+00  	  9.90E+00  	  8.11E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	8     	8     	1974-12-10	1983-02-08	  6.00E+00  	  9.30E+00  	  7.51E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	13    	17    	1974-12-10	1983-02-08	  1.60E+01  	  5.34E+02  	  2.54E+02
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	1     	1     	1973-08-14	1973-08-14	  4.55E+02  	  4.55E+02  	  4.55E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	12    	17    	1973-08-14	1982-03-29	  2.00E+01  	  5.55E+02  	  2.34E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	14    	17    	1973-08-14	1983-02-08	   .00E+00  	  5.00E+00  	  5.12E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	9     	9     	1981-09-29	1983-02-08	  1.10E-01  	  6.00E-02  	  1.33E-01
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	7     	7     	1981-09-29	1983-02-08	  1.00E-01  	  5.00E-01  	  2.43E-01
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	14    	19    	1973-08-14	1983-02-08	  1.00E-01  	  8.00E-02  	  1.53E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	11    	13    	1975-06-04	1983-02-08	  1.00E-01  	  6.00E-02  	  1.72E-01
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	14    	19    	1973-08-14	1983-02-08	  1.00E+01  	  9.90E+01  	  4.34E+01
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	14    	17    	1973-08-14	1983-02-08	   .00E+00  	  2.00E+00  	  2.00E+00
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	14    	17    	1973-08-14	1983-02-08	  1.10E+01  	  8.60E-01  	  9.00E+00
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	13    	18    	1973-08-14	1983-02-08	  1.00E+00  	  8.80E+00  	  7.52E+00
