Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11FWS   	008            	CAPE FEAR RIVER AT ELIZABETHTOWN / SOUTHEAST / CAPE FEAR RIVER                                                                                                                	USEPA HQ                 	North Carolina                	Bladen                        	 34.627778	-78.608333 	03030005	            014	          2.49	OFF     	CAPE FEAR R                                                 	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	WHOLE BODY FISH COMPOSITE SAM. RESIDUE ANALYSIS
21NC37GW	BL1196         	BLADENBORO SOUTH RESEARCH STATION / SOUTHEAST / YADKIN-PEE DEE                                                                                                                	NC DE&NR                 	North Carolina                	Bladen                        	   34.5075	-78.755278 	03040203	               	              	        	                                                            	Z41U1,100BL1196                         	/TYPA/AMBNT/WELL                                                 	           35	FEET                	 	G	none
21NC37GW	BL1197         	BLADENBORO SOUTH RESEARCH STATION / SOUTHEAST / YADKIN-PEE                                                                                                                    	NC DE&NR                 	North Carolina                	Bladen                        	   34.5075	-78.755278 	03040203	               	              	        	                                                            	Z41U2A                                  	/TYPA/AMBNT/WELL                                                 	          576	FEET                	 	G	none
21NC37GW	BL1211         	BLADENBORO SOUTH RESEARCH STATION / SOUTHEAST / YADKIN-PEE DEE                                                                                                                	NC DE&NR                 	North Carolina                	Bladen                        	   34.5075	-78.755278 	03040203	               	              	        	                                                            	Z41U4,100BL1211                         	/TYPA/AMBNT/WELL                                                 	          110	FEET                	 	G	none
21NC37GW	BL1268         	BLADEN COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Bladen                        	 34.434722	-78.275    	03030006	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          735	FEET                	 	G	none
21NC37GW	BL1269         	BLADEN COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Bladen                        	    34.625	-78.625    	03030005	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          365	FEET                	 	G	none
21NC37GW	BL1273         	KELLY / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Bladen                        	 34.455556	-78.305    	03030006	               	              	        	                                                            	AA35N1,100BL1273                        	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	BL1278         	KELLY RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                                	NC DE&NR                 	North Carolina                	Bladen                        	 34.455556	-78.305    	03030006	               	              	        	                                                            	AA35N3D                                 	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	BL1279         	KELLY / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Bladen                        	 34.455556	-78.305    	03030006	               	              	        	                                                            	AA35N3,100BL1279                        	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	none
21NC37GW	BL1281         	WHITE LAKE / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Bladen                        	 34.654167	-78.525    	03030005	               	              	        	                                                            	Y38B5,100BL1281                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	BL1287         	WHITE LAKE / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Bladen                        	 34.655278	-78.5225   	03030005	               	              	        	                                                            	Y38B6,100BL1287                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	BL1288         	WHITE LAKE / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Bladen                        	 34.654167	-78.525    	03030005	               	              	        	                                                            	Y38B7,100BL1288                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	BL1313         	COUNCIL / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Bladen                        	     34.45	-78.566667 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           73	FEET                	 	G	HARRY F. FOWLER C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
