
Bladen, NC
Number of Stations = 25


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	4     	246   	1996-03-06	1998-12-02	  1.05E+01  	  9.60E+00  	  2.13E+01
00023	WEIGHT    POUNDS          	SAMPLE WEIGHT IN POUNDS                           	1     	33    	1969-10-01	1984-10-01	  1.00E+00  	  8.00E-01  	  1.03E+00
00024	LENGTH    INCHES          	SAMPLE LENGTH IN INCHES                           	1     	33    	1969-10-01	1984-10-01	  1.00E+01  	  9.60E+00  	  1.21E+01
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	4     	24    	1998-03-09	1998-08-05	   .00E+00  	  4.00E-01  	  5.96E-01
00063	NO. OF   SAMPLING POINTS  	SAMPLING POINTS, NUMBER OF IN A CROSS SECTION     	1     	10    	1975-11-11	1975-11-11	  1.00E+00  	  4.00E+00  	  3.40E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	4     	244   	1996-03-06	1998-12-02	  1.00E+02  	  9.90E+01  	  1.15E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	244   	1996-03-06	1998-12-02	  1.00E+01  	  9.90E+00  	  6.85E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	4     	244   	1996-03-06	1998-12-02	  1.11E+02  	  9.90E+01  	  7.46E+01
00324	BOD      20 DAY   MG/L    	BOD, 20 DAY, 20 DEG C                         MG/L	1     	20    	1997-05-06	1998-12-02	  2.10E+00  	  7.40E+00  	  3.19E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	4     	228   	1996-03-06	1998-12-02	  3.60E+00  	  8.40E+00  	  6.36E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	4     	119   	1996-07-09	1998-12-02	  3.60E+00  	  7.50E+00  	  6.14E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	4     	231   	1996-03-06	1998-12-02	   .00E+00  	  6.00E-02  	  2.32E-02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	31    	1998-05-04	1998-12-02	  1.00E+01  	  8.00E+00  	  2.45E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	4     	119   	1996-07-09	1998-12-02	  1.00E+00  	  9.90E-01  	  1.33E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	4     	99    	1996-07-09	1998-12-02	  1.00E-01  	  9.80E-01  	  1.05E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	4     	99    	1996-07-09	1998-12-02	  1.07E-07  	  9.17E-05  	  1.60E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	4     	99    	1996-07-09	1998-12-02	  1.31E-07  	  9.76E-05  	  1.95E-04
