
Brunswick, NC
Number of Stations = 177


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	10    	164   	1972-04-14	1979-05-23	  1.22E+03  	  9.80E+03  	  7.77E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	22    	1473  	1972-04-14	1998-12-03	  1.00E+01  	  9.90E+00  	  2.24E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	4     	12    	1978-05-16	1979-05-23	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	5     	1987-08-20	1987-10-28	  1.19E+04  	  4.08E+04  	  2.02E+04
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	10    	60    	1998-03-10	1998-08-06	   .00E+00  	  6.00E-01  	  9.00E-02
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	10    	691   	1983-09-28	1987-10-20	  1.00E+01  	  9.90E+00  	  7.99E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	12    	1313  	1983-09-28	1998-12-03	  1.00E+03  	  9.90E+03  	  1.51E+04
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	66    	1983-09-28	1986-08-26	  1.02E+01  	  9.20E+00  	  8.15E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	10    	1233  	1996-02-19	1998-12-03	  1.00E+01  	  9.90E+00  	  5.86E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	12    	1299  	1983-09-28	1998-12-03	  1.00E+02  	  9.91E+01  	  6.51E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	4     	7     	1978-05-16	1979-05-23	  1.60E+00  	  6.70E+00  	  1.55E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	3     	1979-04-18	1979-05-23	  4.00E+01  	  5.20E+01  	  4.77E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	14    	1214  	1978-05-17	1998-12-03	  5.10E+00  	  8.50E+00  	  7.14E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	10    	258   	1996-07-09	1998-12-03	  5.90E+00  	  8.20E+00  	  7.18E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	13    	1440  	1978-08-23	1998-12-03	   .00E+00  	  9.90E+00  	  1.16E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	25    	524   	1978-05-16	1998-12-03	  1.00E+02  	  9.90E+01  	  6.78E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	10    	259   	1996-07-09	1998-12-03	  1.00E+00  	  9.80E-01  	  1.10E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	13    	226   	1978-05-16	1998-12-03	  1.00E-01  	  9.70E+00  	  1.27E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	11    	222   	1979-05-23	1998-12-03	  1.00E-02  	  9.93E-05  	  8.30E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	11    	222   	1979-05-23	1998-12-03	  1.01E-03  	  9.97E-04  	  1.01E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	12    	262   	1978-05-16	1998-12-03	  1.00E+00  	  9.90E-01  	  8.36E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	10    	259   	1996-07-09	1998-12-03	  1.00E-01  	  9.80E-01  	  3.28E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	10    	259   	1996-07-09	1998-12-03	  1.00E-01  	  9.00E-02  	  1.19E-01
00720	CYANIDE  CN-TOT   MG/L    	CYANIDE, TOTAL (MG/L AS CN)                  MG/L 	2     	2     	1979-05-23	1979-05-23	  4.20E-03  	  9.00E-03  	  6.60E-03
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	2     	3     	1979-04-18	1979-05-23	  1.00E+01  	  6.00E+00  	  9.33E+00
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	2     	3     	1979-04-18	1979-05-23	  1.50E+00  	  2.20E+00  	  1.73E+00
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	2     	3     	1979-04-18	1979-05-23	  2.30E+02  	  7.00E+00  	  1.71E+02
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	6     	150   	1972-04-14	1972-08-29	  1.05E+04  	  9.70E+03  	  1.49E+04
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	10    	198   	1979-04-18	1998-12-03	  1.00E+01  	  6.00E+00  	  1.04E+01
01007	BARIUM   BA,TOT   UG/L    	BARIUM, TOTAL (UG/L AS BA)                        	2     	3     	1979-04-18	1979-05-23	  2.00E+01  	  3.90E+01  	  2.63E+01
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	4     	8     	1978-05-16	1979-05-23	  1.00E+01  	  1.00E+01  	  1.00E+01
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	12    	203   	1978-05-16	1998-12-03	  1.00E+01  	  2.00E+00  	  2.28E+00
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	12    	203   	1978-05-16	1998-12-03	  1.00E+01  	  8.00E+01  	  1.89E+01
01037	COBALT   CO,TOTAL UG/L    	COBALT, TOTAL (UG/L AS CO)                        	2     	3     	1979-04-18	1979-05-23	  2.50E+01  	  4.90E+01  	  3.97E+01
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	12    	203   	1978-05-16	1998-12-03	  1.00E+01  	  9.00E+00  	  3.88E+00
01045	IRON     FE,TOT   UG/L    	IRON, TOTAL (UG/L AS FE)                          	8     	195   	1996-07-09	1998-12-03	  1.05E+03  	  9.75E+02  	  1.28E+03
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	12    	203   	1978-05-16	1998-12-03	  1.00E+01  	  9.30E+01  	  1.18E+01
01055	MANGNESE MN       UG/L    	MANGANESE, TOTAL (UG/L AS MN)                     	2     	3     	1979-04-18	1979-05-23	  5.00E+01  	  9.00E+01  	  6.33E+01
01059	THALLIUM TL,TOTAL UG/L    	THALLIUM, TOTAL (UG/L AS TL)                      	2     	3     	1979-04-18	1979-05-23	  1.00E+02  	  1.00E+02  	  1.00E+02
01062	MOLY     MO,TOT   UG/L    	MOLYBDENUM, TOTAL (UG/L AS MO)                    	2     	3     	1979-04-18	1979-05-23	  1.00E+01  	  2.00E+01  	  1.67E+01
