Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370124A        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / EAST GREGG BRANCH - UPSTREAM                                                                                	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 A,CI-1     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124B        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / WEST GREGG BRANCH - UPSTREAM                                                                                	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 B,CI-2     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124C        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / PICRATE CREEK - UPSTREAM                                                                                    	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 C,CI-3     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124D        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / PICRATE CREEK - DOWNSTREAM                                                                                  	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 D,CI-4     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124E        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / GREGG BRANCH - DOWNSTREAM                                                                                   	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 E,CI-5     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124F        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / BEE TREE CREEK - ABOVE CHEMTRONICS                                                                          	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 F,CI-6     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370124G        	CHEMTRONICS INC HWSI AT ASHEVILLE NC / FRENCH BROAD RIVER BASIN / BEE TREE CREEK - BELOW CHEMTRONICS                                                                          	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.606667	-82.396667 	06010105	            054	           1.9	OFF     	SWANNONA R                                                  	NC0000451 G,CI-7     CHE                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370136A        	BUNCOMBE CO STP AT ASHVILLE NC TO FRENCH BROAD R / FRENCH BROAD RIVER BASIN / INFLUENT PRIOR TO GRIT CHAMBERS                                                                 	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.703333	-82.558333 	06010105	               	              	        	                                                            	NC0024911 A,BI       BUN,3              	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370136B        	BUNCOMBE CO STP AT ASHVILLE NC TO FRENCH BROAD R / FRENCH BROAD RIVER BASIN / EFFLUENT AT PARSHALL FLUME AFTER CHORINA                                                        	USEPA REGION 4           	North Carolina                	Buncombe                      	 35.703333	-82.558333 	06010105	               	              	        	                                                            	NC0024911 B,BE       BUN                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
