
Buncombe, NC
Number of Stations = 253


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	39    	475   	1965-01-06	1983-05-03	  1.00E+00  	  9.90E+01  	  5.00E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	13    	21    	1973-09-26	1980-12-10	  1.45E+03  	  6.11E+02  	  1.45E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	52    	534   	1965-01-06	1985-07-02	   .00E+00  	  9.80E+00  	  1.62E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	55    	1974-06-16	1977-08-29	  5.60E+01  	  7.88E+01  	  6.97E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	12    	24    	1980-06-03	1980-12-10	  1.98E+03  	  1.98E+03  	  1.98E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	18    	289   	1965-01-06	1980-06-11	  1.00E+04  	  9.90E+02  	  1.19E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	4     	13    	1985-03-19	1985-07-02	  5.00E-01  	  8.80E-01  	  7.77E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	12    	228   	1965-01-06	1980-12-10	  1.00E+02  	  9.80E+00  	  2.95E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-21	1984-11-21	  3.05E+00  	  4.15E+00  	  3.60E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	30    	300   	1965-01-06	1985-07-02	  1.00E+01  	  9.00E+00  	  1.96E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	15    	112   	1973-09-26	1983-05-03	  1.00E+02  	  9.40E+01  	  5.61E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	9     	67    	1965-01-06	1967-07-13	  1.00E+00  	  8.00E+00  	  1.08E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	3     	27    	1982-10-20	1983-05-03	  1.90E+01  	  2.80E+01  	  2.39E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	18    	199   	1965-01-06	1985-07-02	  1.00E+02  	  9.70E+01  	  7.50E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	12    	60    	1978-01-31	1983-05-03	  1.00E+01  	  9.00E+00  	  3.45E+00
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	3     	3     	1984-11-21	1984-11-21	  1.60E+00  	  1.99E+00  	  1.78E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	4     	13    	1985-03-19	1985-07-02	  1.02E+01  	  9.40E+00  	  9.35E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	35    	414   	1965-01-06	1983-05-03	  1.00E+01  	  9.90E+00  	  7.50E+00
