Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370110A        	MORGANTON STP AT MORGANTON NC TO HUNTING CREEK / SANTEE-COOPER RIV BASIN / CENTRIFUGED SLUDGE                                                                                 	USEPA REGION 4           	North Carolina                	Burke                         	 35.748333	-81.685                                  	 313400E-2  	 	03050101	00008	1978-08-11	      1415	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370110A        	MORGANTON STP AT MORGANTON NC TO HUNTING CREEK / SANTEE-COOPER RIV BASIN / CENTRIFUGED SLUDGE                                                                                 	USEPA REGION 4           	North Carolina                	Burke                         	 35.748333	-81.685                                  	 241200E-2  	 	03050101	00008	1981-08-25	      1530	          	        	            	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659600E-2  	 	03050101	00008	1973-03-29	      0945	          	        	         100	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659500E-2  	 	03050101	00008	1973-03-29	      0945	          	        	          75	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659100E-2  	 	03050101	00008	1973-03-29	      0945	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659200E-2  	 	03050101	00008	1973-03-29	      0945	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659300E-2  	 	03050101	00008	1973-03-29	      0945	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 659400E-2  	 	03050101	00008	1973-03-29	      0945	          	        	          45	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105550E-1  	 	03050101	00008	1973-07-06	      0945	          	        	         120	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105540E-1  	 	03050101	00008	1973-07-06	      0945	          	        	          95	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105510E-1  	 	03050101	00008	1973-07-06	      0945	          	        	          18	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105490E-1  	 	03050101	00008	1973-07-06	      0945	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105500E-1  	 	03050101	00008	1973-07-06	      0945	          	        	           7	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105520E-1  	 	03050101	00008	1973-07-06	      0945	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556                               	 105530E-1  	 	03050101	00008	1973-07-06	      0945	          	        	          70	        	                	  	                     	B 	                                                            	
