Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370110A        	MORGANTON STP AT MORGANTON NC TO HUNTING CREEK / SANTEE-COOPER RIV BASIN / CENTRIFUGED SLUDGE                                                                                 	USEPA REGION 4           	North Carolina                	Burke                         	 35.748333	-81.685    	03050101	               	              	        	                                                            	NC0026573 A,SLUDGE-1 MOR                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
11EPALES	370803         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.733889	-81.850556 	03050101	            051	          3.86	OFF     	L JAMES                                                     	none                                    	/TYPA/AMBNT/LAKE                                                 	          104	FEET                	S	 	BETWEEN ISLAND AND E DAM AT PADDY CREEK SPILLWAY, APPR 150 YDS FM DAM. COMMENTS: 3-29 ULE 16; 1% LIGHT AT 20 FT; SLIGHTLY GREEN, NO VISIBLE ALGAE. 7-6 ULE 16; 1% LIGHT AT 18 FT; 3% LIGHT AT SURF; CLEAR GREEN W/O VISIBLE ALGAE OR LARGER AQUATIC WEEDS; DEPTH 125 FT. MAP: USGS GLEN ALPINE QUAD
11EPALES	370804         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	    35.745	-81.84     	03050101	            051	          4.99	OFF     	L JAMES                                                     	none                                    	/TYPA/AMBNT/LAKE                                                 	          120	FEET                	S	 	NEAR SPILLWAY E OF PADDY CREEK, ABOUT 150 YDS FR E DAM. COMMENTS: 3-29 ULE 15; 1% LIGHT AT 20 FT; AQUA PROBE EQUAL 95-100; DIGITAL O/ATT EQUALS 115; WATER APPR SAME AS SITE 3. 7-6 ULE 15; 1% LITE AT 20 FT, 2.8% LITE AT SURF; CLEAR GREEN W/O VISIBLE ALGAE OR LARGER AQUATICS WEEDS; DEPTH 115 FT. MAP: USGS GLEN ALPINE QUAD
11EPALES	370805         	LAKE JAMES /  /                                                                                                                                                               	USEPA                    	North Carolina                	Burke                         	 35.773056	-81.854722 	03050101	            051	          12.5	OFF     	L JAMES                                                     	none                                    	/TYPA/AMBNT/LAKE                                                 	           59	FEET                	S	 	NE ARM ABOUT HALF WAY UP FM DAM, NEAR SMALL ISLAND. COMMENTS: 3-29 ULE 15; WATER COLOR AND QUALITY ABOUT SAME AS OTHER SITES 7-6 ULE 14; 1% LIGHT AT 20 FT; 1% LIGHT AT SURF; VERY CLEAR GREEN W/O VISIBLE ALGAE OR LARGER AQUATIC VEGETATION; DEPTH 53 FT. MAP: USGS OAK HILL QUAD
11EPALES	371501         	RHODHISS LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Burke                         	 35.775556	-81.625    	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	            8	FEET                	S	 	W OF HIGHWAY BRIDGE NEAR HUFFMAN BRIDGE LANDING (W BRIDGE ON LAKE). COMMENTS: 3-30 ULE 19; 20% LIGHT AT 5 FT (ON THE BOTTOM); TURBID (MUDDY) W/O VISIBLE ALGAE. 7-6 ULE 18; TURBID (CLAY COLORED) W/O VISIBLE ALGAE OR OTHER AQUATIC VEG; DEPTH 7 FT. MAP: USGS CHARLOTTE QUAD
11EPALES	371502         	RHODHISS LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Burke                         	 35.777778	-81.530556 	03050101	            030	         10.17	OFF     	CATAWBA R                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	           38	FEET                	S	 	CENTRAL AREA OF LAKE, AT CASTLE BRIDGE ACCESS AREA, JUST W OF BRIDGE. COMMENTS: 3-30 ULE 20; 1% LIGHT AT 4-1/2 FT, 8% LIGHT AT 1 FT; TURBID W/DEBRIS FLOATING ON SURF; SEVERAL AREAS IN THE LAKE SHOW "CLEAN" WATER ENTERING BUT W/DEBRIS FLOATING ON SURF (TWIGS, WOOD, PAPER, ETC). 7-6 ULE 18; 1% LIGHT AT 7 FT, 4% LIGHT AT SURF; LESS TURBID THAN SITE 1 BUT NOT CLEAR W/O VISIBLE ALGAE OR LARGER AQUATICS; DEPTH 37 FT. MAP: USGS CHARLOTTE QUAD
11EPALES	371503         	RHODHISS LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Burke                         	 35.773056	-81.433889 	03050101	            030	          2.53	OFF     	CATAWBA R                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	           50	FEET                	S	 	NEAR DAM, E END OF LAKE, ABOUT 60 YDS FM DAM. COMMENTS: 3-30 ULE 18; 1% LIGHT AT 7 FT, 10% LIGHT AT 1 FT; SLIGHTLY TURBID W/O VISIBLE ALGAE. 7-6 ULE 17; 1% LIGHT AT 8 FT, 3.8% LIGHT AT SURF; ALGAE SAMPLE TAKEN FM 15 FT; SLIGHTLY TURBID AS AT SITE 2 W/O VISIBLE ALGAE OR OTHER AQUATIC VEG; DEPTH 51 FT. MAP: USGS CHARLOTTE QUAD
12NSS   	3A079012L      	CUB CREEK /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Burke                         	 35.677778	-81.508333 	03050102	               	              	        	                                                            	3A03A079012L                            	/TYPA/AMBNT/STREAM                                               	            3	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3A079012U      	CUB CREEK /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Burke                         	 35.705556	-81.559722 	03050102	               	              	        	                                                            	3A03A079012U                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
