
Burke, NC
Number of Stations = 76


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	7     	90    	1973-03-29	1981-08-25	  1.05E+04  	  6.68E+03  	  1.05E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	8     	90    	1973-03-29	1986-05-07	  1.00E+01  	  9.60E+00  	  1.93E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	2     	1978-08-11	1981-08-25	  1.98E+03  	  1.98E+03  	  1.98E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	2     	1986-05-07	1986-05-07	  1.97E+00  	  3.30E-01  	  1.15E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	6     	88    	1973-03-29	1973-09-24	  1.10E+01  	  9.90E+01  	  8.13E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	6     	18    	1973-03-29	1973-09-24	  1.00E+02  	  7.80E+01  	  5.96E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	2     	1986-05-07	1986-05-07	  2.00E+01  	  2.50E+01  	  2.25E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	6     	30    	1973-09-24	1973-09-24	  4.40E+01  	  7.30E+01  	  5.64E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	8     	60    	1973-03-29	1986-05-07	  2.67E+01  	  6.50E+01  	  5.44E+01
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	2     	1986-05-07	1986-05-07	  8.80E+00  	  9.20E+00  	  9.00E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	6     	76    	1973-03-29	1973-09-24	   .00E+00  	  9.90E+00  	  6.78E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	8     	78    	1973-03-29	1986-05-07	   .00E+00  	  9.81E+01  	  7.24E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	88    	1973-03-29	1973-09-24	  6.20E+00  	  9.30E+00  	  7.32E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	2     	2     	1986-05-07	1986-05-07	  6.87E+00  	  7.08E+00  	  6.98E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	2     	2     	1986-05-07	1986-05-07	  1.65E+02  	  1.87E+02  	  1.76E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	6     	88    	1973-03-29	1973-09-24	  1.00E+01  	  2.40E+01  	  1.45E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	2     	1986-05-07	1986-05-07	  7.03E+00  	  8.91E+00  	  7.97E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	6     	88    	1973-03-29	1973-09-24	  1.00E-01  	  9.00E-02  	  8.53E-02
