Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	CB1115         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.293333	-80.656111                               	 160000E-4  	D	03040105	00010	1981-04-07	      1400	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1540         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.428333	-80.676944                               	 160000E-4  	D	03040105	00010	1981-02-17	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1808         	KANNAPOLIS, NC / SOUTHEAST / YADKKIN-PEEDEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Cabarrus                      	   35.5025	-80.742222                               	 180000E-4  	D	03040105	00010	1979-09-26	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1952         	KANNAPOLIS, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.362778	-80.634722                               	 180000E-4  	D	03040105	00010	1979-08-09	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1972         	MOORESVILLE, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.483333	-80.728056                               	 170000E-4  	D	03040105	00010	1979-08-21	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1975         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.321944	-80.669722                               	 170000E-4  	D	03040105	00010	1979-11-28	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB1984         	HARRISURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                     	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.318611	-80.654722                               	 170000E-4  	D	03040105	00010	1980-01-11	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB2015         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.398889	-80.716111                               	 160000E-4  	D	03040105	00010	1979-12-13	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB2065         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.299167	-80.606944                               	 160000E-4  	D	03040105	00010	1981-03-31	      1115	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB2097         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.328611	-80.572778                               	 160000E-4  	D	03040105	00010	1976-03-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CB2098         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.329722	-80.573056                               	 150000E-4  	D	03040105	00010	1975-03-17	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7450000       	Rocky River @ US Hwy 29 near Charlotte /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Cabarrus                      	 35.376111	-80.691667                               	 230000E-4  	 	03040105	00010	1998-06-02	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7450000       	Rocky River @ US Hwy 29 near Charlotte /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Cabarrus                      	 35.376111	-80.691667                               	 245000E-4  	 	03040105	00010	1998-07-15	      2500	          	        	            	        	                	  	                     	B 	                                                            	
