Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12OWNIRS	NC0113163      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Cabarrus                      	 35.483333	-80.616667 	03040105	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	            0	FEET                	 	 	none
21NC37GW	CB1074         	MOUNT PLEASANT / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.461111	-80.413889 	03040105	               	              	        	                                                            	O60O1,100CB1074                         	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	MOUNT PLEASANT MR. OLIN GANDY (TOWN SUPERVISOR) C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1971 MEASURED SEMI-ANNUAL AQUIFER DIGB 4 MILES NORTH OF MT. PLEASANT ON ROAD 2416
21NC37GW	CB1094         	MOUNT PLEASANT / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.411111	-80.430556 	03040105	               	              	        	                                                            	P61A1,100CB1094                         	/TYPA/AMBNT/WELL                                                 	          260	FEET                	 	G	MOUNT PLEASANT TOWN OF MOUNT PLEASANT C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1964 MEASURED MONTHLY AQUIFER MVS 200 FEET WEST OF FILTER PLANT
21NC37GW	CB1115         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.293333	-80.656111 	03040105	               	              	        	                                                            	Q63O1                                   	/TYPA/AMBNT/WELL                                                 	           85	FEET                	 	G	none
21NC37GW	CB1513         	MIDLAND, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.271667	-80.5675   	03040105	               	              	        	                                                            	Q62P1                                   	/TYPA/AMBNT/WELL                                                 	          244	FEET                	 	G	none
21NC37GW	CB1540         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.428333	-80.676944 	03040105	               	              	        	                                                            	O64U1                                   	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	CB1575         	CONCORD, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Cabarrus                      	 35.348611	-80.693889 	03040105	               	              	        	                                                            	P64V1                                   	/TYPA/AMBNT/WELL                                                 	          265	FEET                	 	G	none
21NC37GW	CB1578         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	    35.315	-80.680556 	03040105	               	              	        	                                                            	Q64J1                                   	/TYPA/AMBNT/WELL                                                 	          175	FEET                	 	G	none
21NC37GW	CB1579         	HARRISBURG, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Cabarrus                      	    35.315	-80.68     	03040105	               	              	        	                                                            	Q64J2                                   	/TYPA/AMBNT/WELL                                                 	          450	FEET                	 	G	none
