
Cabarrus, NC
Number of Stations = 109


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	17    	65    	1975-03-17	1998-12-22	  1.00E+01  	  9.00E+00  	  1.90E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	6     	42    	1998-06-02	1998-12-22	  1.02E+01  	  9.70E+00  	  1.23E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	1     	1     	1975-03-17	1975-03-17	  9.00E+01  	  9.00E+01  	  9.00E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	33    	80    	1974-10-16	1998-12-22	  1.10E+02  	  9.50E+02  	  3.47E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	15    	15    	1976-03-04	1981-04-21	  1.10E+02  	  9.60E+01  	  2.83E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	6     	54    	1998-06-02	1998-12-22	  1.02E+01  	  9.90E+00  	  7.38E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	6     	54    	1998-06-02	1998-12-22	  4.77E+01  	  9.41E+01  	  7.83E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	15    	62    	1974-10-16	1998-12-22	  6.20E+00  	  8.11E+00  	  7.50E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	25    	25    	1976-03-04	1981-04-21	  6.40E+00  	  7.80E+00  	  7.10E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	25    	25    	1976-03-04	1981-04-21	  1.09E+02  	  9.50E+01  	  8.91E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	26    	26    	1975-03-17	1981-04-21	   .00E+00  	  7.70E+01  	  1.03E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	23    	23    	1976-03-04	1981-04-21	  1.00E+00  	  1.00E+00  	  1.00E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	20    	32    	1976-03-04	1998-12-22	  1.00E-01  	  6.00E-02  	  1.46E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	8     	20    	1976-03-04	1998-12-22	  1.02E-03  	  8.83E-04  	  1.49E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	8     	20    	1976-03-04	1998-12-22	  1.07E-03  	  5.66E-05  	  1.82E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	2     	12    	1998-06-02	1998-11-17	  1.00E+00  	  8.80E-01  	  1.17E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	2     	14    	1998-06-02	1998-12-22	  1.20E+00  	  7.40E-01  	  2.68E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	26    	26    	1975-03-17	1981-04-21	  1.00E-01  	  9.50E-01  	  4.60E-01
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	1     	1     	1985-11-19	1985-11-19	  4.30E+01  	  4.30E+01  	  4.30E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	2     	14    	1998-06-02	1998-12-22	  1.00E+00  	  9.40E-01  	  6.69E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	23    	23    	1976-03-04	1981-04-21	  1.00E-01  	  9.10E+01  	  4.05E+00
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	26    	26    	1975-03-17	1981-04-21	  1.00E+02  	  9.40E+01  	  1.30E+02
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	25    	25    	1976-03-04	1981-04-21	  1.00E+01  	  9.00E+00  	  4.63E+01
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	26    	26    	1975-03-17	1981-04-21	  1.00E+01  	  9.80E+01  	  3.19E+01
00918	CALCIUMT OT.REC.  MG/L    	CALCIUM,TOTAL RECOVERABLE IN WATER AS CA     MG/L 	1     	1     	1985-11-19	1985-11-19	  9.38E+01  	  9.38E+01  	  9.38E+01
00921	MGNESIUM TOT.REC. MG/L    	MAGNESIUM,TOTAL RECOVERABLE IN WATER AS MG   MG/L 	1     	1     	1985-11-19	1985-11-19	  1.09E+01  	  1.09E+01  	  1.09E+01
00923	SODIUM   TOT.REC. MG/L    	SODIUM,TOTAL RECOVERABLE IN WATER AS NA      MG/L 	1     	1     	1985-11-19	1985-11-19	  1.91E+01  	  1.91E+01  	  1.91E+01
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	26    	26    	1975-03-17	1981-04-21	  1.00E+01  	  8.00E+00  	  1.19E+01
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	26    	26    	1975-03-17	1981-04-21	  1.10E+01  	  9.20E+00  	  1.62E+01
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	25    	25    	1975-03-17	1981-04-21	  1.00E+00  	  9.00E+00  	  2.94E+00
00939	POTASIUM TOT.REC. MG/L    	POTASSIUM,TOTAL RECOVERABLE IN WATER AS K    MG/L 	1     	1     	1985-11-19	1985-11-19	  2.22E+00  	  2.22E+00  	  2.22E+00
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	27    	27    	1975-03-17	1981-04-21	  1.00E+01  	  8.00E+00  	  1.79E+01
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	26    	26    	1975-03-17	1981-04-21	  1.00E+01  	  8.00E+00  	  3.73E+01
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	27    	27    	1975-03-17	1981-04-21	  1.00E-01  	  5.00E-01  	  1.46E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	26    	26    	1975-03-17	1981-04-21	  1.00E+01  	  9.70E+00  	  1.62E+01
00978	ARSENIC  TOT REC  UG/L    	ARSENIC,TOTAL RECOVERABLE IN WATER AS AS    UG/L  	1     	1     	1985-11-19	1985-11-19	  5.00E+00  	  5.00E+00  	  5.00E+00
00979	COBALT   TOT REC  UG/L    	COBALT,TOTAL RECOVERABLE IN WATER AS CO  UG/L     	1     	1     	1985-11-19	1985-11-19	  6.00E+00  	  6.00E+00  	  6.00E+00
