Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370042A        	LOWER CREEK STP AT LENOIR NC TO LOWER CREEK / CATAWBA RIVER BASIN / INFLUENT                                                                                                  	USEPA REGION 4           	North Carolina                	Caldwell                      	     35.92	-81.536667 	03050101	            031	         14.32	OFF     	LOWER CR                                                    	NC0023981 A,LI       LCS                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370042B        	LOWER CREEK STP AT LENOIR NC TO LOWER CREEK / SANTEE-COOPER RIV BASIN / EFFLUENT                                                                                              	USEPA REGION 4           	North Carolina                	Caldwell                      	     35.92	-81.536667 	03050101	            031	         14.32	OFF     	LOWER CR                                                    	NC0023981 B,LE       LCS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370044A        	GUNPOWDER CREEK STP AT LENOIR NC TO GUNPOWDER CR / SANTEE-COOPER RIV BASIN / INFLUENT                                                                                         	USEPA REGION 4           	North Carolina                	Caldwell                      	     35.92	-81.536667 	03050101	            031	         14.32	OFF     	LOWER CR                                                    	NC0023736 A,GI       GUN                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370044B        	GUNPOWDER CREEK STP AT LENOIR NC TO GUNPOWDER CR / SANTEE-COOPER RIV BASIN / EFFLUENT                                                                                         	USEPA REGION 4           	North Carolina                	Caldwell                      	     35.92	-81.536667 	03050101	            031	         14.32	OFF     	LOWER CR                                                    	NC0023736 B,GE       GUN                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370116A        	HUFFMAN FINISHING AT GRANITE FALLS NC / SANTEE-COOPER RIV BASIN / EFF AT V-NOTCH WEIR                                                                                         	USEPA REGION 4           	North Carolina                	Caldwell                      	 35.816667	-81.6      	03050101	               	              	        	                                                            	NC0025135 A,HF-001   HUF                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
11BIOACC	3385           	YADKIN RIVER  @ PATTERSON /  /                                                                                                                                                	U.S. EPA MDSD            	North Carolina                	Caldwell                      	 35.990278	-81.525556 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
12ELS1  	3A3-056        	RHODHISS LAKE /  /                                                                                                                                                            	EPA ENVIRONMENTAL RES LAB	North Carolina                	Caldwell                      	 35.784722	-81.458333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           45	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12OWNIRS	NC0114456      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Caldwell                      	 35.883333	-81.516667 	03050101	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           26	FEET                	 	 	none
21NC37GW	CD1364         	LENOIR / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Caldwell                      	 35.887222	-81.526667 	03050101	               	              	        	                                                            	J74I1,100CD1364                         	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	LENOIR CITY OF LENOIR C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVELMONITORING NETWORK SINCE 1975 MEASURED MONTHLY AQUIFER WT 0.2 MI WEST OF US 321-A ON S. SIDE OF SR 1007 (CONNELLY SPRING RD)
21NC37GW	CD1678         	HUDSON / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Caldwell                      	 35.822222	-81.448889 	03050101	               	              	        	                                                            	K73B6,100CD1678                         	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	HUDSON ELLIS SMITH WELL COMPANY (FOR SOUTH CALDWELL HIGH SCHOOL) RT. 2, BOX 196, GRANITE FALLS, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1979 MEASURED SEMI-ANNUAL AQUIFER MSH HIGHWAY 321
21NC37GW	CD2061         	GRANITE FALLS / SOUTHEAST / CATAWBA                                                                                                                                           	NC DE&NR                 	North Carolina                	Caldwell                      	     35.75	-81.333333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           54	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CD2064         	LENOIR / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Caldwell                      	 35.866667	-81.5      	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          164	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CD2065         	LENOIR / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Caldwell                      	      35.9	-81.6      	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          384	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CD2066         	LENOIR / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Caldwell                      	 36.016667	-81.483333 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CD2067         	LENOIR / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Caldwell                      	 35.866667	-81.633333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          325	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CD2068         	HICKORY / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Caldwell                      	      35.8	-81.333333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          140	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
