
Caldwell, NC
Number of Stations = 81


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	4     	27    	1976-09-21	1976-09-24	  1.13E+03  	  1.19E+03  	  1.16E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	2     	5     	1978-06-28	1984-11-21	  1.14E+01  	  3.00E+01  	  1.91E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	5     	34    	1976-09-21	1980-02-29	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1988-09-01	1988-09-01	  1.02E+05  	  1.64E+04  	  5.91E+04
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	1     	1984-11-21	1984-11-21	  1.55E+00  	  1.55E+00  	  1.55E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	1     	1     	1984-11-21	1984-11-21	  2.00E+01  	  2.00E+01  	  2.00E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	1     	3     	1980-02-26	1980-02-28	  1.50E+02  	  8.00E+01  	  1.43E+02
00082	COLOR    WTR SMPL ADMI    	COLOR,SPECTROPHOTO,WATER SMPL AT7.6PH ADMI UNITS  	1     	3     	1980-02-26	1980-02-28	  1.39E+02  	  7.60E+01  	  1.38E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	1     	1984-11-21	1984-11-21	  7.00E+01  	  7.00E+01  	  7.00E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-21	1984-11-21	  4.24E+00  	  4.24E+00  	  4.24E+00
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	5     	13    	1976-09-21	1980-02-28	  1.00E+01  	  8.80E+01  	  1.20E+02
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	5     	13    	1976-09-21	1980-02-28	  3.40E+02  	  9.60E+01  	  3.76E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	1     	4     	1978-06-28	1980-02-29	  8.70E+00  	  9.20E+00  	  8.98E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	1     	1     	1984-11-21	1984-11-21	  7.22E+00  	  7.22E+00  	  7.22E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	1     	1     	1984-11-21	1984-11-21	  3.28E+02  	  3.28E+02  	  3.28E+02
