Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	CA1050         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.411111	-76.175                                  	 112000E-3  	 	03010205	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1050         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.411111	-76.175                                  	 115000E-3  	 	03010205	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1050         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.411111	-76.175                                  	 118000E-3  	 	03010205	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1050         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.411111	-76.175                                  	 130000E-3  	 	03010205	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1050         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.411111	-76.175                                  	 120000E-3  	 	03010205	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 250000E-4  	 	03010205	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 260000E-4  	 	03010205	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 270000E-4  	 	03010205	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 280000E-4  	 	03010205	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 290000E-4  	 	03010205	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-281400E-2  	 	03010205	72020	1965-09-25	      2500	          	        	        2822	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-281200E-2  	 	03010205	72020	1965-09-25	      2500	          	        	        2820	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-133000E-2  	 	03010205	72020	1965-09-25	      2500	          	        	        1338	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-281300E-2  	 	03010205	72020	1965-09-25	      2500	          	        	        2821	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	 824000E-3  	 	03010205	72020	1965-09-25	      2500	          	        	         832	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-825000E-3  	 	03010205	72020	1965-09-25	      2500	          	        	         833	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-867000E-3  	 	03010205	72020	1965-09-25	      2500	          	        	         875	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-868000E-3  	 	03010205	72020	1965-09-25	      2500	          	        	         876	        	                	  	                     	B 	                                                            	
21NC37GW	CA1051         	CAMDEN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Camden                        	 36.417222	-76.336667                               	-111400E-2  	 	03010205	72020	1965-09-25	      2500	          	        	        1122	        	                	  	                     	B 	                                                            	
