Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113S000	371000         	NEWPORT R NW PRONG AT 9 FT RD BR / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.799722	-76.913611 	03020106	            012	         11.06	OFF     	NEWPORT R                                                   	NP-01-N                                 	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NORTHWEST PRONG AT NINE FOOT ROAD BRIDGE.
1113S000	371005         	NEWPORT R SW PRONG AT 9 FT RD BR / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.781111	-76.938333 	03020106	               	              	        	                                                            	NP-01-S                                 	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. SOUTHWEST PRONG AT NINE FOOT ROAD BRIDGE.
1113S000	371010         	NEWPORT R AT US 70 BRIDGE / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                              	USEPA REGION 4           	North Carolina                	Carteret                      	 34.780278	-76.86     	03020106	            012	          6.71	OFF     	NEWPORT R                                                   	NP-02                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER AT U.S. HIGHWAY 70 BRIDGE.
1113S000	371015         	NEWPORT R ATLANTIC&E CAROLINA RR / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.778333	-76.853333 	03020106	            012	          6.17	OFF     	NEWPORT R                                                   	NP-03                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER AT ATLANTIC AND EAST CAROLINA RAILROAD TRESTLE.
1113S000	371020         	NEWPORT R .3 MI ABOVE DEEP CREEK / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.776389	-76.846389 	03020106	            012	          5.96	OFF     	NEWPORT R                                                   	NP-04                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER 0.3 MILE UPSTREAM FROM THE MOUTH OF DEEP CREEK.
1113S000	371025         	NEWPORT R .2 MI BELOW DEEP CREEK / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.774444	-76.8425   	03020106	            012	          5.47	OFF     	NEWPORT R                                                   	NP-05                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER 0.2 MILE DOWNSTREAM FROM THE MOUTH OF DEEP CREEK.
1113S000	371030         	NEWPORT R .1 M BLW SNOWS SWAMP / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                         	USEPA REGION 4           	North Carolina                	Carteret                      	   34.7675	-76.835556 	03020106	            012	          5.04	OFF     	NEWPORT R                                                   	NP-06                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER 0.1 MILE DOWNSTREAM FROM THE MOUTH OF SNOWS SWAMP BRANCH.
1113S000	371035         	NEWPORT R .5 MI ABOVE HULL SWAMP / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.749722	-76.824444 	03020106	               	              	        	                                                            	NP-07                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER 0.5 MILE UPSTREAM FROM THE MOUTH OF HULL SWAMP.
1113S000	371040         	NEWPORT R .3 MI BELOW HULL SWAMP / SOUTHEAST / NEWPORT RIVER        NEWPORT RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Carteret                      	 34.763056	-76.811944 	03020106	            012	          3.22	OFF     	NEWPORT R                                                   	NP-08                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY CONDUCTED IN DECEMBER 1971 BY PERSONNEL OF THE SOUTHEAST WATER LABORATORY, ATHENS, GEORGIA--B. J. CARROLL, MICROBIOLOGIST. NEWPORT RIVER 0.3 MILE DOWNSTREAM FROM THE MOUTH OF HULL SWAMP.
