
Carteret, NC
Number of Stations = 108


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	43    	537   	1971-12-01	1980-05-21	  1.30E+03  	  4.69E+03  	  4.05E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	33    	855   	1971-12-03	1980-05-22	  1.10E+01  	  9.50E+00  	  2.41E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	3     	8     	1980-05-20	1980-05-22	  1.98E+03  	  1.98E+03  	  1.98E+03
00028	ANALYZE  AGENCY   CODE    	CODE NO FOR AGENCY ANALYZING SAMPLE (SEE APPEND)  	2     	4     	1980-05-20	1980-05-21	  3.70E+01  	  3.70E+01  	  3.70E+01
00067	TIDE     STAGE    CODE    	TIDE STAGE (REFER TO APPENDIX FOR CODES)          	20    	155   	1971-12-02	1971-12-10	  1.31E+03  	  3.31E+03  	  2.17E+03
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	16    	765   	1974-09-17	1974-09-24	   .00E+00  	  9.90E+00  	  5.01E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	16    	764   	1974-09-17	1974-09-24	   .00E+00  	  9.88E+01  	  6.03E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	4     	1980-05-20	1980-05-21	  1.00E+01  	  2.60E+01  	  1.07E+02
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	13    	13    	1974-09-17	1974-09-19	  1.07E+04  	  9.63E+04  	  8.65E+04
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	3     	1980-05-21	1980-05-22	  6.60E+00  	  7.30E+00  	  7.00E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	16    	764   	1974-09-17	1974-09-24	  2.39E+01  	  3.68E+01  	  3.29E+01
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	13    	13    	1974-09-17	1974-09-19	  2.10E+01  	  9.70E+01  	  5.82E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	20    	151   	1974-09-17	1980-05-21	  1.00E+01  	  9.00E+00  	  3.07E+01
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	18    	147   	1974-09-17	1974-09-24	   .00E+00  	  9.00E+00  	  1.10E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	20    	149   	1974-09-17	1980-05-21	  1.00E-01  	  8.00E-02  	  3.33E-01
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	18    	147   	1974-09-17	1974-09-24	  1.00E-01  	  9.30E-01  	  3.88E-01
00626	ORGAN. N MUD D WT MG/KG-N 	NITROGEN,ORG. KJEL.,BOT. DEPOS. (MG/KG-N DRY WGT) 	12    	12    	1974-09-17	1974-09-19	  1.12E+03  	  4.90E+03  	  1.78E+03
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	20    	149   	1974-09-17	1980-05-21	  1.00E-01  	  5.00E-02  	  2.36E-02
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	1     	1     	1984-10-23	1984-10-23	  4.20E+01  	  4.20E+01  	  4.20E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	18    	147   	1974-09-17	1974-09-24	  1.00E-01  	  9.00E-02  	  1.22E-01
00668	PHOS MUD DRY WGT  MG/KG-P 	PHOSPHORUS,TOTAL,BOTTOM DEPOSIT (MG/KG-P DRY WGT) 	12    	12    	1974-09-17	1974-09-19	  1.20E+02  	  5.50E+02  	  3.35E+02
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	18    	147   	1974-09-17	1974-09-24	  1.00E+00  	  9.00E+00  	  3.20E+00
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	2     	2     	1980-05-21	1980-05-21	  8.30E+01  	  9.00E+01  	  8.65E+01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	1     	1     	1980-05-21	1980-05-21	  3.31E+04  	  3.31E+04  	  3.31E+04
00918	CALCIUMT OT.REC.  MG/L    	CALCIUM,TOTAL RECOVERABLE IN WATER AS CA     MG/L 	1     	1     	1984-10-23	1984-10-23	  8.39E+01  	  8.39E+01  	  8.39E+01
00921	MGNESIUM TOT.REC. MG/L    	MAGNESIUM,TOTAL RECOVERABLE IN WATER AS MG   MG/L 	1     	1     	1984-10-23	1984-10-23	  5.39E+00  	  5.39E+00  	  5.39E+00
00923	SODIUM   TOT.REC. MG/L    	SODIUM,TOTAL RECOVERABLE IN WATER AS NA      MG/L 	1     	1     	1984-10-23	1984-10-23	  8.59E+00  	  8.59E+00  	  8.59E+00
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	1     	1     	1980-05-21	1980-05-21	  4.30E+03  	  4.30E+03  	  4.30E+03
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	2     	2     	1980-05-21	1980-05-21	  2.10E+01  	  2.20E+01  	  2.15E+01
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	2     	2     	1980-05-21	1980-05-21	  2.13E+02  	  2.25E+02  	  2.19E+02
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	1     	1     	1980-05-21	1980-05-21	  3.40E+03  	  3.40E+03  	  3.40E+03
00939	POTASIUM TOT.REC. MG/L    	POTASSIUM,TOTAL RECOVERABLE IN WATER AS K    MG/L 	1     	1     	1984-10-23	1984-10-23	  3.30E+00  	  3.30E+00  	  3.30E+00
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	20    	214   	1971-12-02	1971-12-10	  1.00E+03  	  9.50E+01  	  1.06E+03
00978	ARSENIC  TOT REC  UG/L    	ARSENIC,TOTAL RECOVERABLE IN WATER AS AS    UG/L  	1     	1     	1984-10-23	1984-10-23	  5.00E+00  	  5.00E+00  	  5.00E+00
00979	COBALT   TOT REC  UG/L    	COBALT,TOTAL RECOVERABLE IN WATER AS CO  UG/L     	1     	1     	1984-10-23	1984-10-23	  6.00E+00  	  6.00E+00  	  6.00E+00
00980	IRON     TOT REC  UG/L    	IRON,TOTAL RECOVERABLE IN WATER AS FE  UG/L       	1     	1     	1984-10-23	1984-10-23	  7.30E+01  	  7.30E+01  	  7.30E+01
00981	SELENIUM TOT REC  UG/L    	SELENIUM,TOTAL RECOVERABLE IN WATER AS SE   UG/L  	1     	1     	1984-10-23	1984-10-23	  5.00E+00  	  5.00E+00  	  5.00E+00
00982	THALLIUM TOT REC  UG/L    	THALLIUM, TOTAL RECOVERABLE IN WATER AS TL  UG/L  	1     	1     	1984-10-23	1984-10-23	  8.00E+00  	  8.00E+00  	  8.00E+00
00983	TIN      TOT REC  UG/L    	TIN,TOTAL RECOVERABLE IN WATER AS SN  UG/L        	1     	1     	1984-10-23	1984-10-23	  3.00E+00  	  3.00E+00  	  3.00E+00
00984	TITANIUM TOT REC  UG/L    	TITANIUM,TOTAL RECOVERABLE IN WATER AS TI   UG/L  	1     	1     	1984-10-23	1984-10-23	  2.00E+00  	  2.00E+00  	  2.00E+00
00985	VANADIUM TOT REC  UG/L    	VANADIUM, TOTAL RECOVERABLE IN WATER AS V  UG/L   	1     	1     	1984-10-23	1984-10-23	  3.00E+00  	  3.00E+00  	  3.00E+00
00986	YTTRIUM  TOT REC  UG/L    	YTTRIUM,TOTAL RECOVERABLE IN WATER AS Y  UG/L     	1     	1     	1984-10-23	1984-10-23	  1.00E+00  	  1.00E+00  	  1.00E+00
00992	SILICA   WTR  TOT REC UG/L	SILICA (SIO2), WATER, TOTAL RECOVERABLE       UG/L	1     	1     	1984-10-23	1984-10-23	  3.65E+04  	  3.65E+04  	  3.65E+04
00998	BERYLIUM TOT.REC. UG/L    	BERYLLIUM,TOTAL RECOVERABLE IN WATER AS BE   UG/L 	1     	1     	1984-10-23	1984-10-23	  1.00E+00  	  1.00E+00  	  1.00E+00
00999	BORON(B) TOT.REC. UG/L    	BORON,TOTAL RECOVERABLE IN WATYER AS B       UG/L 	1     	1     	1984-10-23	1984-10-23	  2.30E+01  	  2.30E+01  	  2.30E+01
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	2     	2     	1980-05-21	1980-05-21	  4.00E+01  	  4.00E+01  	  4.00E+01
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	1     	1     	1980-05-21	1980-05-21	  1.30E+01  	  1.30E+01  	  1.30E+01
01007	BARIUM   BA,TOT   UG/L    	BARIUM, TOTAL (UG/L AS BA)                        	2     	2     	1980-05-21	1980-05-21	  5.20E+02  	  5.30E+01  	  2.87E+02
01008	BA MUD   DRY WGT  MG/KG-BA	BARIUM IN BOTTOM DEPOSITS (MG/KG AS BA DRY WGT)   	1     	1     	1980-05-21	1980-05-21	  3.89E+02  	  3.89E+02  	  3.89E+02
01009	BARIUM   TOT.REC. UG/L    	BARIUM,TOTAL RECOVERABLE IN WATER AS A BA    UG/L 	1     	1     	1984-10-23	1984-10-23	  3.00E+00  	  3.00E+00  	  3.00E+00
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	2     	2     	1980-05-21	1980-05-21	  1.00E+01  	  1.00E+01  	  1.00E+01
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	2     	2     	1980-05-21	1980-05-21	  1.00E+01  	  1.00E+01  	  1.00E+01
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	1     	1     	1980-05-21	1980-05-21	  9.50E+00  	  9.50E+00  	  9.50E+00
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	1     	1     	1980-05-21	1980-05-21	  4.70E+01  	  4.70E+01  	  4.70E+01
