
Caswell, NC
Number of Stations = 11


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1987-06-10	1987-06-10	  9.81E+02  	  9.82E+02  	  9.82E+02
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	1     	2     	1987-06-10	1987-06-10	  7.20E+01  	  7.40E+01  	  7.30E+01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	1     	2     	1987-06-10	1987-06-10	  6.67E+02  	  6.69E+02  	  6.68E+02
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	1     	2     	1987-06-10	1987-06-10	  1.90E+03  	  2.03E+03  	  1.97E+03
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	1     	2     	1987-06-10	1987-06-10	  3.90E+01  	  5.50E+01  	  4.70E+01
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	1     	1     	1987-06-10	1987-06-10	  3.60E+00  	  3.60E+00  	  3.60E+00
01008	BA MUD   DRY WGT  MG/KG-BA	BARIUM IN BOTTOM DEPOSITS (MG/KG AS BA DRY WGT)   	1     	2     	1987-06-10	1987-06-10	  6.10E+01  	  6.80E+01  	  6.45E+01
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	1     	2     	1987-06-10	1987-06-10	  1.40E+00  	  2.10E+00  	  1.75E+00
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	1     	2     	1987-06-10	1987-06-10	  1.00E+00  	  1.30E+00  	  1.15E+00
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	1     	2     	1987-06-10	1987-06-10	  1.90E+01  	  3.10E+01  	  2.50E+01
01038	CO MUD   DRY WGT  MG/KG-CO	COBALT IN BOTTOM DEPOSITS (MG/KG AS CO DRY WGT)   	1     	2     	1987-06-10	1987-06-10	  7.80E+00  	  8.40E+00  	  8.10E+00
01043	COPPER   SEDMG/KG DRY WGT 	COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)   	1     	2     	1987-06-10	1987-06-10	  1.20E+01  	  9.40E+00  	  1.07E+01
01052	LEAD     SEDMG/KG DRY WGT 	LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)     	1     	2     	1987-06-10	1987-06-10	  1.00E+01  	  8.90E+00  	  9.45E+00
01053	MN MUD   DRY WGT  MG/KG-MN	MANGANESE IN BOTTOM DEPOSITS (MG/KG AS MN DRY WGT)	1     	2     	1987-06-10	1987-06-10	  2.66E+02  	  3.15E+02  	  2.91E+02
01068	NICKEL   SEDMG/KG DRY WGT 	NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	1     	2     	1987-06-10	1987-06-10	  6.70E+00  	  8.40E+00  	  7.55E+00
01078	SILVER   SEDMG/KG DRY WGT 	SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)   	1     	2     	1987-06-10	1987-06-10	  2.40E+00  	  2.40E+00  	  2.40E+00
01088	V MUD    DRY WGT  MG/KG-V 	VANADIUM IN BOTTOM DEPOSITS (MG/KG AS V DRY WGT)  	1     	2     	1987-06-10	1987-06-10	  2.20E+01  	  3.10E+01  	  2.65E+01
