Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 668800E-2  	 	03050101	00008	1973-03-30	      1330	          	        	          44	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 668700E-2  	 	03050101	00008	1973-03-30	      1330	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 668500E-2  	 	03050101	00008	1973-03-30	      1330	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 668600E-2  	 	03050101	00008	1973-03-30	      1330	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 106340E-1  	 	03050101	00008	1973-07-07	      1500	          	        	          34	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 106330E-1  	 	03050101	00008	1973-07-07	      1500	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 106320E-1  	 	03050101	00008	1973-07-07	      1500	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 106310E-1  	 	03050101	00008	1973-07-07	      1500	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 144930E-1  	 	03050101	00008	1973-09-24	      1530	          	        	          32	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 144920E-1  	 	03050101	00008	1973-09-24	      1530	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 144900E-1  	 	03050101	00008	1973-09-24	      1530	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 144910E-1  	 	03050101	00008	1973-09-24	      1530	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167                               	 144890E-1  	 	03050101	00008	1973-09-24	      1530	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 669300E-2  	 	03050101	00008	1973-03-30	      1400	          	        	          50	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 669200E-2  	 	03050101	00008	1973-03-30	      1400	          	        	          35	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 669100E-2  	 	03050101	00008	1973-03-30	      1400	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 668900E-2  	 	03050101	00008	1973-03-30	      1400	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 669000E-2  	 	03050101	00008	1973-03-30	      1400	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 106150E-1  	 	03050101	00008	1973-07-07	      1420	          	        	          53	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 106140E-1  	 	03050101	00008	1973-07-07	      1420	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 106130E-1  	 	03050101	00008	1973-07-07	      1420	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 106120E-1  	 	03050101	00008	1973-07-07	      1420	          	        	           7	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 106110E-1  	 	03050101	00008	1973-07-07	      1420	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 144860E-1  	 	03050101	00008	1973-09-24	      1500	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 144870E-1  	 	03050101	00008	1973-09-24	      1500	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 144880E-1  	 	03050101	00008	1973-09-24	      1500	          	        	          47	        	                	  	                     	B 	                                                            	
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333                               	 144850E-1  	 	03050101	00008	1973-09-24	      1500	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 669700E-2  	 	03050101	00008	1973-03-30	      1440	          	        	          35	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 669600E-2  	 	03050101	00008	1973-03-30	      1440	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 669400E-2  	 	03050101	00008	1973-03-30	      1440	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 669500E-2  	 	03050101	00008	1973-03-30	      1440	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 106100E-1  	 	03050101	00008	1973-07-07	      1335	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 106090E-1  	 	03050101	00008	1973-07-07	      1335	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 106080E-1  	 	03050101	00008	1973-07-07	      1335	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 106070E-1  	 	03050101	00008	1973-07-07	      1335	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 144840E-1  	 	03050101	00008	1973-09-24	      1425	          	        	          38	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 144830E-1  	 	03050101	00008	1973-09-24	      1425	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 144810E-1  	 	03050101	00008	1973-09-24	      1425	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25                                   	 144820E-1  	 	03050101	00008	1973-09-24	      1425	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371001         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.795833	-81.095833                               	 672200E-2  	 	03050101	00008	1973-03-30	      1550	          	        	          50	        	                	  	                     	B 	                                                            	
11EPALES	371001         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.795833	-81.095833                               	 672100E-2  	 	03050101	00008	1973-03-30	      1550	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	371001         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.795833	-81.095833                               	 672000E-2  	 	03050101	00008	1973-03-30	      1550	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371001         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.795833	-81.095833                               	 671800E-2  	 	03050101	00008	1973-03-30	      1550	          	        	           0	        	                	  	                     	B 	                                                            	
