Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	370501         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.783333	-81.354167 	03050101	            028	           .01	OFF     	GUNPOWDER CR                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	           48	FEET                	S	 	WESTERN AREA OF LAKE, NEAR OUTLET WITH BRIDGE CROSSING ABOUT CENTER CHANNEL. COMMENTS: 3-30, ULE 21, ONE PER CENT LIGHT AT 3-1/2 FT; 8 PER CENT LIGHT AT ONE FT; WATER IS TURBID (CLAY COLORED) WITHOUT VISIBLE ALGAE. 7-  ULE 16, 1% LIGHT AT 9 FT; 4% LIGHT AT SURFACE; WATER ABOUT SAME AS SITE 2 W/O VISIBLE ALGAE OR LARGER AQUATIC WEEDS. USGS MAP: CHARLOTTE QUAD
11EPALES	370502         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.808333	-81.308333 	03050101	            025	          4.01	OFF     	CATAWBA R                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	           53	FEET                	S	 	CAUTION: POWER LINES OVER BRIDGE. SOUTH CENTRAL AREA, AT HIGHWAY 127 BRIDGE, JUST WEST OF BRIDGE, ABOUT 50 YDS. COMMENTS: 3-30, ULE 17, ONE PER CENT LIGHT AT 2-1/2 FT; 4 PER CENT LIGHT AT ONE FT; WATER IS TURBID AND CLAY COLORED, WITHOUT ANY VISIBLE ALGAE. 7-7 ULE 16; 1% LIGHT AT 10 FT, 3% LIGHT AT SURFACE; WATER IS CLEAR TO SLIGHTLY TURBID AND GREENISH. USGS MAP: CHARLOTTE QUAD
11EPALES	370503         	LAKE HICKORY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Catawba                       	 35.798611	-81.25     	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           39	FEET                	S	 	NORTH CENTRAL AREA OF LAKE, JUST EAST OF OUTLET IN CENTER OF CHANNEL. COMMENTS: 3-30, ULE 17, ONE PER CENT LIGHT AT 3 FT; 6 PER CENT LIGHT AT ONE FT; WATER IS TURBID, CLAY COLORED AND WITHOUT VISIBLE ALGAE. 7-7 ULE 16; 1% LIGHT AT 9-1/2 FT; 2.8% LIGHT AT SURFACE; TURBID GREEN W/O VISIBLE ALGAE OR OTHER AQUATIC VEGETATION. USGS MAP: CHARLOTTE QUAD
11EPALES	371001         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.795833	-81.095833 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           55	FEET                	S	 	NEAR DAM, APPR 50 YDS FM DAM. NUMEROUS POWER LINES CROSSING LAKE. COMMENTS: 3-30 ULE 18; 1% LIGHT AT 3 FT, 6% LIGHT AT 1 FT; TURBID AND CLAY COLORED. 7-7 ULE 16; 1% LIGHT AT 11 FT, 4.2% LIGHT AT SURF; CLEAR W/O VISIBLE ALGAE OR OTHER AQUATIC VEGETATION; DEPTH 63 FT. MAP: USGS CHARLOTTE QUAD
11EPALES	371002         	LOOKOUT SHOALS /  /                                                                                                                                                           	USEPA                    	North Carolina                	Catawba                       	 35.758333	-81.133333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           15	FEET                	S	 	CENTRAL AREA OF LAKE IN BEND OF LAKE JUST ABOVE MOUTHS OF TWO STREAMS AND MID-CHANNEL. COMMENTS: 3-30 ULE 18; 1% LIGHT AT 3 FT, 8% LIGHT AT 1 FT; WATER COLOR CONDITIONS ABOUT SAME AS SITE 1. 7-7 ULE 17; 1% LIGHT AT 10 FT, 4.8% LIGHT AT SURF; TURBID, GREEN W/O VISIBLE ALGAE BUT WITH SOME SUBMERGED VEG ALONG SHORELINE; DEPTH 014 FT. MAP: USGS CHARLOTTE QUAD
11EPALES	371304         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Catawba                       	 35.586111	-80.938889 	03050101	            014	         55.53	OFF     	L NORMAN                                                    	none                                    	/TYPA/AMBNT/LAKE                                                 	           52	FEET                	S	 	AT JCT OF EFFLUENT STREAM FM MARSHALL STEAM STATION, 150 DEGREES FM THE STACKS, 150 YD 080 DEGREES FM CHANNEL MARKER NO. 15. COMMENTS: 3-29 ULE APPR 18-20; NO VISIBLE AQUATIC VEG; HEAVY SILTATION FM SPRING RAINS. 7-11 ULE 16; 1% LIGHT AT 6-1/2 FT; 5% LIGHT AT SURF; CLEAR, SLIGHTLY BROWN W/O VISIBLE ALGAE OR LARGER AQUATIC PLANTS; DEPTH 47 FT. MAP: USGS CHARLOTTE QUAD
11EPALES	371305         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Catawba                       	 35.691667	-80.966667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           38	FEET                	S	 	LOCATED BETWEEN AIRSTRIP ON THE W SHORE AND DUKE POWER STATE PARK ON THE E, 115 DEGREES FM WEATHERED OLD 2-STORY HOUSE ABOUT 1,000 FT AWAY. COMMENTS: 3-29 ULE 18-20; NO VISIBLE AQUATIC VEG; HEAVILY SILTED FM SPRING RAINS; HIGH TURBIDITY. 7-11 ULE 15; 1% LIGHT AT 11 FT, 4.4% LIGHT AT SURF; CLEAR W/O VISIBLE ALGAE OR LARGER AQUATIC VEGETATION; DEPTH 32. MAP: USGS CHARLOTTE QUAD
11EPALES	3713CA         	CONOVER NC / T/LAKE NORMAN / LYLE CREEK                                                                                                                                       	USEPA                    	North Carolina                	Catawba                       	 35.716667	-81.225    	03050101	               	              	        	                                                            	AS3713CA,P002606                        	/AMBNT/STREAM                                                    	            0	FEET                	S	 	none
12OWNIRS	NC0113148      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Catawba                       	 35.483333	-80.616667 	03040105	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	            0	FEET                	 	 	none
